ticker,entry_date,entry_open,exit_date,exit_open,exit_reason,hold_days,trade_return,trade_return_net,extras_used
1101,2026-01-12,25.4,2026-01-16,25.25,sunrise_attack_end,3,-0.005906,-0.011756,
1102,2025-11-28,38.5,2025-12-02,39.0,reversal_k.gap_reversal,1,0.012987,0.007137,
1103,2025-11-24,13.8,2025-11-26,13.65,gap_attack_filled,1,-0.01087,-0.01672,
1103,2025-11-27,13.8,2025-12-01,13.8,sunrise_attack_end,1,0.0,-0.00585,
1103,2025-11-28,13.8,2025-12-05,14.05,breakout_price_break,4,0.018116,0.012266,
1103,2025-12-02,14.3,2025-12-05,14.05,breakout_price_break,2,-0.017483,-0.023333,
1103,2025-12-03,14.2,2025-12-05,14.05,breakout_price_break,1,-0.010563,-0.016413,
1108,2026-02-26,15.2,2026-03-04,15.15,breakout_price_break,2,-0.003289,-0.009139,
1203,2025-05-05,42.05,2025-05-08,40.15,sunrise_attack_end,2,-0.045184,-0.051034,
1203,2026-02-23,41.3,2026-02-25,40.45,sunrise_attack_end,1,-0.020581,-0.026431,
1203,2026-04-17,43.7,2026-04-21,44.0,sunrise_attack_end,1,0.006865,0.001015,
1210,2025-04-24,60.3,2025-04-28,59.8,sunrise_attack_end,1,-0.008292,-0.014142,
1210,2025-05-27,65.4,2025-05-29,65.5,sunrise_attack_end,1,0.001529,-0.004321,
1210,2026-03-17,54.3,2026-03-19,53.5,reversal_k.bearish_engulfing,1,-0.014733,-0.020583,
1215,2025-05-09,109.5,2025-05-13,109.0,sunrise_attack_end,1,-0.004566,-0.010416,
1215,2025-05-19,114.0,2025-05-21,113.0,sunrise_attack_end,1,-0.008772,-0.014622,
1215,2025-06-27,126.0,2025-07-02,125.5,sunrise_attack_end,2,-0.003968,-0.009818,
1215,2025-06-30,126.5,2025-07-02,125.5,sunrise_attack_end,1,-0.007905,-0.013755,
1215,2025-08-19,136.5,2025-08-25,137.0,reversal_k.bearish_engulfing,3,0.003663,-0.002187,
1215,2025-08-20,137.0,2025-08-25,137.0,reversal_k.bearish_engulfing,2,0.0,-0.00585,
1216,2025-07-08,83.4,2025-07-10,83.1,sunrise_attack_end,1,-0.003597,-0.009447,
1216,2025-07-14,85.0,2025-07-16,84.0,sunrise_attack_end,1,-0.011765,-0.017615,
1216,2025-07-23,86.3,2025-07-25,85.0,sunrise_attack_end,1,-0.015064,-0.020914,
1217,2026-01-15,10.7,2026-01-19,10.6,reversal_k.bearish_engulfing,1,-0.009346,-0.015196,
1218,2025-05-05,22.65,2025-05-14,21.5,reversal_k.bearish_engulfing,6,-0.050773,-0.056623,
1218,2026-03-12,19.2,2026-03-17,19.2,sunrise_attack_end,2,0.0,-0.00585,
1218,2026-04-02,19.45,2026-04-08,19.6,sunrise_attack_end,1,0.007712,0.001862,
1219,2025-05-05,17.5,2025-05-08,16.4,sunrise_attack_end,2,-0.062857,-0.068707,
1219,2026-03-30,14.3,2026-04-01,14.1,gap_attack_filled,1,-0.013986,-0.019836,
1220,2026-02-23,13.15,2026-02-25,13.05,reversal_k.bearish_engulfing,1,-0.007605,-0.013455,
1227,2025-05-05,38.1,2025-05-07,37.2,sunrise_attack_end,1,-0.023622,-0.029472,
1229,2025-07-11,47.8,2025-07-16,47.85,sunrise_attack_end,2,0.001046,-0.004804,
1229,2025-08-29,49.5,2025-09-02,48.25,sunrise_attack_end,1,-0.025253,-0.031103,
1231,2025-08-06,152.0,2025-08-11,148.5,sunrise_attack_end,2,-0.023026,-0.028876,
1232,2025-05-05,167.0,2025-05-08,163.0,sunrise_attack_end,2,-0.023952,-0.029802,
1232,2026-01-29,147.0,2026-02-02,146.0,breakout_price_break,1,-0.006803,-0.012653,
1232,2026-02-24,151.0,2026-02-26,149.5,breakout_price_break,1,-0.009934,-0.015784,
1233,2025-11-25,31.65,2025-11-28,32.0,sunrise_attack_end,2,0.011058,0.005208,
1233,2025-12-03,32.1,2025-12-05,32.25,breakout_price_break,1,0.004673,-0.001177,
1233,2026-02-25,33.65,2026-03-03,33.05,breakout_price_break,2,-0.017831,-0.023681,
1233,2026-02-26,33.7,2026-03-03,33.05,breakout_price_break,1,-0.019288,-0.025138,
1236,2025-09-09,22.75,2025-09-16,23.35,sunrise_attack_end,4,0.026374,0.020524,
1236,2025-09-11,23.3,2025-09-16,23.35,sunrise_attack_end,2,0.002146,-0.003704,
1236,2025-09-12,23.4,2025-09-16,23.35,sunrise_attack_end,1,-0.002137,-0.007987,
