ticker,entry_date,entry_open,exit_date,exit_open,exit_reason,hold_days,trade_return,trade_return_net,extras_used
1104,2025-10-21,32.75,2025-10-23,32.5,sunrise_attack_end,1,-0.007634,-0.013484,extras.intensity_floor
1203,2026-04-16,43.3,2026-04-21,44.0,sunrise_attack_end,2,0.016166,0.010316,extras.intensity_floor
1203,2026-04-17,43.7,2026-04-21,44.0,sunrise_attack_end,1,0.006865,0.001015,extras.intensity_floor
1210,2025-04-24,60.3,2025-04-28,59.8,sunrise_attack_end,1,-0.008292,-0.014142,extras.intensity_floor
1210,2025-05-05,63.7,2025-05-07,61.7,sunrise_attack_end,1,-0.031397,-0.037247,extras.intensity_floor
1210,2025-05-26,65.9,2025-05-29,65.5,sunrise_attack_end,2,-0.00607,-0.01192,extras.intensity_floor
1215,2025-05-09,109.5,2025-05-13,109.0,sunrise_attack_end,1,-0.004566,-0.010416,extras.intensity_floor
1215,2025-08-18,132.5,2025-08-25,137.0,reversal_k.bearish_engulfing,4,0.033962,0.028112,extras.intensity_floor
1215,2025-08-19,136.5,2025-08-25,137.0,reversal_k.bearish_engulfing,3,0.003663,-0.002187,extras.intensity_floor
1215,2026-01-13,150.0,2026-01-15,148.0,sunrise_attack_end,1,-0.013333,-0.019183,extras.intensity_floor
1215,2026-01-16,154.0,2026-01-20,150.0,breakout_price_break,1,-0.025974,-0.031824,extras.intensity_floor
1216,2025-07-08,83.4,2025-07-10,83.1,sunrise_attack_end,1,-0.003597,-0.009447,extras.intensity_floor
1216,2025-07-11,85.3,2025-07-16,84.0,sunrise_attack_end,2,-0.01524,-0.02109,extras.intensity_floor
1216,2025-07-22,87.1,2025-07-24,86.3,reversal_k.bearish_engulfing,1,-0.009185,-0.015035,extras.intensity_floor
1236,2025-09-23,23.95,2025-09-30,24.4,sunrise_attack_end,3,0.018789,0.012939,extras.intensity_floor
1236,2025-09-25,24.3,2025-09-30,24.4,sunrise_attack_end,1,0.004115,-0.001735,extras.intensity_floor
1236,2025-09-30,24.7,2025-10-08,26.65,sunrise_attack_end,4,0.078947,0.073097,extras.intensity_floor
1236,2025-10-01,24.95,2025-10-08,26.65,sunrise_attack_end,3,0.068136,0.062286,extras.intensity_floor
1236,2025-10-02,25.5,2025-10-08,26.65,sunrise_attack_end,2,0.045098,0.039248,extras.intensity_floor
1236,2025-10-03,27.45,2025-10-08,26.65,sunrise_attack_end,1,-0.029144,-0.034994,extras.intensity_floor
1295,2025-06-06,97.0,2025-06-12,99.5,sunrise_attack_end,3,0.025773,0.019923,extras.intensity_floor
1295,2025-09-05,156.0,2025-09-10,150.5,sunrise_attack_end,2,-0.035256,-0.041106,extras.intensity_floor
1303,2025-07-30,38.7,2025-08-04,39.0,sunrise_attack_end,2,0.007752,0.001902,extras.intensity_floor
1303,2025-08-18,47.05,2025-08-20,41.1,reversal_k.bearish_engulfing,1,-0.126461,-0.132311,extras.intensity_floor
1304,2026-03-20,15.45,2026-03-25,15.4,reversal_k.bearish_engulfing,2,-0.003236,-0.009086,extras.intensity_floor
1305,2026-03-19,16.9,2026-03-25,17.35,sunrise_attack_end,3,0.026627,0.020777,extras.intensity_floor
1309,2026-03-09,13.8,2026-03-11,13.6,sunrise_attack_end,1,-0.014493,-0.020343,extras.intensity_floor
1309,2026-03-19,18.85,2026-03-25,19.6,sunrise_attack_end,3,0.039788,0.033938,extras.intensity_floor
1310,2026-03-09,10.7,2026-03-11,10.8,sunrise_attack_end,1,0.009346,0.003496,extras.intensity_floor
1310,2026-03-12,12.2,2026-03-17,11.65,sunrise_attack_end,2,-0.045082,-0.050932,extras.intensity_floor
1312,2025-05-09,12.8,2025-05-14,11.4,high_long_black,2,-0.109375,-0.115225,extras.intensity_floor
1313,2025-07-23,10.25,2025-07-25,10.0,sunrise_attack_end,1,-0.02439,-0.03024,extras.intensity_floor
1313,2025-08-18,11.25,2025-08-20,10.8,gap_attack_filled,1,-0.04,-0.04585,extras.intensity_floor
1313,2026-03-03,12.85,2026-03-06,12.4,high_long_black,2,-0.035019,-0.040869,extras.intensity_floor
1323,2026-04-07,24.05,2026-04-09,22.5,high_long_black,1,-0.064449,-0.070299,extras.intensity_floor
1326,2025-08-22,31.6,2025-08-26,31.1,sunrise_attack_end,1,-0.015823,-0.021673,extras.intensity_floor
1402,2025-05-05,35.7,2025-05-07,35.55,sunrise_attack_end,1,-0.004202,-0.010052,extras.intensity_floor
1416,2025-05-02,13.3,2025-05-07,13.0,gap_attack_filled,2,-0.022556,-0.028406,extras.intensity_floor
1423,2026-03-11,40.55,2026-03-13,40.3,sunrise_attack_end,1,-0.006165,-0.012015,extras.intensity_floor
1423,2026-04-22,42.85,2026-04-24,41.95,sunrise_attack_end,1,-0.021004,-0.026854,extras.intensity_floor
1470,2025-05-05,26.6,2025-05-07,27.25,sunrise_attack_end,1,0.024436,0.018586,extras.intensity_floor
1503,2026-01-22,239.0,2026-01-26,229.0,high_long_black,1,-0.041841,-0.047691,extras.intensity_floor
1512,2025-05-08,8.4,2025-05-13,8.5,sunrise_attack_end,2,0.011905,0.006055,extras.intensity_floor
1512,2025-05-14,9.3,2025-05-19,9.23,sunrise_attack_end,2,-0.007527,-0.013377,extras.intensity_floor
1512,2025-05-19,9.5,2025-05-23,9.27,reversal_k.bearish_engulfing,3,-0.024211,-0.030061,extras.intensity_floor
1516,2025-05-21,21.7,2025-05-27,21.6,sunrise_attack_end,3,-0.004608,-0.010458,extras.intensity_floor
1516,2025-12-24,23.3,2025-12-31,24.1,sunrise_attack_end,3,0.034335,0.028485,extras.intensity_floor
1516,2025-12-29,24.05,2025-12-31,24.1,sunrise_attack_end,1,0.002079,-0.003771,extras.intensity_floor
1519,2025-08-08,688.0,2025-08-12,679.0,reversal_k.bearish_engulfing,1,-0.013081,-0.018931,extras.intensity_floor
1519,2026-01-20,982.0,2026-01-26,1030.0,high_long_black,3,0.04888,0.04303,extras.intensity_floor
1519,2026-01-21,1045.0,2026-01-26,1030.0,high_long_black,2,-0.014354,-0.020204,extras.intensity_floor
1528,2025-08-18,22.05,2025-08-20,21.3,gap_attack_filled,1,-0.034014,-0.039864,extras.intensity_floor
1560,2025-12-30,408.0,2026-01-02,402.0,gap_fill,1,-0.014706,-0.020556,extras.intensity_floor
1560,2026-01-05,428.0,2026-01-08,418.5,reversal_k.bearish_engulfing,2,-0.022196,-0.028046,extras.intensity_floor
1560,2026-02-26,495.0,2026-03-04,492.5,breakout_price_break,2,-0.005051,-0.010901,extras.intensity_floor
1560,2026-05-12,639.0,2026-05-14,640.0,sunrise_attack_end,1,0.001565,-0.004285,extras.intensity_floor
1570,2025-10-02,34.8,2025-10-08,33.6,sunrise_attack_end,2,-0.034483,-0.040333,extras.intensity_floor
1570,2026-04-21,40.6,2026-04-24,40.1,reversal_k.bearish_engulfing,2,-0.012315,-0.018165,extras.intensity_floor
1587,2025-09-18,47.95,2025-09-22,43.2,reversal_k.bearish_engulfing,1,-0.099062,-0.104912,extras.intensity_floor
1587,2025-12-19,51.1,2025-12-26,52.7,high_long_black,3,0.031311,0.025461,extras.intensity_floor
1587,2025-12-22,56.8,2025-12-26,52.7,high_long_black,2,-0.072183,-0.078033,extras.intensity_floor
1590,2026-02-04,1200.0,2026-02-09,1240.0,reversal_k.bearish_engulfing,2,0.033333,0.027483,extras.intensity_floor
1591,2026-04-20,66.0,2026-04-23,64.4,reversal_k.bearish_engulfing,2,-0.024242,-0.030092,extras.intensity_floor
1595,2026-04-30,77.0,2026-05-06,93.1,sunrise_attack_end,2,0.209091,0.203241,extras.intensity_floor
1595,2026-05-04,75.5,2026-05-06,93.1,sunrise_attack_end,1,0.233113,0.227263,extras.intensity_floor
1599,2025-07-15,32.45,2025-07-18,32.9,sunrise_attack_end,2,0.013867,0.008017,extras.intensity_floor
1599,2025-07-18,32.95,2025-07-22,32.5,breakout_price_break,1,-0.013657,-0.019507,extras.intensity_floor
1603,2025-06-16,42.0,2025-06-19,41.65,sunrise_attack_end,2,-0.008333,-0.014183,extras.intensity_floor
1603,2026-01-23,43.9,2026-01-27,42.95,gap_attack_filled,1,-0.02164,-0.02749,extras.intensity_floor
1605,2025-11-13,34.1,2025-11-17,33.0,breakout_price_break,1,-0.032258,-0.038108,extras.intensity_floor
1608,2025-11-03,38.5,2025-11-06,41.2,sunrise_attack_end,2,0.07013,0.06428,extras.intensity_floor
1612,2025-06-17,38.55,2025-06-20,38.8,gap_attack_filled,2,0.006485,0.000635,extras.intensity_floor
1616,2025-05-15,27.0,2025-06-05,27.3,sunrise_attack_end,13,0.011111,0.005261,extras.intensity_floor
1616,2025-06-09,28.7,2025-06-20,43.55,sunrise_attack_end,8,0.517422,0.511572,extras.intensity_floor
1616,2025-06-11,33.0,2025-06-20,43.55,sunrise_attack_end,6,0.319697,0.313847,extras.intensity_floor
1623,2025-11-28,237.16,2025-12-02,235.7,breakout_price_break,1,-0.006156,-0.012006,extras.intensity_floor
1623,2025-12-22,242.75,2025-12-31,269.16,reversal_k.bearish_engulfing,5,0.108795,0.102945,extras.intensity_floor
1623,2025-12-23,246.5,2025-12-31,269.16,reversal_k.bearish_engulfing,4,0.091927,0.086077,extras.intensity_floor
1623,2025-12-24,254.49,2025-12-31,269.16,reversal_k.bearish_engulfing,3,0.057645,0.051795,extras.intensity_floor
1708,2026-03-19,46.45,2026-03-23,45.5,reversal_k.bearish_engulfing,1,-0.020452,-0.026302,extras.intensity_floor
1711,2026-01-14,25.0,2026-01-16,23.6,high_long_black,1,-0.056,-0.06185,extras.intensity_floor
1711,2026-04-17,52.6,2026-04-22,54.2,high_long_black,2,0.030418,0.024568,extras.intensity_floor
1714,2026-01-08,9.28,2026-01-12,9.0,gap_fill,1,-0.030172,-0.036022,extras.intensity_floor
1714,2026-02-25,10.0,2026-03-03,9.89,sunrise_attack_end,2,-0.011,-0.01685,extras.intensity_floor
1717,2025-09-01,47.8,2025-09-03,46.0,sunrise_attack_end,1,-0.037657,-0.043507,extras.intensity_floor
1721,2026-05-11,32.0,2026-05-15,33.0,high_long_black,3,0.03125,0.0254,extras.intensity_floor
1722,2025-05-02,59.7,2025-05-07,56.3,sunrise_attack_end,2,-0.056951,-0.062801,extras.intensity_floor
1726,2025-05-26,77.8,2025-05-28,77.4,sunrise_attack_end,1,-0.005141,-0.010991,extras.intensity_floor
1727,2025-07-28,33.4,2025-07-30,32.4,high_long_black,1,-0.02994,-0.03579,extras.intensity_floor
1727,2025-08-19,40.3,2025-08-21,38.35,high_long_black,1,-0.048387,-0.054237,extras.intensity_floor
1727,2026-01-07,49.5,2026-01-09,46.35,high_long_black,1,-0.063636,-0.069486,extras.intensity_floor
1727,2026-03-12,55.0,2026-03-17,55.1,high_long_black,2,0.001818,-0.004032,extras.intensity_floor
1727,2026-04-27,74.5,2026-05-06,79.6,reversal_k.bearish_engulfing,5,0.068456,0.062606,extras.intensity_floor
1730,2025-05-06,56.6,2025-05-08,57.7,sunrise_attack_end,1,0.019435,0.013585,extras.intensity_floor
1734,2025-05-12,32.55,2025-05-15,32.5,sunrise_attack_end,2,-0.001536,-0.007386,extras.intensity_floor
1734,2025-05-19,33.1,2025-05-23,33.55,sunrise_attack_end,3,0.013595,0.007745,extras.intensity_floor
1737,2025-08-19,32.2,2025-08-21,32.25,breakout_low_break,1,0.001553,-0.004297,extras.intensity_floor
