ticker,entry_date,entry_open,exit_date,exit_open,exit_reason,hold_days,trade_return,trade_return_net
1102,2025-11-27,38.9,2025-12-01,38.5,ma60_neckline,1,-0.010283,-0.016133
1103,2025-11-24,13.8,2025-11-26,13.65,gap_attack_filled,1,-0.01087,-0.01672
1103,2025-11-26,13.9,2025-12-01,13.8,sunrise_attack_end,2,-0.007194,-0.013044
1103,2025-11-27,13.8,2025-12-01,13.8,sunrise_attack_end,1,0.0,-0.00585
1103,2025-12-01,14.15,2025-12-05,14.05,gap_attack_filled,3,-0.007067,-0.012917
1103,2025-12-02,14.3,2025-12-05,14.05,gap_attack_filled,2,-0.017483,-0.023333
1108,2026-02-26,15.2,2026-03-04,15.15,breakout_price_break,2,-0.003289,-0.009139
1203,2026-02-23,41.3,2026-02-25,40.45,breakout_price_break,1,-0.020581,-0.026431
1203,2026-04-16,43.3,2026-04-21,44.0,sunrise_attack_end,2,0.016166,0.010316
1203,2026-04-17,43.7,2026-04-21,44.0,sunrise_attack_end,1,0.006865,0.001015
1210,2026-03-17,54.3,2026-03-19,53.5,reversal_k.bearish_engulfing,1,-0.014733,-0.020583
1215,2026-01-13,150.0,2026-01-15,148.0,sunrise_attack_end,1,-0.013333,-0.019183
1216,2025-07-08,83.4,2025-07-10,83.1,breakout_price_break,1,-0.003597,-0.009447
1216,2025-07-11,85.3,2025-07-16,84.0,sunrise_attack_end,2,-0.01524,-0.02109
1216,2025-07-22,87.1,2025-07-24,86.3,reversal_k.bearish_engulfing,1,-0.009185,-0.015035
1217,2026-01-15,10.7,2026-01-19,10.6,reversal_k.bearish_engulfing,1,-0.009346,-0.015196
1218,2026-03-12,19.2,2026-03-17,19.2,sunrise_attack_end,2,0.0,-0.00585
1218,2026-04-01,19.5,2026-04-08,19.6,sunrise_attack_end,2,0.005128,-0.000722
1219,2026-03-30,14.3,2026-04-01,14.1,gap_attack_filled,1,-0.013986,-0.019836
1219,2026-04-13,14.8,2026-04-15,14.3,breakout_price_break,1,-0.033784,-0.039634
1220,2026-02-23,13.15,2026-02-25,13.05,reversal_k.bearish_engulfing,1,-0.007605,-0.013455
1229,2025-07-11,47.8,2025-07-16,47.85,sunrise_attack_end,2,0.001046,-0.004804
1231,2025-08-06,152.0,2025-08-11,148.5,sunrise_attack_end,2,-0.023026,-0.028876
1232,2025-05-05,167.0,2025-05-07,161.5,gap_attack_filled,1,-0.032934,-0.038784
1232,2026-01-29,147.0,2026-02-02,146.0,breakout_price_break,1,-0.006803,-0.012653
1232,2026-02-23,151.0,2026-02-25,151.0,sunrise_attack_end,1,0.0,-0.00585
1232,2026-03-02,152.5,2026-03-05,150.5,breakout_price_break,2,-0.013115,-0.018965
1233,2025-11-25,31.65,2025-11-28,32.0,sunrise_attack_end,2,0.011058,0.005208
1233,2025-11-28,32.0,2025-12-05,32.25,gap_attack_filled,4,0.007812,0.001962
1233,2025-12-02,32.35,2025-12-05,32.25,gap_attack_filled,2,-0.003091,-0.008941
1233,2025-12-03,32.1,2025-12-05,32.25,gap_attack_filled,1,0.004673,-0.001177
1233,2026-02-24,32.85,2026-03-03,33.05,gap_attack_filled,3,0.006088,0.000238
1233,2026-02-25,33.65,2026-03-03,33.05,gap_attack_filled,2,-0.017831,-0.023681
1236,2025-09-09,22.75,2025-09-16,23.35,sunrise_attack_end,4,0.026374,0.020524
1236,2025-09-10,22.9,2025-09-16,23.35,sunrise_attack_end,3,0.019651,0.013801
1236,2025-09-11,23.3,2025-09-16,23.35,sunrise_attack_end,2,0.002146,-0.003704
1236,2025-09-19,23.5,2025-09-30,24.4,sunrise_attack_end,5,0.038298,0.032448
1236,2026-03-02,27.4,2026-03-05,27.9,sunrise_attack_end,2,0.018248,0.012398
1236,2026-03-03,28.0,2026-03-05,27.9,sunrise_attack_end,1,-0.003571,-0.009421
1240,2025-07-10,63.9,2025-07-15,63.6,sunrise_attack_end,2,-0.004695,-0.010545
1240,2025-08-19,64.6,2025-08-21,65.5,reversal_k.bearish_engulfing,1,0.013932,0.008082
1240,2025-08-21,65.3,2025-08-29,59.8,gap_attack_filled,5,-0.084227,-0.090077
1256,2025-09-01,143.5,2025-09-05,158.5,high_long_black,3,0.10453,0.09868
1256,2025-09-02,157.5,2025-09-05,158.5,high_long_black,2,0.006349,0.000499
1259,2025-10-02,60.0,2025-10-09,61.5,sunrise_attack_end,3,0.025,0.01915
1259,2025-10-03,60.4,2025-10-09,61.5,sunrise_attack_end,2,0.018212,0.012362
1259,2025-10-08,61.5,2025-10-15,62.4,breakout_price_break,3,0.014634,0.008784
1259,2025-10-09,62.5,2025-10-15,62.4,breakout_price_break,2,-0.0016,-0.00745
1259,2025-11-11,63.0,2025-11-17,66.7,gap_attack_filled,3,0.05873,0.05288
1259,2025-11-12,64.2,2025-11-17,66.7,gap_attack_filled,2,0.038941,0.033091
1268,2025-08-18,160.0,2025-08-20,157.5,gap_attack_filled,1,-0.015625,-0.021475
1294,2026-03-06,87.1,2026-03-11,91.8,sunrise_attack_end,2,0.053961,0.048111
