ticker,entry_date,entry_open,exit_date,exit_open,exit_reason,hold_days,trade_return,trade_return_net
1203,2025-05-05,42.05,2025-05-08,40.15,sunrise_attack_end,2,-0.045184,-0.051034
1203,2026-04-16,43.3,2026-04-21,44.0,sunrise_attack_end,2,0.016166,0.010316
1203,2026-04-17,43.7,2026-04-21,44.0,sunrise_attack_end,1,0.006865,0.001015
1210,2025-04-24,60.3,2025-04-28,59.8,sunrise_attack_end,1,-0.008292,-0.014142
1210,2025-05-05,63.7,2025-05-07,61.7,sunrise_attack_end,1,-0.031397,-0.037247
1215,2025-05-09,109.5,2025-05-13,109.0,sunrise_attack_end,1,-0.004566,-0.010416
1215,2025-06-26,119.5,2025-07-02,125.5,sunrise_attack_end,3,0.050209,0.044359
1215,2025-08-18,132.5,2025-08-25,137.0,reversal_k.bearish_engulfing,4,0.033962,0.028112
1215,2025-08-19,136.5,2025-08-25,137.0,reversal_k.bearish_engulfing,3,0.003663,-0.002187
1215,2025-10-17,146.0,2025-10-21,137.5,reversal_k.bearish_engulfing,1,-0.058219,-0.064069
1215,2026-01-13,150.0,2026-01-15,148.0,sunrise_attack_end,1,-0.013333,-0.019183
1215,2026-01-16,154.0,2026-01-20,150.0,breakout_price_break,1,-0.025974,-0.031824
1216,2025-07-11,85.3,2025-07-16,84.0,sunrise_attack_end,2,-0.01524,-0.02109
1216,2025-07-22,87.1,2025-07-24,86.3,reversal_k.bearish_engulfing,1,-0.009185,-0.015035
1218,2025-05-05,22.65,2025-05-12,21.75,prev_day_low_break,4,-0.039735,-0.045585
1227,2025-05-05,38.1,2025-05-07,37.2,sunrise_attack_end,1,-0.023622,-0.029472
1295,2025-09-05,156.0,2025-09-10,150.5,breakout_price_break,2,-0.035256,-0.041106
1301,2026-01-26,51.2,2026-01-30,49.6,high_long_black,3,-0.03125,-0.0371
1303,2025-07-28,37.3,2025-07-30,36.4,gap_attack_filled,1,-0.024129,-0.029979
1303,2025-11-12,51.6,2025-11-18,56.2,gap_attack_filled,3,0.089147,0.083297
1303,2025-11-13,52.1,2025-11-18,56.2,gap_attack_filled,2,0.078695,0.072845
1304,2026-03-09,12.8,2026-03-11,12.75,gap_attack_filled,1,-0.003906,-0.009756
1308,2026-03-09,14.6,2026-03-11,14.4,gap_attack_filled,1,-0.013699,-0.019549
1313,2026-03-03,12.85,2026-03-06,12.4,high_long_black,2,-0.035019,-0.040869
1314,2025-11-05,9.37,2025-11-10,9.41,high_long_black,2,0.004269,-0.001581
1326,2026-01-26,40.95,2026-01-30,44.25,gap_fill,3,0.080586,0.074736
1402,2025-05-05,35.7,2025-05-07,35.55,sunrise_attack_end,1,-0.004202,-0.010052
1410,2025-05-29,38.2,2025-06-05,39.8,sunrise_attack_end,3,0.041885,0.036035
1410,2025-06-02,40.0,2025-06-05,39.8,sunrise_attack_end,2,-0.005,-0.01085
1419,2025-05-16,52.0,2025-05-28,75.2,reversal_k.bearish_engulfing,7,0.446154,0.440304
1470,2025-04-28,26.6,2025-04-30,25.55,reversal_k.bearish_engulfing,1,-0.039474,-0.045324
1512,2025-05-08,8.4,2025-05-13,8.5,sunrise_attack_end,2,0.011905,0.006055
1514,2026-01-20,131.0,2026-01-27,139.0,gap_attack_filled,4,0.061069,0.055219
1519,2025-11-03,800.0,2025-11-05,748.0,gap_attack_filled,1,-0.065,-0.07085
1519,2026-01-14,935.0,2026-01-26,1030.0,high_long_black,7,0.101604,0.095754
1560,2026-04-16,535.0,2026-04-20,540.0,breakout_price_break,1,0.009346,0.003496
1560,2026-05-05,583.0,2026-05-11,584.0,gap_attack_filled,3,0.001715,-0.004135
1587,2025-12-17,49.0,2025-12-19,50.2,sunrise_attack_end,1,0.02449,0.01864
1599,2025-07-18,32.95,2025-07-22,32.5,breakout_price_break,1,-0.013657,-0.019507
1603,2025-06-16,42.0,2025-06-19,41.65,sunrise_attack_end,2,-0.008333,-0.014183
1603,2025-06-17,41.0,2025-06-19,41.65,sunrise_attack_end,1,0.015854,0.010004
1603,2026-01-23,43.9,2026-01-27,42.95,gap_attack_filled,1,-0.02164,-0.02749
1605,2026-01-06,37.3,2026-01-09,38.45,gap_attack_filled,2,0.030831,0.024981
1605,2026-01-07,39.8,2026-01-09,38.45,gap_attack_filled,1,-0.03392,-0.03977
1609,2026-01-22,49.6,2026-01-26,43.25,reversal_k.bearish_engulfing,1,-0.128024,-0.133874
1612,2025-06-16,38.75,2025-06-20,38.8,gap_attack_filled,3,0.00129,-0.00456
1612,2025-06-17,38.55,2025-06-20,38.8,gap_attack_filled,2,0.006485,0.000635
1616,2025-05-15,27.0,2025-05-28,26.8,prev_day_low_break,8,-0.007407,-0.013257
1623,2025-12-24,254.49,2025-12-31,269.16,reversal_k.bearish_engulfing,3,0.057645,0.051795
1717,2025-08-13,34.8,2025-08-20,42.5,high_long_black,4,0.221264,0.215414
1717,2026-04-09,77.6,2026-04-15,81.1,sunrise_attack_end,3,0.045103,0.039253
1717,2026-04-10,80.0,2026-04-15,81.1,sunrise_attack_end,2,0.01375,0.0079
1721,2026-04-21,27.0,2026-04-24,27.5,sunrise_attack_end,2,0.018519,0.012669
1722,2025-05-02,59.7,2025-05-07,56.3,gap_attack_filled,2,-0.056951,-0.062801
1722,2025-05-05,57.2,2025-05-07,56.3,gap_attack_filled,1,-0.015734,-0.021584
1726,2025-05-26,77.8,2025-05-28,77.4,breakout_price_break,1,-0.005141,-0.010991
1726,2025-07-01,78.5,2025-07-04,78.3,trend_change,1,-0.002548,-0.008398
1727,2025-11-25,45.9,2025-11-27,39.0,reversal_k.bearish_engulfing,1,-0.150327,-0.156177
1727,2026-03-12,55.0,2026-03-17,55.1,high_long_black,2,0.001818,-0.004032
1730,2025-05-06,56.6,2025-05-08,57.7,sunrise_attack_end,1,0.019435,0.013585
1734,2025-05-12,32.55,2025-05-15,32.5,sunrise_attack_end,2,-0.001536,-0.007386
1734,2025-05-19,33.1,2025-05-23,33.55,sunrise_attack_end,3,0.013595,0.007745
1735,2026-03-02,21.7,2026-03-04,19.7,high_long_black,1,-0.092166,-0.098016
1737,2025-08-19,32.2,2025-08-21,32.25,breakout_price_break,1,0.001553,-0.004297
1773,2026-04-23,176.0,2026-04-27,178.0,sunrise_attack_end,1,0.011364,0.005514
1784,2025-12-24,111.0,2025-12-30,108.0,reversal_k.bearish_engulfing,2,-0.027027,-0.032877
1784,2025-12-26,113.5,2025-12-30,108.0,reversal_k.bearish_engulfing,1,-0.048458,-0.054308
1785,2025-12-23,69.1,2025-12-29,67.7,reversal_k.bearish_engulfing,2,-0.02026,-0.02611
1785,2026-03-10,75.0,2026-03-16,82.5,sunrise_attack_end,3,0.1,0.09415
1802,2026-04-17,75.5,2026-04-21,71.4,high_long_black,1,-0.054305,-0.060155
1809,2026-03-19,35.75,2026-03-23,30.0,high_long_black,1,-0.160839,-0.166689
1809,2026-05-11,43.45,2026-05-13,38.8,high_long_black,1,-0.10702,-0.11287
1815,2025-06-04,38.95,2025-06-09,39.0,sunrise_attack_end,2,0.001284,-0.004566
1815,2025-11-12,93.5,2025-11-17,92.9,gap_attack_filled,2,-0.006417,-0.012267
1815,2025-12-29,97.7,2025-12-31,95.5,sunrise_attack_end,1,-0.022518,-0.028368
1815,2026-01-19,109.0,2026-01-22,110.0,high_long_black,2,0.009174,0.003324
1815,2026-04-17,128.5,2026-04-21,121.0,high_long_black,1,-0.058366,-0.064216
1904,2026-03-26,20.5,2026-03-30,20.15,gap_attack_filled,1,-0.017073,-0.022923
2009,2025-12-26,52.5,2025-12-31,50.7,breakout_low_break,2,-0.034286,-0.040136
2009,2025-12-29,50.9,2025-12-31,50.7,breakout_low_break,1,-0.003929,-0.009779
2022,2026-03-20,9.49,2026-03-24,9.26,breakout_price_break,1,-0.024236,-0.030086
2049,2026-04-14,279.0,2026-04-17,281.5,reversal_k.bearish_engulfing,2,0.008961,0.003111
2049,2026-04-15,285.0,2026-04-17,281.5,reversal_k.bearish_engulfing,1,-0.012281,-0.018131
2059,2025-05-22,2115.0,2025-05-28,2095.0,breakout_price_break,3,-0.009456,-0.015306
2059,2025-06-03,2170.0,2025-06-09,2145.0,breakout_price_break,3,-0.011521,-0.017371
2059,2025-07-18,2425.0,2025-07-24,2515.0,sunrise_attack_end,3,0.037113,0.031263
2072,2025-06-03,289.5,2025-06-10,339.91,sunrise_attack_end,4,0.174128,0.168278
2072,2025-06-04,303.92,2025-06-10,339.91,sunrise_attack_end,3,0.118419,0.112569
2108,2026-05-11,29.75,2026-05-13,27.8,reversal_k.bearish_engulfing,1,-0.065546,-0.071396
2207,2025-05-05,640.0,2025-05-08,642.0,gap_attack_filled,2,0.003125,-0.002725
2207,2025-05-06,652.0,2025-05-08,642.0,gap_attack_filled,1,-0.015337,-0.021187
2228,2025-08-08,115.5,2025-08-13,112.5,sunrise_attack_end,2,-0.025974,-0.031824
