ticker,entry_date,entry_open,exit_date,exit_open,exit_reason,hold_days,trade_return,trade_return_net
1101,2026-01-12,25.4,2026-01-14,25.25,gap_attack_filled,1,-0.005906,-0.011756
1101,2026-01-19,26.25,2026-01-23,25.9,reversal_k.bearish_engulfing,3,-0.013333,-0.019183
1101,2026-02-24,26.45,2026-02-26,26.4,breakout_price_break,1,-0.00189,-0.00774
1101,2026-02-25,26.4,2026-03-02,26.1,breakout_price_break,1,-0.011364,-0.017214
1101,2026-04-08,25.5,2026-04-10,25.35,breakout_price_break,1,-0.005882,-0.011732
1102,2025-05-05,45.6,2025-05-07,45.75,breakout_price_break,1,0.003289,-0.002561
1102,2025-11-27,38.9,2025-12-01,38.5,ma60_neckline,1,-0.010283,-0.016133
1103,2025-11-24,13.8,2025-11-26,13.65,gap_attack_filled,1,-0.01087,-0.01672
1103,2025-11-26,13.9,2025-12-01,13.8,sunrise_attack_end,2,-0.007194,-0.013044
1103,2025-11-27,13.8,2025-12-01,13.8,sunrise_attack_end,1,0.0,-0.00585
1103,2025-12-01,14.15,2025-12-05,14.05,gap_attack_filled,3,-0.007067,-0.012917
1103,2025-12-02,14.3,2025-12-05,14.05,gap_attack_filled,2,-0.017483,-0.023333
1103,2025-12-19,14.2,2025-12-23,14.15,breakout_price_break,1,-0.003521,-0.009371
1103,2026-01-12,14.05,2026-01-14,14.05,reversal_k.bearish_engulfing,1,0.0,-0.00585
1103,2026-01-15,14.15,2026-01-19,13.9,breakout_price_break,1,-0.017668,-0.023518
1103,2026-01-28,14.3,2026-01-30,14.2,breakout_price_break,1,-0.006993,-0.012843
1103,2026-02-23,14.15,2026-02-25,14.15,breakout_price_break,1,0.0,-0.00585
1104,2025-05-08,29.05,2025-05-12,29.5,breakout_price_break,1,0.015491,0.009641
1104,2025-05-09,29.5,2025-05-13,29.7,breakout_price_break,1,0.00678,0.00093
1104,2025-05-12,29.7,2025-05-14,29.15,reversal_k.bearish_engulfing,1,-0.018519,-0.024369
1104,2025-05-21,29.9,2025-05-23,30.2,gap_attack_filled,1,0.010033,0.004183
1104,2025-05-23,30.5,2025-05-27,30.75,breakout_price_break,1,0.008197,0.002347
1104,2025-06-04,31.15,2025-06-06,30.5,reversal_k.bearish_engulfing,1,-0.020867,-0.026717
1104,2025-09-24,30.45,2025-09-26,30.8,breakout_price_break,1,0.011494,0.005644
1104,2025-09-25,30.8,2025-09-30,30.45,reversal_k.bearish_engulfing,1,-0.011364,-0.017214
1104,2025-10-20,32.05,2025-10-23,32.5,sunrise_attack_end,2,0.014041,0.008191
1104,2025-10-21,32.75,2025-10-23,32.5,sunrise_attack_end,1,-0.007634,-0.013484
1104,2025-11-24,31.2,2025-11-26,31.7,breakout_price_break,1,0.016026,0.010176
1104,2025-11-25,31.7,2025-11-27,31.95,breakout_price_break,1,0.007886,0.002036
1104,2025-11-26,31.95,2025-11-28,31.75,reversal_k.bearish_engulfing,1,-0.00626,-0.01211
1108,2025-05-14,15.3,2025-05-16,15.35,breakout_price_break,1,0.003268,-0.002582
1108,2026-02-24,15.25,2026-03-04,15.15,breakout_price_break,4,-0.006557,-0.012407
1108,2026-02-26,15.2,2026-03-04,15.15,breakout_price_break,2,-0.003289,-0.009139
1108,2026-03-16,15.2,2026-03-18,15.05,breakout_price_break,1,-0.009868,-0.015718
1110,2025-05-22,20.75,2025-05-26,20.55,breakout_price_break,1,-0.009639,-0.015489
1110,2025-06-27,19.9,2025-07-01,19.6,reversal_k.bearish_engulfing,1,-0.015075,-0.020925
1203,2025-04-11,39.3,2025-04-15,38.75,gap_attack_filled,1,-0.013995,-0.019845
1203,2025-05-05,42.05,2025-05-08,40.15,sunrise_attack_end,2,-0.045184,-0.051034
1203,2025-05-20,41.15,2025-05-22,41.0,breakout_price_break,1,-0.003645,-0.009495
1203,2025-05-26,41.55,2025-05-28,41.1,breakout_price_break,1,-0.01083,-0.01668
1203,2025-06-10,39.55,2025-06-12,39.45,breakout_price_break,1,-0.002528,-0.008378
1203,2025-06-18,38.75,2025-06-20,38.55,breakout_price_break,1,-0.005161,-0.011011
1203,2025-06-26,40.9,2025-06-30,40.05,breakout_price_break,1,-0.020782,-0.026632
1203,2025-07-01,41.6,2025-07-03,41.4,gap_attack_filled,1,-0.004808,-0.010658
1203,2025-12-29,40.15,2025-12-31,39.6,breakout_price_break,1,-0.013699,-0.019549
1203,2026-02-11,41.75,2026-02-25,40.45,breakout_price_break,2,-0.031138,-0.036988
1203,2026-02-23,41.3,2026-02-25,40.45,breakout_price_break,1,-0.020581,-0.026431
1203,2026-04-13,41.7,2026-04-15,41.85,breakout_price_break,1,0.003597,-0.002253
1203,2026-04-14,41.85,2026-04-16,42.4,breakout_price_break,1,0.013142,0.007292
1203,2026-04-15,42.4,2026-04-21,44.0,sunrise_attack_end,3,0.037736,0.031886
1203,2026-04-16,43.3,2026-04-21,44.0,sunrise_attack_end,2,0.016166,0.010316
