ticker,trade_date,open,high,low,close,volume,ma20,ma60,ma240,vol_ma20,vol_ratio_20,is_attention_stock,is_disposition_stock,is_usable,prev_close,prev_open,prev_high,prev_low,prior_high_60,prior_high_20,prior_low_60,prior_low_20,avg_volume_20,volume_ratio,range_pct,body_abs,body_pct,close_pos,upper_shadow,lower_shadow,upper_shadow_ratio,lower_shadow_ratio,ma60_slope_5d,ma60_rolling_off_close,pre_breakout_trend_days,overhead_supply_layer,unfilled_gap_down_count_240d,is_red,is_black,is_doji,new_low_count_60d,is_in_breakdown_pattern,higher_low_count_60d,upper_band_spread_60d,is_pattern_breakout,attack_intensity,score_attack_quality,score_overhead_supply,score_ma60_rolloff,score_shadow_position,score_pattern_breakout,score_attack_intensity,scanner_score
2754,2025-09-01,90.5,91.0,90.0,90.7,36814,87.92999999999999,84.75166666666668,,43429.45,0.8476736408128586,0.0,,1,90.4,90.2,90.5,89.5,90.5,90.5,75.2,85.1,43074.0,0.8546687096624414,0.011049723756906077,0.20000000000000284,0.002209944751381247,0.7000000000000028,0.29999999999999716,0.5,1.4999999999999645,2.4999999999999645,0.01091407896306329,78.5,20,0.0,0.0,True,False,False,0.0,False,34.0,0.0055248618784530384,True,4,75.0,0.0,10.0,10.0,20.0,20.0,135.0
2838,2026-04-16,21.2,21.5,21.1,21.25,1709551,20.655,19.700833333333332,18.4325,1784925.15,0.9577718146892603,0.0,,1,21.05,21.0,21.2,20.95,21.2,21.2,18.25,19.55,1752756.05,0.9753502205854603,0.01886792452830182,0.05000000000000071,0.0023584905660377696,0.3749999999999978,0.25,0.09999999999999787,4.999999999999929,1.999999999999929,0.007457598227222251,19.0,20,0.0,0.0,True,False,True,5.0,False,30.0,0.03301886792452827,True,4,75.0,0.0,10.0,10.0,20.0,20.0,135.0
6944,2025-08-15,499.5,506.0,488.0,500.0,957360,448.1,440.625,,756860.15,1.2649100365503454,0.0,,1,498.5,482.0,499.0,476.0,499.0,499.0,368.0,416.0,746545.1,1.282387360120641,0.036036036036036036,0.5,0.001001001001001001,0.6666666666666666,6.0,11.5,12.0,23.0,0.01929675752785598,384.0,19,0.0,0.0,True,False,True,1.0,False,32.0,0.018036072144288578,True,4,75.0,0.0,10.0,10.0,20.0,20.0,135.0
6274,2025-10-31,376.0,402.5,375.5,385.5,45497296,335.275,317.3666666666667,,16038078.1,2.836829682229818,0.0,,1,366.0,356.0,381.5,356.0,381.5,381.5,252.0,302.0,14362336.6,3.167819921446487,0.07180851063829788,9.5,0.02526595744680851,0.37037037037037035,17.0,0.5,1.7894736842105263,0.05263157894736842,0.024920609290058682,259.5,20,0.0,0.0,True,False,False,2.0,False,34.0,0.023591087811271297,True,4,75.0,0.0,10.0,10.0,20.0,20.0,135.0
3711,2026-04-13,415.5,428.0,403.0,417.5,25890114,356.875,330.6,212.90625,18883731.75,1.3710274188786864,0.0,,1,393.0,390.0,397.5,385.0,397.5,397.5,251.5,318.5,18451241.05,1.403163826749746,0.06016847172081829,2.0,0.0048134777376654635,0.58,10.5,12.5,5.25,6.25,0.03471479617120066,263.5,20,0.0,0.0,True,False,True,0.0,False,36.0,0.03647798742138365,True,4,75.0,0.0,10.0,10.0,20.0,20.0,135.0
3010,2026-01-28,123.5,130.0,122.5,124.5,3387727,113.9,109.795,101.80291666666668,1847622.8,1.8335598586464725,0.0,,1,122.0,122.0,122.5,120.0,122.5,122.5,89.3,104.5,1739401.55,1.9476394050585961,0.06072874493927125,1.0,0.008097165991902834,0.26666666666666666,5.5,1.0,5.5,1.0,0.023014209177731226,91.6,20,0.0,0.0,True,False,False,2.0,False,36.0,0.0,True,4,75.0,0.0,10.0,10.0,20.0,20.0,135.0
6531,2025-10-03,358.0,377.5,352.5,362.0,10732188,332.85,316.4916666666667,,4020516.2,2.6693557409369473,0.0,,1,347.0,344.0,354.5,339.0,360.0,359.0,275.5,307.0,3668578.45,2.9254350550960684,0.06983240223463687,4.0,0.0111731843575419,0.38,15.5,5.5,3.875,1.375,0.014857173396039869,304.5,20,0.0,0.0,True,False,False,6.0,False,30.0,0.0,True,4,75.0,0.0,10.0,10.0,20.0,20.0,135.0
6285,2026-04-09,223.0,229.0,213.5,226.0,57691400,179.475,160.84166666666667,127.85041666666666,26769591.6,2.155109456357937,0.0,,1,216.5,212.0,216.5,201.5,216.5,216.5,98.6,151.0,24596866.4,2.3454776336875174,0.06950672645739911,3.0,0.013452914798206279,0.8064516129032258,3.0,9.5,1.0,3.1666666666666665,0.05413494412828124,99.0,20,0.0,0.0,True,False,False,1.0,False,37.0,0.04157043879907621,True,4,75.0,0.0,10.0,10.0,20.0,20.0,135.0
5351,2026-05-14,90.0,94.0,87.0,91.5,70193606,73.10499999999999,67.51666666666667,44.89145833333334,30202504.75,2.324098831571246,1.0,,1,87.0,81.8,88.0,80.2,88.0,88.0,48.0,59.5,27282535.55,2.5728402652076814,0.07777777777777778,1.5,0.016666666666666666,0.6428571428571429,2.5,3.0,1.6666666666666667,2.0,0.03252281184686745,57.3,19,0.0,0.0,True,False,False,3.0,False,31.0,0.0011363636363635717,True,4,75.0,0.0,10.0,10.0,20.0,20.0,135.0
2883,2026-05-07,22.25,22.8,22.0,22.45,74881281,21.142500000000002,20.269166666666667,17.168125,48259361.25,1.5516426048842493,,,1,22.2,21.95,22.3,21.95,22.3,22.3,17.8,20.05,48965172.7,1.5292763585004163,0.03595505617977531,0.1999999999999993,0.008988764044943788,0.5624999999999987,0.3500000000000014,0.25,1.7500000000000133,1.2500000000000044,0.01608321497201093,18.05,20,0.0,0.0,True,False,False,0.0,False,34.0,0.011210762331838564,True,4,75.0,0.0,10.0,10.0,20.0,20.0,135.0
