variant,market_regime,n,mean_10d_net_pct,win_rate_10d_net_pct,mean_20d_net_pct
breakout_attack_base,bear,288,0.661,43.4,2.204
breakout_attack_base,bull,3737,0.149,40.54,2.276
breakout_attack_base,range,1630,2.625,46.63,5.758
breakout_attack_tradable,bear,180,-0.496,40.56,1.598
breakout_attack_tradable,bull,2381,0.106,41.58,3.222
breakout_attack_tradable,range,954,2.684,47.9,6.863
breakout_high_close,bear,139,-0.564,38.85,1.725
breakout_high_close,bull,1830,0.242,41.86,3.456
breakout_high_close,range,706,2.91,47.03,7.169
breakout_next_low_open,bear,57,-0.54,38.6,1.045
breakout_next_low_open,bull,635,0.755,43.62,5.389
breakout_next_low_open,range,276,4.439,53.26,9.089
breakout_next_not_low_open,bear,123,-0.475,41.46,1.855
breakout_next_not_low_open,bull,1746,-0.13,40.84,2.434
breakout_next_not_low_open,range,678,1.97,45.72,5.957
breakout_non_bull,bear,180,-0.496,40.56,1.598
breakout_non_bull,range,954,2.684,47.9,6.863
breakout_volume_strong,bear,159,-0.587,40.25,1.373
breakout_volume_strong,bull,2129,0.055,41.01,3.013
breakout_volume_strong,range,842,3.081,48.34,7.31
