variant,ticker,trade_date,market_regime,open,high,low,close,volume,breakout_level,stop_price_breakout,stop_price_atr14,ret_10d_net,ret_20d_net
breakout_attack_base,1101,2026-01-12,bull,23.85,25.1,23.8,24.95,98217134,23.9,23.681,23.27857142857143,0.02761456692913402,-0.00585
breakout_attack_base,1101,2026-01-19,bull,25.0,26.45,24.9,26.2,80518853,25.8,24.775499999999997,24.21428571428571,-0.01918333333333342,0.0055785714285715654
breakout_attack_base,1102,2025-11-24,bear,37.55,38.35,37.55,38.35,17047392,38.25,37.362249999999996,36.89285714285714,-0.0045445169712793115,-0.058069321148825105
breakout_attack_base,1102,2025-11-27,range,37.8,38.9,37.8,38.85,8702768,38.4,37.611,37.09642857142857,-0.02384485861182504,-0.06240526992287907
breakout_attack_base,1103,2025-11-24,bear,13.45,13.75,13.45,13.75,635532,13.7,13.38275,13.282142857142857,0.00501956521739113,0.0195123188405796
breakout_attack_base,1104,2025-09-10,bull,30.05,32.0,30.0,32.0,21615922,30.5,29.85,29.09285714285714,-0.05451562009419151,-0.06550463108320256
breakout_attack_base,1104,2025-10-21,bull,32.05,32.85,31.9,32.75,4791672,32.0,31.740499999999997,31.29642857142857,-0.07760572519083972,-0.09745305343511454
breakout_attack_base,1203,2025-05-05,range,39.0,42.55,39.0,42.0,210495,40.0,38.805,38.35357142857143,-0.03795463733650404,-0.09859673008323419
breakout_attack_base,1203,2026-04-16,bull,42.4,42.9,42.3,42.9,68878,42.2,41.989000000000004,41.625,0.0010784064665127152,
breakout_attack_base,1210,2025-05-26,range,64.2,66.0,63.9,65.7,8223245,65.6,63.5805,62.30714285714285,-0.0862748861911988,-0.07261783004552355
breakout_attack_base,1210,2026-03-17,bull,54.0,54.2,53.4,54.1,3180585,53.7,53.132999999999996,52.55,-0.00585,0.003358103130755152
breakout_attack_base,1215,2025-05-16,range,112.0,114.5,112.0,114.5,1935841,111.0,110.445,108.27142857142857,-0.03641768558951961,-0.014583624454148493
breakout_attack_base,1215,2025-08-18,bull,128.5,132.0,128.5,132.0,1142390,130.0,127.8575,125.78571428571429,-0.0020764150943396236,0.0016971698113207529
breakout_attack_base,1215,2025-08-19,bull,132.5,137.0,131.5,135.5,2029707,132.0,130.8425,128.46428571428572,-0.024165018315018362,-0.03881703296703296
breakout_attack_base,1215,2025-10-17,range,141.0,146.0,140.0,146.0,1715263,142.5,139.3,136.39285714285714,-0.060644520547945203,-0.08461712328767121
breakout_attack_base,1215,2026-01-13,bull,141.0,154.0,141.0,151.5,6298680,148.0,140.295,137.46428571428572,-0.0091833333333333,-0.01251666666666671
breakout_attack_base,1215,2026-03-06,bull,157.0,163.5,154.5,163.5,1084201,159.0,153.7275,150.39285714285714,-0.05947776025236593,-0.11310552050473185
breakout_attack_base,1216,2025-12-26,bull,77.9,80.5,77.2,80.5,27059373,80.2,76.81400000000001,75.25714285714285,-0.058481578947368475,-0.08479736842105254
breakout_attack_base,1217,2026-01-15,bull,10.6,10.65,10.5,10.65,846211,10.6,10.4475,10.403571428571428,-0.019868691588784883,-0.00585
breakout_attack_base,1218,2025-05-05,range,21.75,22.85,21.7,22.65,18296291,21.75,21.5915,21.24642857142857,-0.056622626931567256,-0.08311269315673284
breakout_attack_base,1218,2026-03-12,bull,18.6,19.15,18.6,19.05,3854431,18.8,18.507,18.30357142857143,-0.00585,0.007170833333333259
breakout_attack_base,1219,2025-05-05,range,16.3,16.55,15.8,16.55,7587947,15.25,15.17375,14.914285714285715,-0.10870714285714286,-0.16299285714285713
breakout_attack_base,1219,2026-03-30,range,13.8,14.2,13.75,14.2,864410,13.95,13.68125,13.496428571428572,0.015129020979020823,-0.06179405594405594
breakout_attack_base,1225,2026-03-02,bull,30.0,32.65,30.0,32.6,1712822,30.95,29.85,29.32857142857143,-0.04853292682926822,-0.0348134146341462
breakout_attack_base,1227,2025-05-05,range,36.0,38.5,36.0,37.95,5229029,37.0,35.82,35.27142857142857,-0.06884212598425196,-0.13577125984251978
breakout_attack_base,1227,2025-10-15,range,31.55,33.95,31.4,33.95,4712925,32.35,31.243,30.83928571428571,-0.07876666666666673,-0.08471904761904767
breakout_attack_base,1227,2026-04-01,range,30.95,31.1,30.65,31.05,1469915,30.95,30.49675,30.082142857142856,-0.021850000000000015,-0.07944999999999999
breakout_attack_base,1229,2025-07-11,bull,46.9,48.0,46.5,47.8,3546992,47.4,46.2675,45.55357142857143,-0.07279560669456062,-0.04455292887029281
breakout_attack_base,1229,2025-08-28,bull,48.85,50.2,48.6,49.75,2616439,49.5,48.357,47.61071428571429,-0.052476984126984184,-0.037596031746031745
breakout_attack_base,1231,2025-08-07,bull,152.0,154.5,150.5,154.0,649196,153.0,149.7475,147.10714285714286,-0.09735326797385621,-0.10388921568627449
breakout_attack_base,1232,2026-03-02,bull,151.0,153.5,149.5,153.0,190644,152.0,148.7525,147.67857142857142,-0.02224344262295084,-0.02224344262295084
breakout_attack_base,1233,2025-11-25,bear,31.2,31.55,31.2,31.55,20230,31.35,31.044,31.032142857142855,0.011527567140600457,0.0004691153238546514
breakout_attack_base,1233,2025-12-02,range,32.0,32.3,32.0,32.3,11933,32.05,31.84,31.807142857142857,-0.01976035548686248,-0.013577975270479083
breakout_attack_base,1236,2025-09-11,range,22.9,23.35,22.8,23.35,144359,23.15,22.686,22.485714285714288,0.037068454935622296,0.06925729613733914
breakout_attack_base,1236,2025-09-22,bull,23.5,23.9,23.45,23.8,191120,23.7,23.33275,23.146428571428572,0.09919201680672277,0.08028445378151275
breakout_attack_base,1236,2025-09-25,bull,24.1,24.45,23.95,24.3,163916,24.05,23.83025,23.65357142857143,0.02501419753086411,0.08468497942386835
breakout_attack_base,1236,2025-10-01,range,24.7,24.95,24.65,24.95,101734,24.7,24.52675,24.34285714285714,-0.009858016032064022,0.042246192384769586
breakout_attack_base,1236,2025-10-02,range,24.95,25.45,24.95,25.45,270095,24.95,24.82525,24.646428571428572,-0.027418627450980428,0.013757843137254831
breakout_attack_base,1236,2025-10-03,range,25.5,27.9,25.5,27.45,679263,25.45,25.32275,24.985714285714284,-0.056851821493624756,-0.06049480874316935
breakout_attack_base,1236,2026-03-02,bull,26.65,27.5,26.55,27.45,146192,26.8,26.41725,26.107142857142858,-0.013149270072992693,-0.0551200729927007
breakout_attack_base,1240,2025-08-19,bull,64.1,64.6,63.7,64.6,35796,64.5,63.3815,63.01428571428572,-0.06776950464396278,-0.10646919504643956
breakout_attack_base,1256,2025-09-11,range,172.0,182.0,167.0,182.0,246075,173.0,166.165,159.10714285714286,-0.08851666666666666,-0.18718333333333334
breakout_attack_base,1259,2025-10-08,bull,60.0,61.5,60.0,61.5,15086,61.0,59.7,59.30714285714286,-0.03349227642276429,0.018540243902439045
breakout_attack_base,1259,2025-10-09,bull,61.5,62.6,61.5,62.6,13030,61.5,61.1925,60.74285714285714,-0.04905000000000002,0.01815000000000002
breakout_attack_base,1259,2025-10-13,range,62.5,62.8,61.8,62.7,16473,62.6,61.491,60.97142857142857,-0.03190863192182412,0.038123941368078194
