gap_pct,exit_reason,n,mean_return_pct,win_rate_pct,mean_hold_days
0.005,breakout_low_break,1298,-6.673,3.0,4.7
0.005,gap_fill,4865,2.558,42.59,5.9
0.005,neckline_break,17,2.33,35.29,36.7
0.005,open,199,7.083,66.83,6.9
0.005,reversal_black_k,239,-1.777,28.87,7.3
0.01,breakout_low_break,1868,-7.087,2.14,6.3
0.01,gap_fill,4067,4.528,47.46,8.4
0.01,neckline_break,65,0.137,35.38,45.5
0.01,open,268,7.114,65.67,9.4
0.01,reversal_black_k,350,1.918,36.57,10.6
0.015,breakout_low_break,2326,-7.408,1.72,7.7
0.015,gap_fill,3314,7.487,52.17,11.3
0.015,neckline_break,161,6.721,47.83,52.6
0.015,open,354,9.034,67.51,16.1
0.015,reversal_black_k,463,4.437,41.68,14.3
0.02,breakout_low_break,2673,-7.632,1.61,8.8
0.02,gap_fill,2612,10.638,56.66,13.0
0.02,neckline_break,261,7.817,49.04,55.4
0.02,open,448,11.123,70.09,20.3
0.02,reversal_black_k,624,6.721,44.87,19.8
0.025,breakout_low_break,2921,-7.797,1.51,9.4
0.025,gap_fill,2050,13.466,60.0,14.2
0.025,neckline_break,345,7.074,48.41,56.6
0.025,open,542,15.073,72.32,24.8
0.025,reversal_black_k,760,11.501,49.87,25.4
0.03,breakout_low_break,3081,-7.941,1.46,9.7
0.03,gap_fill,1620,15.381,61.73,15.7
0.03,neckline_break,400,7.205,49.25,57.2
0.03,open,617,16.816,73.74,26.1
0.03,reversal_black_k,900,17.156,54.11,30.2
0.035,breakout_low_break,3210,-8.051,1.5,9.9
0.035,gap_fill,1276,19.558,64.03,18.6
0.035,neckline_break,441,7.197,49.66,57.5
0.035,open,694,19.596,75.5,28.6
0.035,reversal_black_k,997,18.201,55.57,30.4
0.04,breakout_low_break,3295,-8.149,1.46,10.0
0.04,gap_fill,991,21.24,63.37,19.4
0.04,neckline_break,496,7.582,50.4,57.9
0.04,open,746,20.367,76.41,30.1
0.04,reversal_black_k,1090,20.164,57.16,31.8
0.045,breakout_low_break,3362,-8.239,1.43,10.1
0.045,gap_fill,766,20.454,64.62,19.2
0.045,neckline_break,528,8.687,51.14,58.5
0.045,open,789,24.301,76.93,31.7
0.045,reversal_black_k,1173,21.915,58.57,32.8
0.05,breakout_low_break,3420,-8.293,1.4,10.1
0.05,gap_fill,597,23.214,67.0,19.8
0.05,neckline_break,546,8.68,51.65,58.9
0.05,open,835,26.589,77.72,32.5
0.05,reversal_black_k,1220,22.061,59.18,33.6
