ticker,signal_date,entry_open,breakout_bar_low,exit_reason,exit_date,exit_price,hold_days,trade_return,trade_return_net
1101,2026-01-12,25.4,23.8,gap_fill,2026-03-11,24.45,33,-0.037402,-0.043252
1101,2026-01-19,26.25,24.9,breakout_low_break,2026-03-06,24.65,25,-0.060952,-0.066802
1102,2025-11-24,38.3,37.55,breakout_low_break,2025-12-17,36.9,16,-0.036554,-0.042404
1102,2025-11-27,38.9,37.8,breakout_low_break,2025-12-15,37.7,11,-0.030848,-0.036698
1103,2025-11-24,13.8,13.45,breakout_low_break,2026-03-10,13.55,65,-0.018116,-0.023966
1104,2025-09-10,31.85,30.0,breakout_low_break,2025-09-17,29.85,4,-0.062794,-0.068644
1104,2025-10-21,32.75,31.9,breakout_low_break,2025-10-30,31.6,5,-0.035115,-0.040965
1203,2025-05-05,42.05,39.0,breakout_low_break,2025-06-03,38.65,19,-0.080856,-0.086706
1203,2026-04-16,43.3,42.3,open,2026-05-12,42.9,17,-0.009238,-0.015088
1210,2025-05-26,65.9,63.9,breakout_low_break,2025-06-02,63.5,3,-0.036419,-0.042269
1210,2026-03-17,54.3,53.4,breakout_low_break,2026-03-20,53.1,2,-0.022099,-0.027949
1215,2025-05-16,114.5,112.0,breakout_low_break,2025-05-29,110.5,8,-0.034934,-0.040784
1215,2025-08-18,132.5,128.5,gap_fill,2025-10-27,138.5,45,0.045283,0.039433
1215,2025-08-19,136.5,131.5,breakout_low_break,2025-09-18,130.0,21,-0.047619,-0.053469
1215,2025-10-17,146.0,140.0,breakout_low_break,2025-10-21,137.5,1,-0.058219,-0.064069
1215,2026-01-13,150.0,141.0,gap_fill,2026-02-23,148.5,21,-0.01,-0.01585
1215,2026-03-06,158.5,154.5,breakout_low_break,2026-03-16,151.5,5,-0.044164,-0.050014
1216,2025-12-26,79.8,77.2,breakout_low_break,2026-01-02,77.1,3,-0.033835,-0.039685
1217,2026-01-15,10.7,10.5,breakout_low_break,2026-02-03,10.45,12,-0.023364,-0.029214
1218,2025-05-05,22.65,21.7,breakout_low_break,2025-05-14,21.5,6,-0.050773,-0.056623
1218,2026-03-12,19.2,18.6,open,2026-05-12,18.9,40,-0.015625,-0.021475
1219,2025-05-05,17.5,15.8,gap_fill,2025-05-07,16.4,1,-0.062857,-0.068707
1219,2026-03-30,14.3,13.75,gap_fill,2026-04-15,14.3,9,0.0,-0.00585
1225,2026-03-02,32.8,30.0,gap_fill,2026-03-06,31.1,3,-0.051829,-0.057679
1227,2025-05-05,38.1,36.0,breakout_low_break,2025-05-15,35.85,7,-0.059055,-0.064905
1227,2025-10-15,33.6,31.4,breakout_low_break,2025-10-29,31.45,8,-0.063988,-0.069838
1227,2026-04-01,31.25,30.65,breakout_low_break,2026-04-08,30.8,2,-0.0144,-0.02025
1229,2025-07-11,47.8,46.5,breakout_low_break,2025-07-25,44.6,9,-0.066946,-0.072796
1229,2025-08-28,50.4,48.6,gap_fill,2025-09-01,49.5,1,-0.017857,-0.023707
1231,2025-08-07,153.0,150.5,breakout_low_break,2025-08-11,148.5,1,-0.029412,-0.035262
1232,2026-03-02,152.5,149.5,breakout_low_break,2026-04-01,149.5,21,-0.019672,-0.025522
1233,2025-11-25,31.65,31.2,gap_fill,2026-03-16,31.0,68,-0.020537,-0.026387
1233,2025-12-02,32.35,32.0,breakout_low_break,2025-12-12,32.2,7,-0.004637,-0.010487
1236,2025-09-11,23.3,22.8,gap_fill,2026-01-30,26.15,94,0.122318,0.116468
1236,2025-09-22,23.8,23.45,gap_fill,2026-01-30,26.15,87,0.098739,0.092889
1236,2025-09-25,24.3,23.95,breakout_low_break,2025-11-19,23.85,34,-0.018519,-0.024369
1236,2025-10-01,24.95,24.65,breakout_low_break,2025-11-18,24.5,30,-0.018036,-0.023886
1236,2025-10-02,25.5,24.95,breakout_low_break,2025-10-17,24.6,8,-0.035294,-0.041144
1236,2025-10-03,27.45,25.5,breakout_low_break,2025-10-14,25.15,4,-0.083789,-0.089639
1236,2026-03-02,27.4,26.55,breakout_low_break,2026-03-26,27.1,17,-0.010949,-0.016799
1240,2025-08-19,64.6,63.7,breakout_low_break,2025-08-29,59.8,7,-0.074303,-0.080153
1256,2025-09-11,187.5,167.0,gap_fill,2025-09-15,177.5,1,-0.053333,-0.059183
1256,2026-05-08,176.0,169.5,open,2026-05-12,186.5,2,0.059659,0.053809
1259,2025-10-08,61.5,60.0,gap_fill,2025-10-16,60.9,4,-0.009756,-0.015606
1259,2025-10-09,62.5,61.5,breakout_low_break,2025-10-15,62.4,2,-0.0016,-0.00745
1259,2025-10-13,61.4,61.8,breakout_low_break,2025-10-15,62.4,1,0.016287,0.010437
1259,2025-11-11,63.0,60.3,gap_fill,2025-12-02,61.3,12,-0.026984,-0.032834
1259,2025-11-12,64.2,63.0,breakout_low_break,2025-11-24,61.0,6,-0.049844,-0.055694
1268,2025-08-18,160.0,154.0,open,2026-05-12,159.5,174,-0.003125,-0.008975
1294,2025-09-11,86.0,81.0,breakout_low_break,2025-10-02,80.0,13,-0.069767,-0.075617
1294,2026-03-06,87.1,79.3,gap_fill,2026-04-08,81.8,20,-0.06085,-0.0667
1295,2025-05-29,83.0,71.8,gap_fill,2025-07-04,128.5,24,0.548193,0.542343
1295,2025-06-06,97.0,89.6,gap_fill,2025-07-04,128.5,19,0.324742,0.318892
1295,2025-06-09,105.0,95.1,gap_fill,2025-07-04,128.5,18,0.22381,0.21796
1295,2025-06-24,129.5,120.5,gap_fill,2025-07-04,128.5,7,-0.007722,-0.013572
1295,2025-09-05,156.0,146.5,breakout_low_break,2025-09-11,138.0,3,-0.115385,-0.121235
1301,2025-07-23,40.6,38.8,reversal_black_k,2025-08-05,38.25,8,-0.057882,-0.063732
1301,2025-07-30,43.15,39.05,reversal_black_k,2025-08-05,38.25,3,-0.113557,-0.119407
1301,2025-11-12,41.4,39.6,gap_fill,2025-11-26,39.05,9,-0.056763,-0.062613
1301,2026-01-26,51.2,44.85,reversal_black_k,2026-02-03,45.0,5,-0.121094,-0.126944
1301,2026-02-25,53.0,49.0,gap_fill,2026-03-03,51.0,2,-0.037736,-0.043586
1303,2025-07-25,34.5,32.0,gap_fill,2025-08-06,36.9,7,0.069565,0.063715
1303,2025-07-28,37.3,33.9,gap_fill,2025-08-06,36.9,6,-0.010724,-0.016574
1303,2025-07-30,38.7,36.05,gap_fill,2025-08-06,36.9,4,-0.046512,-0.052362
1303,2025-07-31,39.8,37.5,gap_fill,2025-08-06,36.9,3,-0.072864,-0.078714
1303,2025-08-18,47.05,43.45,gap_fill,2025-08-20,41.1,1,-0.126461,-0.132311
1303,2025-11-12,51.6,44.85,gap_fill,2025-11-26,52.3,9,0.013566,0.007716
