analysis_variant,market_regime,n,mean_10d_net_pct,outcome,share_pct
tradable_filter,bear,62,-3.754,failure,11.29
tradable_filter,bear,191,6.562,success,34.79
tradable_filter,bull,74,-5.612,failure,13.48
tradable_filter,bull,49,7.403,success,8.93
tradable_filter,range,98,-5.773,failure,17.85
tradable_filter,range,75,7.604,success,13.66
tradable_next_close_confirm,bear,39,-3.185,failure,9.09
tradable_next_close_confirm,bear,180,6.882,success,41.96
tradable_next_close_confirm,bull,47,-5.331,failure,10.96
tradable_next_close_confirm,bull,23,7.232,success,5.36
tradable_next_close_confirm,range,79,-5.665,failure,18.41
tradable_next_close_confirm,range,61,7.944,success,14.22
