variant,ticker,trade_date,open,high,low,close,volume,key_level,stop_price,actual_entry_open,actual_ret_10d_net,actual_ret_10d_stop_net,actual_stop_hit_10d
base_signal,1210,2025-08-12,54.3,55.0,54.1,54.5,4079916,54.3,53.8295,54.6,-0.03515402930402931,-0.019961721611721585,True
base_signal,1231,2025-10-08,114.5,118.0,114.5,117.0,545260,115.5,113.9275,117.5,-0.05265851063829783,-0.03625425531914903,True
base_signal,1231,2025-11-14,93.8,94.9,92.3,94.9,1112668,93.0,91.8385,95.2,0.04457016806722693,0.04457016806722693,False
base_signal,1235,2026-01-22,39.75,40.8,39.5,40.8,17644,39.8,39.3025,40.8,-0.016879411764705733,-0.016879411764705733,False
base_signal,1235,2026-03-12,37.3,38.7,37.3,38.15,33210,38.0,37.113499999999995,38.1,0.053205118110236115,-0.031742388451443705,True
base_signal,1235,2026-03-16,36.4,36.4,35.6,35.95,34081,35.8,35.422000000000004,35.9,0.04986030640668528,0.04986030640668528,False
base_signal,1295,2026-02-03,79.9,81.1,77.5,79.5,88667,78.0,77.1125,80.0,-0.01585000000000001,-0.04194375000000004,True
base_signal,1303,2025-06-23,27.15,27.35,26.3,27.1,54667236,26.8,26.1685,27.1,0.04396549815498143,0.04396549815498143,False
base_signal,1303,2025-07-11,27.05,27.1,26.25,26.65,18654663,26.3,26.11875,26.6,0.2591875939849623,0.2591875939849623,False
base_signal,1305,2025-11-24,10.6,10.6,10.35,10.5,869433,10.4,10.29825,10.65,0.05048802816901401,0.05048802816901401,False
base_signal,1307,2025-04-11,34.05,34.7,32.05,34.6,2591978,32.4,31.889749999999996,35.45,0.03646311706629048,0.03646311706629048,False
base_signal,1319,2025-06-17,111.0,111.0,107.5,109.5,6208351,109.5,106.9625,110.0,-0.10584999999999997,-0.03346363636363634,True
base_signal,1319,2025-06-23,99.0,100.0,97.9,100.0,5145023,98.2,97.4105,101.5,-0.046244088669950646,-0.046140640394088696,True
base_signal,1336,2025-07-10,18.95,18.95,18.35,18.45,466882,18.4,18.25825,18.4,-0.011284782608695566,-0.013553804347826028,True
base_signal,1338,2026-03-11,15.6,15.85,15.4,15.55,366366,15.55,15.323,15.5,-0.07681774193548382,-0.017269354838709707,True
base_signal,1338,2026-03-27,14.25,14.45,14.1,14.2,129109,14.2,14.029499999999999,14.15,0.16022773851590114,0.16022773851590114,False
base_signal,1340,2025-09-12,5.49,5.59,5.45,5.52,574728,5.47,5.42275,5.57,0.5219776481149011,0.5219776481149011,False
base_signal,1418,2025-04-11,21.65,23.45,21.5,22.75,100827,22.1,21.3925,22.0,-0.030850000000000023,-0.03346363636363645,True
base_signal,1418,2025-07-01,20.15,20.55,19.9,20.25,236982,19.95,19.8005,20.55,-0.02531472019464729,-0.02531472019464729,False
