variant,market_regime,n,mean_10d_net_pct,win_rate_10d_net_pct,mean_10d_stop_net_pct,mean_20d_net_pct,win_rate_20d_net_pct,mean_20d_stop_net_pct,stop_hit_10d_pct
base_signal,bear,526,3.969,73.38,2.894,9.369,81.18,7.13,31.37
base_signal,bull,365,-0.942,38.08,-0.344,-1.768,34.79,-0.327,72.33
base_signal,range,454,-0.639,40.31,-0.891,1.23,46.26,0.044,62.33
tradable_close_pos_ge_0_7,bear,158,4.509,78.48,4.102,12.33,91.14,11.025,9.49
tradable_close_pos_ge_0_7,bull,30,-1.945,33.33,-2.536,-1.357,33.33,-1.485,66.67
tradable_close_pos_ge_0_7,range,64,-1.014,40.62,0.012,2.954,50.0,1.856,35.94
tradable_filter,bear,253,4.034,75.49,3.035,10.272,82.61,8.306,25.3
tradable_filter,bull,120,-0.733,39.17,-0.821,-0.058,36.67,-0.359,80.83
tradable_filter,range,172,-0.052,43.02,-0.365,3.401,51.74,0.855,54.65
tradable_next_close_confirm,bear,219,5.09,82.19,3.937,10.763,83.11,8.85,15.98
tradable_next_close_confirm,bull,70,-1.203,32.86,-1.423,-0.881,35.71,-1.166,70.0
tradable_next_close_confirm,range,139,0.1,43.17,-0.358,2.425,50.36,0.685,48.92
tradable_panic_drop_ge_10pct,bear,194,4.346,77.84,3.303,11.34,86.6,9.486,18.56
tradable_panic_drop_ge_10pct,bull,54,1.12,51.85,-0.073,3.06,42.59,0.911,74.07
tradable_panic_drop_ge_10pct,range,78,1.489,53.85,0.914,4.569,57.69,3.307,42.31
tradable_volume_ratio_ge_1_2,bear,129,4.502,80.62,3.384,11.683,89.92,9.811,16.28
tradable_volume_ratio_ge_1_2,bull,34,-1.572,32.35,-2.451,-2.32,35.29,-2.673,76.47
tradable_volume_ratio_ge_1_2,range,36,-1.923,30.56,-1.088,-1.346,38.89,-1.299,61.11
