variant,stop_model,n,mean_10d_stop_net_pct,win_rate_10d_stop_net_pct,stop_hit_10d_pct,mean_20d_stop_net_pct,win_rate_20d_stop_net_pct,stop_hit_20d_pct
base_signal,atr14,1345,0.804,48.85,27.29,3.171,49.14,35.99
base_signal,box20,1345,0.844,37.92,66.17,2.324,36.28,71.23
base_signal,simple,1345,0.738,39.33,52.94,2.714,38.51,59.78
tradable_close_pos_ge_0_7,atr14,252,2.472,62.7,8.73,8.302,72.62,13.1
tradable_close_pos_ge_0_7,box20,252,2.1,55.95,36.11,6.117,57.54,42.46
tradable_close_pos_ge_0_7,simple,252,2.273,60.32,23.02,7.207,64.68,30.56
tradable_filter,atr14,545,1.482,54.5,21.65,5.262,56.7,29.17
tradable_filter,box20,545,1.04,42.02,59.08,3.328,41.47,64.04
tradable_filter,simple,545,1.113,44.59,46.79,4.047,45.14,53.94
tradable_next_close_confirm,atr14,428,2.334,60.98,14.49,5.907,61.92,21.73
tradable_next_close_confirm,box20,428,1.602,49.3,46.03,4.112,47.66,52.34
tradable_next_close_confirm,simple,428,1.666,52.1,35.51,4.56,50.47,44.16
tradable_panic_drop_ge_10pct,atr14,326,2.675,65.64,12.27,7.735,68.71,17.79
tradable_panic_drop_ge_10pct,box20,326,1.916,53.37,46.32,5.551,54.29,50.61
tradable_panic_drop_ge_10pct,simple,326,2.172,56.75,33.44,6.587,59.51,38.65
tradable_volume_ratio_ge_1_2,atr14,199,1.725,60.3,18.09,6.21,64.32,22.61
tradable_volume_ratio_ge_1_2,box20,199,1.527,53.27,45.23,5.108,54.77,48.24
tradable_volume_ratio_ge_1_2,simple,199,1.578,54.77,34.67,5.668,56.78,39.7
