signal,ticker,trade_date,open,high,low,close,volume,intraday_rows,intraday_return_pct,intraday_range_pct,intraday_drawdown_pct,intraday_close_pos,high_time,low_time,first_30_high_pct,first_60_return_pct,below_open_after_1130,low_after_high_break_open,intraday_strong_attack,intraday_attack_failure
breakout_next_not_low_open,1595,2026-04-30,68.2,72.8,68.2,72.8,5208660,140,6.745,6.745,0.0,1.0,09:03,09:00,6.745,6.745,False,False,True,False
breakout_next_not_low_open,2417,2026-04-30,47.1,47.15,44.7,47.15,11980273,245,0.106,0.106,-5.096,1.0,10:24,09:23,0.0,-2.76,True,True,True,False
breakout_next_not_low_open,2465,2026-04-30,73.0,75.0,70.1,74.0,4358783,241,1.37,2.74,-3.973,0.796,11:16,09:16,2.055,-2.055,False,False,True,False
breakout_next_not_low_open,2486,2026-04-30,258.0,278.0,242.0,270.5,33488505,266,4.845,7.752,-6.202,0.792,12:50,09:09,0.969,-4.264,False,False,True,False
breakout_next_not_low_open,3088,2026-04-30,105.0,109.5,104.5,108.0,3588158,229,2.857,4.286,-0.476,0.7,09:27,09:00,4.286,2.381,False,False,True,False
breakout_next_not_low_open,4540,2026-04-30,64.6,69.8,63.8,68.5,27139619,265,6.037,8.05,-1.238,0.783,10:47,09:00,5.263,4.799,False,False,True,False
breakout_next_not_low_open,4576,2026-04-30,198.0,222.0,193.5,222.0,10276060,212,12.121,12.121,-2.273,1.0,09:42,09:09,11.616,12.121,False,False,True,False
breakout_next_not_low_open,4807,2026-04-30,19.1,20.75,18.8,20.75,873708,117,8.639,8.639,-1.571,1.0,13:30,09:00,8.377,4.188,False,True,False,True
breakout_next_not_low_open,4951,2026-04-30,118.0,119.0,115.0,119.0,4630562,105,0.847,0.847,-2.542,1.0,09:01,09:00,0.847,0.847,False,False,True,False
breakout_next_not_low_open,5443,2026-04-30,125.5,132.5,122.0,129.5,25241271,265,3.187,5.578,-2.789,0.714,09:54,09:26,1.195,4.382,False,False,True,False
breakout_next_low_open,1727,2026-04-29,74.6,83.2,74.3,83.2,18527043,220,11.528,11.528,-0.402,1.0,09:43,09:08,6.434,11.528,False,False,True,False
breakout_next_low_open,2059,2026-04-29,3980.0,4210.0,3885.0,4160.0,968800,192,4.523,5.779,-2.387,0.846,12:38,09:01,0.377,1.508,False,False,True,False
breakout_next_low_open,2464,2026-04-29,109.5,116.5,108.0,114.5,53277744,265,4.566,6.393,-1.37,0.765,12:37,09:00,5.936,1.37,False,False,True,False
breakout_next_low_open,6664,2026-04-29,425.5,466.0,416.5,458.0,5377760,259,7.638,9.518,-2.115,0.838,11:17,09:08,2.938,6.345,False,False,True,False
breakout_next_low_open,1463,2026-04-28,18.0,19.7,18.0,19.7,392747,73,9.444,9.444,0.0,1.0,09:09,09:00,9.444,9.444,False,False,True,False
breakout_next_low_open,2243,2026-04-28,25.0,27.4,25.0,27.4,3411621,193,9.6,9.6,0.0,1.0,10:59,09:00,8.8,5.8,False,False,True,False
breakout_next_low_open,3031,2026-04-28,33.1,34.35,32.0,33.75,14617673,264,1.964,3.776,-3.323,0.745,10:50,09:01,0.0,-0.755,True,True,False,True
breakout_next_low_open,3605,2026-04-28,76.8,84.1,75.5,83.6,25016004,265,8.854,9.505,-1.693,0.942,10:54,09:01,3.906,0.26,False,False,True,False
breakout_next_low_open,4958,2026-04-28,362.0,394.0,354.0,394.0,75673830,265,8.84,8.84,-2.21,1.0,09:17,09:02,8.84,5.387,False,False,True,False
breakout_next_low_open,4967,2026-04-28,292.0,310.0,279.0,303.0,53516714,266,3.767,6.164,-4.452,0.774,13:12,09:36,2.74,-2.055,True,False,True,False
upper_shadow_new_high,1533,2026-05-04,32.9,33.75,32.55,32.85,358921,87,-0.152,2.584,-1.064,0.25,09:08,09:58,2.584,-0.608,True,True,False,True
upper_shadow_new_high,1560,2026-05-04,555.0,564.0,546.0,557.0,3382514,236,0.36,1.622,-1.622,0.611,09:30,09:09,1.622,-0.18,True,True,False,True
upper_shadow_new_high,2049,2026-05-04,320.0,335.0,310.5,318.5,12388820,265,-0.469,4.688,-2.969,0.327,09:20,09:49,4.688,-1.719,True,True,False,True
upper_shadow_new_high,2070,2026-05-04,62.5,64.9,61.0,63.0,2797179,211,0.8,3.84,-2.4,0.513,09:35,09:00,2.4,2.56,False,False,False,False
upper_shadow_new_high,2233,2026-05-04,315.5,325.0,301.0,318.5,6301467,245,0.951,3.011,-4.596,0.729,09:39,09:04,2.853,0.475,True,True,False,True
upper_shadow_new_high,2303,2026-05-04,80.0,82.4,79.4,81.2,242174345,266,1.5,3.0,-0.75,0.6,09:27,09:04,3.0,0.75,False,False,False,False
upper_shadow_new_high,2368,2026-05-04,1430.0,1480.0,1400.0,1440.0,4541472,258,0.699,3.497,-2.098,0.5,09:01,09:28,3.497,1.049,True,True,False,True
upper_shadow_new_high,2388,2026-05-04,83.0,84.2,75.2,83.1,57348953,263,0.12,1.446,-9.398,0.878,12:57,09:52,0.12,-7.831,True,True,True,True
upper_shadow_new_high,3037,2026-05-04,912.0,920.0,862.0,911.0,43775340,265,-0.11,0.877,-5.482,0.845,09:14,09:06,0.877,-0.877,True,True,False,False
upper_shadow_new_high,3051,2026-05-04,29.5,29.9,28.7,29.4,23694104,262,-0.339,1.356,-2.712,0.583,09:08,10:59,1.356,-0.339,True,True,False,True
false_breakdown_reclaim,2601,2026-05-04,4.96,5.0,4.85,4.94,3115218,193,-0.403,0.806,-2.218,0.6,11:01,09:02,0.0,-0.403,True,True,False,False
false_breakdown_reclaim,2880,2026-05-04,31.8,32.3,31.8,32.05,28476672,266,0.786,1.572,0.0,0.5,13:20,09:00,1.415,1.258,False,False,False,False
false_breakdown_reclaim,3609,2026-05-04,22.35,22.35,20.95,21.2,325670,53,-5.145,0.0,-6.264,0.179,09:00,12:12,0.0,-2.685,True,True,False,False
false_breakdown_reclaim,6199,2026-05-04,89.0,91.4,87.8,91.2,814035,89,2.472,2.697,-1.348,0.944,13:09,09:04,0.0,0.0,False,False,True,False
