date,ticker,market_value
2024-12-31,0050,435152250000
2024-12-31,0051,1846800000
2024-12-31,0052,15276100000
2024-12-31,0053,569654400
2024-12-31,0055,2040124320
2024-12-31,0056,364838867120
2024-12-31,0057,220269750
2024-12-31,0061,3049580560
2024-12-31,006201,382132300
2024-12-31,006203,940056000
2024-12-31,006204,172575000
2024-12-31,006205,5014776130
2024-12-31,006206,1448896000
2024-12-31,006207,877683840
2024-12-31,006208,186672164000
2024-12-31,00625K,0
2024-12-31,00631L,31746389400
2024-12-31,00632R,26042057017
2024-12-31,00633L,11667371500
2024-12-31,00634R,191093760
2024-12-31,00635U,1325181780
2024-12-31,00636,4740869250
2024-12-31,00636K,448362
2024-12-31,00637L,35140009580
2024-12-31,00638R,299087360
2024-12-31,00639,2811546450
2024-12-31,00640L,987258400
2024-12-31,00641R,335105580
2024-12-31,00642U,2408109840
2024-12-31,00643,1526359950
2024-12-31,00643K,0
2024-12-31,00645,3098515940
2024-12-31,00646,31515366750
2024-12-31,00647L,925592800
2024-12-31,00648R,797031360
2024-12-31,00650L,4592203460
2024-12-31,00651R,222393080
2024-12-31,00652,3631228050
2024-12-31,00653L,1104030700
2024-12-31,00654R,151196180
2024-12-31,00655L,4393243080
2024-12-31,00656R,190307520
2024-12-31,00657,463057280
2024-12-31,00657K,41441
2024-12-31,00660,247280270
2024-12-31,00661,2328213750
2024-12-31,00662,45596592600
2024-12-31,00663L,286932800
2024-12-31,00664R,2279477500
2024-12-31,00665L,7543475650
2024-12-31,00666R,111221560
2024-12-31,00668,760669800
2024-12-31,00668K,38650
2024-12-31,00669R,1419950070
2024-12-31,00670L,7455604000
2024-12-31,00671R,1424656320
2024-12-31,00673R,3379971750
2024-12-31,00674R,478263220
2024-12-31,00675L,14541098800
2024-12-31,00676R,1117822770
2024-12-31,00678,207054400
2024-12-31,00679B,303924700800
2024-12-31,00680L,34728524880
2024-12-31,00681R,312457540
2024-12-31,00682U,0
2024-12-31,00683L,355076400
2024-12-31,00684R,112936720
