strategy,total_return_pct,final_capital,win_rate_pct,n_trades_avg,avg_hold_days,p10_return_pct,p90_return_pct
mcap50_attack,116.43,6492892.0,43.59,78.0,16.8,116.43,116.43
volume,98.61,5958332.0,41.57,89.0,14.8,98.61,98.61
mcap30_attack,93.3,5798890.0,38.46,91.0,14.4,93.3,93.3
vol50_attack,79.47,5384039.0,37.39,115.0,11.4,79.47,79.47
attack_quality,67.22,5016583.0,34.38,96.0,13.7,67.22,67.22
composite,63.45,4903416.0,34.34,99.0,13.2,63.45,63.45
market_cap_proxy,61.98,4859504.0,44.44,45.0,29.3,61.98,61.98
random,58.62,4758516.0,36.09,93.7,14.3,32.77,105.04
mcap50_composite,51.27,4538044.0,34.12,85.0,15.4,51.27,51.27
breakout_strength,16.94,3508226.0,38.69,168.0,7.8,16.94,16.94
