市值範圍,價格上限,n_trades,total_return_pct,final_capital,win_rate_pct,avg_hold_days
前50大,≤500,82,24.38,3731367.0,31.71,23.2
前50大,≤1000,95,9.85,3295631.0,30.53,21.1
前50大,無限制,85,39.35,4180412.0,35.29,24.3
前100大,≤500,172,54.71,4641372.0,31.4,18.5
前100大,≤1000,179,117.38,6521301.0,35.75,19.1
前100大,無限制,160,114.06,6421805.0,36.25,21.0
前200大,≤500,270,87.16,5614661.0,36.67,19.2
前200大,≤1000,255,114.96,6448932.0,36.08,18.9
前200大,無限制,247,127.61,6828382.0,36.84,19.3
前500大,≤500,493,80.66,5419671.0,33.27,16.5
前500大,≤1000,449,98.3,5948868.0,30.96,16.3
前500大,無限制,428,81.59,5447590.0,28.97,16.7
不限,≤500,919,73.07,5192080.0,29.82,14.6
不限,≤1000,900,59.13,4773776.0,31.33,14.9
不限,無限制,903,55.34,4660246.0,31.23,14.8
