策略,樣本數,均報,中位數,勝率,平均持有(日),被停損出%,最大虧損
A  固定停損（條件單）,60,+22.9%,-6.4%,30.0%,18.8,68.3%,-14.3%
B  Rolling Min N=5（條件單）,60,+3.5%,-5.1%,31.7%,6.0,98.3%,-14.3%
C  Rolling Min N=10（條件單）,60,+7.4%,-6.0%,26.7%,9.4,96.7%,-14.3%
D  Rolling Min N=20（條件單）,60,+20.1%,-6.4%,26.7%,15.8,83.3%,-14.3%
E1 Trailing 10%（條件單）,60,+1.2%,-5.1%,28.3%,6.3,96.7%,-14.3%
E2 Trailing 15%（條件單）,60,+3.7%,-5.8%,31.7%,9.9,93.3%,-14.3%
E3 Trailing 20%（條件單）,60,+14.1%,-6.0%,30.0%,14.4,88.3%,-14.3%
E4 Trailing 25%（條件單）,60,+20.0%,-6.4%,28.3%,17.1,81.7%,-14.3%
F  固定停損（收盤確認＋盤後）,60,+34.6%,-7.5%,41.7%,25.8,56.7%,-16.8%
G  Trailing 25%（收盤確認＋盤後）,60,+30.1%,-6.9%,43.3%,23.6,71.7%,-16.8%
H  動態：賠→固定 / 賺→Trail25%（收盤確認＋盤後）,60,+30.0%,-7.3%,43.3%,23.7,71.7%,-16.8%
