signal,n,mean_5d_pct,median_5d_pct,win_rate_5d_pct,mean_close_basis_5d_pct,win_rate_close_basis_5d_pct,mean_10d_pct,median_10d_pct,win_rate_10d_pct,mean_close_basis_10d_pct,win_rate_close_basis_10d_pct,mean_20d_pct,median_20d_pct,win_rate_20d_pct,mean_close_basis_20d_pct,win_rate_close_basis_20d_pct
breakout_attack,5763,0.231,-1.152,43.12,1.383,46.43,1.726,-1.065,44.73,2.898,48.33,4.19,-1.045,46.66,5.389,48.66
breakout_next_not_low_open,4067,-0.094,-1.414,41.63,2.363,50.21,1.275,-1.408,43.08,3.775,50.8,3.379,-1.667,45.09,5.941,49.77
breakout_next_low_open,1696,1.011,-0.441,46.7,-0.966,37.38,2.809,-0.035,48.7,0.795,42.39,6.135,0.292,50.41,4.065,45.99
upper_shadow_new_high,4074,0.317,-0.823,42.54,0.664,43.72,1.621,-0.629,46.12,1.966,47.59,3.832,-0.511,47.32,4.183,48.53
new_high_no_upper_shadow,8406,0.424,-0.822,44.24,1.608,47.51,1.859,-0.725,45.81,3.063,49.14,4.469,-0.562,47.74,5.715,49.76
doji_at_pressure,5251,0.472,-0.488,43.97,0.773,45.21,1.264,-0.585,45.04,1.564,46.28,2.891,-0.585,46.91,3.201,47.53
doji_break_up,17703,0.218,-0.551,43.87,0.523,45.44,0.851,-0.439,46.26,1.16,47.57,1.705,-0.639,46.76,2.023,47.57
doji_break_down,21492,0.256,-0.153,47.49,0.619,50.24,0.576,-0.285,47.27,0.938,48.76,1.202,-0.423,47.53,1.574,48.52
false_breakdown_reclaim,1359,1.047,0.671,54.3,1.888,58.72,1.69,1.015,56.07,2.541,59.16,4.148,1.987,59.01,5.06,61.15
real_breakdown_after_range_old,3297,0.445,0.0,49.65,0.902,53.84,1.023,0.312,51.68,1.486,54.17,1.298,-0.262,47.89,1.759,50.59
real_breakdown_after_range,2809,-0.24,-0.388,42.76,-0.132,45.85,0.11,-0.329,45.64,0.218,46.89,0.075,-1.015,42.54,0.183,43.5
breakout_low_overhead,3424,0.712,-0.737,45.91,1.787,48.57,2.737,-0.459,47.81,3.834,51.08,6.324,0.454,50.58,7.46,52.19
breakout_high_overhead,2033,-0.577,-1.634,38.07,0.698,42.4,0.017,-1.739,39.3,1.307,43.19,0.667,-2.636,39.89,1.973,42.74
breakout_vacuum_above,140,-0.72,-2.571,41.43,1.565,49.29,-0.647,-3.742,39.29,1.702,43.57,-1.84,-4.606,35.71,0.425,37.86
breakout_dense_above,5623,0.255,-1.119,43.16,1.379,46.36,1.785,-0.986,44.87,2.928,48.44,4.34,-0.939,46.93,5.513,48.92
supply_zone_absorbed,6435,4.255,1.695,62.04,5.849,67.85,5.896,2.174,59.25,7.52,64.69,8.828,2.719,58.15,10.505,61.07
