stock_id,stock_name,industry_category,type
00400A,主動國泰動能高息,ETF,twse
00401A,主動摩根台灣鑫收,ETF,twse
00403A,主動統一升級50,ETF,twse
0050,元大台灣50,ETF,twse
0051,元大中型100,ETF,twse
0052,富邦科技,ETF,twse
0053,元大電子,ETF,twse
0054,元大台商50,ETF,twse
0055,元大MSCI金融,ETF,twse
0056,元大高股息,ETF,twse
0057,富邦摩台,ETF,twse
0058,富邦發達,ETF,twse
0059,富邦金融,ETF,twse
0060,新台灣,ETF,twse
0061,元大寶滬深,ETF,twse
006201,元大富櫃50,上櫃ETF,tpex
006203,元大MSCI台灣,ETF,twse
006204,永豐臺灣加權,ETF,twse
006205,富邦上証,ETF,twse
006206,元大上證50,ETF,twse
006207,復華滬深,ETF,twse
006208,富邦台50,ETF,twse
00625K,富邦上証+R,ETF,twse
00631L,元大台灣50正2,ETF,twse
00632R,元大台灣50反1,ETF,twse
00633L,富邦上証正2,ETF,twse
00634R,富邦上証反1,ETF,twse
00635U,期元大S&P黃金,ETF,twse
00636,國泰中國A50,ETF,twse
00636K,國泰中國A50+U,ETF,twse
00637L,元大滬深300正2,ETF,twse
00638R,元大滬深300反1,ETF,twse
00639,富邦深100,ETF,twse
00640L,富邦日本正2,ETF,twse
00641R,富邦日本反1,ETF,twse
00642U,期元大S&P石油,ETF,twse
00643,群益深証中小,ETF,twse
00643K,群益深証中小+R,ETF,twse
00645,富邦日本,ETF,twse
00646,元大S&P500,ETF,twse
00647L,元大S&P500正2,ETF,twse
00648R,元大S&P500反1,ETF,twse
00649,FH香港,ETF,twse
00650L,復華香港正2,ETF,twse
00651R,復華香港反1,ETF,twse
00652,富邦印度,ETF,twse
00653L,富邦印度正2,ETF,twse
00654R,富邦印度反1,ETF,twse
00655L,國泰中國A50正2,ETF,twse
00656R,國泰中國A50反1,ETF,twse
00657,國泰日經225,ETF,twse
00657K,國泰日經225+U,ETF,twse
00658L,國泰日本正2,ETF,twse
00659R,國泰日本反1,ETF,twse
00660,元大歐洲50,ETF,twse
00661,元大日經225,ETF,twse
00662,富邦NASDAQ,ETF,twse
00663L,國泰臺灣加權正2,ETF,twse
00664R,國泰臺灣加權反1,ETF,twse
00665L,富邦恒生國企正2,ETF,twse
00666R,富邦恒生國企反1,ETF,twse
00667,元大韓國,ETF,twse
00668,國泰美國道瓊,ETF,twse
00668K,國泰美國道瓊+U,ETF,twse
00669R,國泰美國道瓊反1,ETF,twse
00670L,富邦NASDAQ正2,ETF,twse
00671R,富邦NASDAQ反1,ETF,twse
00672L,元大S&P原油正2,ETF,twse
00673R,期元大S&P原油反1,ETF,twse
00674R,期元大S&P黃金反1,ETF,twse
00675L,富邦臺灣加權正2,ETF,twse
00676R,富邦臺灣加權反1,ETF,twse
00677U,期富邦VIX,ETF,twse
00678,群益那斯達克生技,ETF,twse
00679B,元大美債20年,上櫃ETF,tpex
00680L,元大美債20正2,ETF,twse
00681R,元大美債20反1,ETF,twse
00682U,期元大美元指數,ETF,twse
00683L,期元大美元指正2,ETF,twse
00684R,期元大美元指反1,ETF,twse
00685L,群益臺灣加權正2,ETF,twse
00686R,群益臺灣加權反1,ETF,twse
00687B,國泰20年美債,上櫃ETF,tpex
00687C,國泰20年美債+櫃U,上櫃ETF,tpex
00688L,國泰20年美債正2,ETF,twse
00689R,國泰20年美債反1,ETF,twse
00690,兆豐藍籌30,ETF,twse
00691R,兆豐藍籌30反1,ETF,twse
00692,富邦公司治理,ETF,twse
00693U,期街口S&P黃豆,ETF,twse
00694B,富邦美債1-3,上櫃ETF,tpex
00695B,富邦美債7-10,上櫃ETF,tpex
00696B,富邦美債20年,上櫃ETF,tpex
00697B,元大美債7-10,上櫃ETF,tpex
00698L,元大美債7-10正2,ETF,twse
00699R,元大美債7-10反1,ETF,twse
00700,富邦恒生國企,ETF,twse
00701,國泰股利精選30,ETF,twse
00702,國泰標普低波高息,ETF,twse
00703,台新MSCI中國,ETF,twse
00704L,台新MSCI台灣正2,ETF,twse
00705R,台新MSCI台灣反1,ETF,twse
00706L,期元大S&P日圓正2,ETF,twse
00707R,期元大S&P日圓反1,ETF,twse
00708L,期元大S&P黃金正2,ETF,twse
00709,富邦歐洲,ETF,twse
00710B,復華彭博非投等債,ETF,twse
00711B,復華彭博新興債,ETF,twse
00712,復華富時不動產,ETF,twse
00713,元大台灣高息低波,ETF,twse
00714,群益道瓊美國地產,ETF,twse
00715L,期街口布蘭特正2,ETF,twse
00716R,華頓S&P布蘭特反1,ETF,twse
00717,富邦美國特別股,ETF,twse
00718B,富邦中國政策債,上櫃ETF,tpex
