date,open,high,low,close,spread,market_ret_1d,market_open_ret
2024-06-03,21388.71,21612.54,21372.08,21536.76,362.54,,
2024-06-04,21513.85,21529.98,21308.97,21356.62,-180.14,-0.008364303637130144,-0.0010637626086746899
2024-06-05,21385.0,21510.86,21264.63,21484.88,128.26,0.006005631977344716,0.0013288619641123045
2024-06-06,21856.13,21970.63,21847.68,21902.7,417.82,0.019447164703735753,0.01727959383529254
2024-06-07,21823.62,21920.85,21823.62,21858.38,-44.32,-0.0020234948202733083,-0.003610513772274726
2024-06-11,21984.42,22003.71,21792.12,21792.12,-66.26,-0.0030313316906377397,0.005766209572712899
2024-06-12,21841.81,22094.94,21841.81,22048.96,256.84,0.01178591160474518,0.002280182010745202
2024-06-13,22217.64,22440.1,22211.08,22312.04,263.08,0.011931628521254511,0.007650247449312753
2024-06-14,22311.93,22504.72,22252.02,22504.72,192.68,0.008635696242925262,-4.930073628450771e-06
2024-06-17,22468.11,22567.34,22431.26,22496.53,-8.19,-0.0003639236569040749,-0.0016267698509468964
2024-06-18,22690.34,22787.67,22642.94,22757.43,260.9,0.011597344123738251,0.008615106418634388
2024-06-19,22858.45,23275.3,22858.45,23209.54,452.11,0.019866478771987994,0.0044389898156338425
2024-06-20,23196.69,23406.1,23180.7,23406.1,196.56,0.008468931310142258,-0.0005536516449702322
2024-06-21,23193.9,23351.17,23151.15,23253.39,-152.71,-0.006524367579391677,-0.00906601270608931
2024-06-24,23124.31,23131.68,22813.7,22813.7,-439.69,-0.01890864084763544,-0.005551018582666822
2024-06-25,22695.15,22875.97,22503.0,22875.97,62.27,0.0027295002564249327,-0.005196438981839857
2024-06-26,22938.57,23074.74,22893.75,22986.69,110.72,0.0048400133415107405,0.0027364959824653923
2024-06-27,22859.93,22922.56,22765.16,22905.98,-80.71,-0.003511162329156492,-0.005514495562431887
2024-06-28,22896.72,23142.4,22896.72,23032.25,126.27,0.0055125342814408285,-0.00040426124531667273
2024-07-01,23042.7,23187.88,23015.17,23058.57,26.32,0.0011427454981600693,0.00045371164345642256
2024-07-02,23012.74,23041.9,22833.78,22879.37,-179.2,-0.007771514018432235,-0.0019875473630844853
2024-07-03,23009.82,23172.43,22994.28,23172.43,293.06,0.012808919126706675,0.005701643008526824
2024-07-04,23360.88,23571.82,23360.88,23522.53,350.1,0.015108471575920213,0.008132509193036652
2024-07-05,23532.01,23628.86,23491.79,23556.59,34.06,0.0014479734960484159,0.00040301787265217826
2024-07-08,23550.64,24011.64,23505.86,23878.15,321.56,0.01365053261104432,-0.0002525832474055134
2024-07-09,23888.2,24126.66,23607.92,23900.08,21.93,0.000918412858617712,0.00042088687775221345
2024-07-10,23744.88,24040.61,23682.49,24007.08,107.0,0.004476972462016837,-0.00649370211313105
2024-07-11,24242.03,24416.67,24151.8,24390.03,382.95,0.01595154429443313,0.009786696257937155
2024-07-12,23955.67,24045.73,23774.22,23916.93,-473.1,-0.019397270114058895,-0.017808916184195
2024-07-15,23927.91,24018.31,23759.51,23879.36,-37.57,-0.0015708537843276416,0.0004590890218769683
2024-07-16,23880.33,24174.18,23861.77,23997.25,117.89,0.004936899481393198,4.062085416034478e-05
2024-07-17,23827.27,23993.68,23650.94,23769.82,-227.43,-0.009477335944743648,-0.007083311629457523
2024-07-18,23373.01,23450.91,23148.74,23398.47,-371.35,-0.015622751876118501,-0.016693858009863005
2024-07-19,23228.04,23235.82,22865.84,22869.26,-529.21,-0.022617290788671363,-0.007283809582421474
2024-07-22,22818.86,22818.86,22130.88,22256.99,-612.27,-0.026772619664999997,-0.0022038316937232905
2024-07-23,22514.75,22871.84,22514.75,22871.84,614.85,0.0276250292604705,0.011581080820002976
2024-07-26,22206.93,22206.93,21889.61,22119.21,-752.63,-0.03290640368243225,-0.029071119769987885
2024-07-29,22321.37,22471.4,22128.14,22164.49,45.28,0.0020470893851995964,0.009139566919433406
2024-07-30,22040.04,22276.39,21833.85,22223.57,59.08,0.0026655249004150505,-0.005614837065955558
2024-07-31,22088.78,22315.31,22046.29,22199.35,-24.22,-0.0010898339015739111,-0.006065182146702819
2024-08-01,22546.4,22652.21,22465.06,22642.1,442.75,0.01994427764776896,0.015633340615828883
2024-08-02,22141.2,22141.2,21636.22,21638.09,-1004.01,-0.04434261839670339,-0.022122506304627088
2024-08-05,20982.92,20982.92,19783.5,19830.88,-1807.21,-0.0835198485633436,-0.030278550463557652
2024-08-06,20344.39,20751.5,19662.74,20501.02,670.14,0.03379275150674088,0.025894463584066774
2024-08-07,20638.28,21306.23,20638.28,21295.28,794.26,0.0387424625701549,0.006695276625260593
2024-08-08,21047.16,21074.19,20723.26,20870.1,-425.18,-0.019965926721789984,-0.011651408199375601
2024-08-09,21212.0,21613.76,21212.0,21469.0,598.9,0.02869655631741108,0.016382288537189593
2024-08-12,21598.93,21897.98,21598.93,21773.26,304.26,0.014172062042945521,0.006051981927430283
2024-08-13,21816.07,21866.63,21698.47,21796.57,23.31,0.0010705792334266828,0.001966173186743747
2024-08-14,21952.03,22155.29,21942.22,22027.25,230.68,0.010583316549346966,0.007132314855043731
2024-08-15,22005.69,22089.04,21895.17,21895.17,-132.08,-0.0059962092408267775,-0.000978787638039269
2024-08-16,22114.72,22374.94,22114.72,22349.33,454.16,0.020742474253454324,0.010027325661321695
2024-08-19,22338.83,22485.91,22307.17,22409.63,60.3,0.002698067458845488,-0.00046981274158997
2024-08-20,22464.07,22545.89,22369.25,22429.1,19.47,0.0008688229122923996,0.002429312755275248
2024-08-21,22316.78,22358.88,22165.82,22237.89,-191.21,-0.00852508571454047,-0.005007780071425105
2024-08-22,22254.59,22315.92,22096.26,22148.83,-89.06,-0.004004876361920928,0.0007509705282291446
2024-08-23,22042.59,22159.27,21935.98,22158.05,9.22,0.0004162748100011715,-0.004796641628474374
2024-08-26,22250.49,22449.45,22164.53,22240.12,82.07,0.003703845780653081,0.0041718472519018945
2024-08-27,22179.21,22205.11,22059.51,22185.0,-55.12,-0.0024784038935041774,-0.0027387442154088726
2024-08-28,22210.57,22370.66,22108.86,22370.66,185.66,0.008368717601983322,0.0011525805724588167
2024-08-29,22136.31,22273.62,22010.89,22201.85,-168.81,-0.007546044685315612,-0.010475774965959861
2024-08-30,22230.07,22342.25,22230.07,22268.09,66.24,0.0029835351558542555,0.0012710652490670604
2024-09-02,22341.9,22439.31,22178.04,22235.1,-32.99,-0.0014814921261769864,0.0033146084823620914
2024-09-03,22240.11,22303.5,22092.21,22092.21,-142.89,-0.0064263259441154075,0.00022531942739201227
2024-09-04,21574.65,21574.65,20922.17,21092.75,-999.46,-0.045240381111713135,-0.023427262369857815
2024-09-05,21271.09,21488.81,21150.99,21187.71,94.96,0.004502020836543386,0.008455037868462023
2024-09-06,21255.45,21461.71,21125.14,21435.19,247.48,0.011680356206498876,0.003197136453160887
2024-09-09,21127.81,21163.91,20922.51,21144.44,-290.75,-0.013564143821444996,-0.014339970860999918
2024-09-10,21252.57,21324.43,20977.0,21064.08,-80.36,-0.0038005262849238886,0.0051138739072777994
2024-09-11,21089.18,21134.05,21031.0,21031.0,-33.08,-0.0015704459914699376,0.0011916020068285516
2024-09-12,21373.64,21706.85,21373.64,21653.25,622.25,0.029587275926014067,0.016292140174028802
2024-09-13,21754.36,21796.39,21643.22,21759.65,106.4,0.004913812014362806,0.004669506886956887
2024-09-16,21800.0,21854.74,21736.7,21850.08,90.43,0.004155857286307407,0.001854349679337508
2024-09-18,21813.54,21859.16,21584.63,21678.84,-171.24,-0.007837042244238979,-0.0016723050899585257
2024-09-19,21675.4,22042.69,21656.66,22042.69,363.85,0.016783647095508725,-0.00015868007697827924
2024-09-20,22246.24,22354.54,22136.53,22159.42,116.73,0.005295633155481427,0.009234353883305735
2024-09-23,22170.94,22307.46,22170.94,22285.53,126.11,0.005691033429575443,0.0005198692023526963
2024-09-24,22273.79,22431.78,22154.55,22431.78,146.25,0.006562554267275589,-0.0005267992280191258
2024-09-25,22569.29,22785.32,22569.29,22761.6,329.82,0.01470324691130176,0.00613014214654406
2024-09-26,22841.42,22961.77,22769.24,22858.81,97.21,0.004270789399690722,0.003506783354421561
2024-09-27,22978.97,23079.21,22806.83,22822.79,-36.02,-0.0015757600680000872,0.005256616595527008
2024-09-30,22643.91,22691.23,22224.54,22224.54,-598.25,-0.026212833750825393,-0.007837779693017466
2024-10-01,22329.65,22446.86,22311.33,22390.39,165.85,0.007462471664205328,0.004729456717664338
2024-10-04,22459.1,22493.05,22193.5,22302.71,-87.68,-0.003915965733513382,0.0030687272530760534
2024-10-07,22479.24,22719.07,22479.24,22702.56,399.85,0.01792831454114774,0.007915181607974997
2024-10-08,22691.32,22691.32,22418.38,22611.39,-91.17,-0.004015846671036272,-0.0004950983501420536
2024-10-09,22637.17,22885.95,22637.17,22659.08,47.69,0.002109114035006465,0.0011401333575689065
2024-10-11,22726.19,23011.11,22726.19,22901.64,242.56,0.010704759416533927,0.0029617266014330124
2024-10-14,22947.32,23015.55,22799.14,22975.29,73.65,0.0032159268943185992,0.0019946169793954027
2024-10-15,23083.7,23353.91,23082.06,23292.04,316.75,0.013786550681188281,0.004718547622249769
2024-10-16,22990.64,23258.52,22866.73,23010.98,-281.06,-0.01206678333027078,-0.012940043036161808
2024-10-17,23114.21,23191.79,22950.7,23053.84,42.86,0.0018625890770407327,0.004486119235252106
2024-10-18,23620.57,23713.7,23378.36,23487.27,433.43,0.018800772452658654,0.024582889444882072
2024-10-21,23602.98,23678.51,23480.06,23542.53,55.26,0.002352763858890272,0.0049264984819434865
2024-10-22,23428.11,23535.43,23269.86,23535.43,-7.1,-0.0003015818605731635,-0.004860140350251174
2024-10-23,23402.24,23486.45,23318.84,23334.76,-200.67,-0.008526294187104377,-0.005659127536654207
2024-10-24,23446.64,23446.64,23150.77,23192.52,-142.24,-0.006095627295930939,0.004794563989516165
2024-10-25,23255.07,23388.53,23222.77,23348.45,155.93,0.006723288370560798,0.0026969902365072684
2024-10-28,23455.69,23547.12,23164.42,23198.07,-150.38,-0.006440684499399385,0.004593024376350341
2024-10-29,23048.45,23056.57,22711.1,22926.59,-271.48,-0.01170269768131571,-0.006449674477230216
2024-10-30,22985.13,23116.33,22801.45,22820.43,-106.16,-0.004630431302692584,0.0025533670729054325
