group,n,mean_1d,median_1d,wr_1d,cap10_1d,mean_5d,median_5d,wr_5d,cap10_5d,mean_10d,median_10d,wr_10d,cap10_10d,mean_20d,median_20d,wr_20d,cap10_20d
A:  boosted K1+K2+K3 (current),309,0.012356931942404826,0.003731343283581934,0.5275080906148867,0.016181229773462782,0.02626283710053832,0.004777070063694433,0.5307443365695793,0.2168284789644013,0.04411051631904018,0.012903225806451646,0.5533980582524272,0.2459546925566343,0.08437881890069236,0.019024079368906932,0.5551724137931034,0.33793103448275863
A': boosted K1+K2 only (drop K3),215,0.01972407615992324,0.014476614699331813,0.6186046511627907,0.023255813953488372,0.04197901244280294,0.017405063291139333,0.5767441860465117,0.28837209302325584,0.06575354009284824,0.02813852813852802,0.5953488372093023,0.3209302325581395,0.12385001626191777,0.05784061696658105,0.6345177664974619,0.43147208121827413
"B:  control vs A (scanner only, no K123)",43625,0.002091218424706988,0.0,0.46704719987162735,0.0037594846755152097,0.010899879706229718,0.0,0.49262868279261723,0.11255302074974206,0.020287938867183775,0.0,0.4999656018529135,0.17870984016327654,0.045294979547956506,0.006153846153846176,0.5165399824773271,0.266249911202671
"B': control vs A' (scanner only, no K12)",43719,0.00207706011246912,0.0,0.46672919001761326,0.003751401056797127,0.01085561285721643,0.0,0.49248438536685807,0.11242535862179413,0.02023270150806398,0.0,0.4998741447564129,0.17848561817807373,0.045197138398245774,0.006075988309490854,0.5162555524052547,0.26597202532841885
"C:  kline_only (K1+K2+K3, no scanner)",2282,0.008264326495006403,0.003616648354523133,0.537248028045574,0.0026292725679228747,0.011213848702852662,0.007821229050279266,0.5521472392638037,0.1021034180543383,0.028664870223847786,0.018862252663622625,0.5994741454864154,0.175284837861525,0.05494065322518722,0.02736919759391676,0.5930335097001763,0.30511463844797176
D:  baseline (all rows),189742,0.002034473436135756,0.0,0.4756561610625066,0.002919784968904817,0.011031396219069203,0.002557544757033181,0.5112316319861699,0.09893428625640377,0.02177507868292117,0.006269592476489061,0.5297832079738142,0.1659753005729466,0.04491976879496996,0.012941176470588234,0.5439301366262385,0.25787330826462684
  A1: shakeout × K1+K2+K3,35,-0.011034974915066465,-0.010238907849829393,0.4,0.0,0.009584331509931349,0.0,0.45714285714285713,0.17142857142857143,0.047274278194482634,0.006825938566553003,0.5142857142857142,0.2,0.15683754954292298,0.09322033898305082,0.6285714285714286,0.4857142857142857
  B1: shakeout × no_kline,366,-0.012685179733663062,-0.01616168212093505,0.3360655737704918,0.01639344262295082,0.003569945992372808,-0.007028087820434181,0.45901639344262296,0.1721311475409836,0.034306115776784024,0.005806663356587971,0.5218579234972678,0.28415300546448086,0.09914965355600415,0.04802259887005644,0.5965417867435159,0.4092219020172911
  A2: w_bottom × K1+K2+K3,290,0.015060768421609555,0.004673305380852533,0.5413793103448276,0.017241379310344827,0.027629456871287882,0.006119878315429261,0.5344827586206896,0.22413793103448276,0.04474266423560856,0.013263602004043307,0.5551724137931034,0.25517241379310346,0.08417729091493743,0.019631901840490906,0.5571955719557196,0.33210332103321033
  B2: w_bottom × no_kline,43430,0.0021465606736614487,0.0,0.4675324675324675,0.0036612323846366398,0.01089309095400473,0.0,0.4926531552280055,0.11218332565637955,0.020233097822511408,0.0,0.4999078595779969,0.17826868147056113,0.04511155457899304,0.0060606060606061,0.5162817249827549,0.26574058657025285
K1: attack_cost_displayed (raw),639,0.018095507654041297,0.012765957446808418,0.5821596244131455,0.012519561815336464,0.039919527475294564,0.023359288097886566,0.5805946791862285,0.2644757433489828,0.06482004805038162,0.027272727272727337,0.5868544600938967,0.3129890453834116,0.11228546671056527,0.05705752140369158,0.6058631921824105,0.41042345276872966
K2: morning_star_island_reversal (raw),599,0.017993409764166093,0.014141414141414232,0.6444073455759599,0.0,0.023882687026803573,0.01876379690949226,0.6210350584307178,0.1001669449081803,0.04772839250459729,0.04746317512274967,0.7462437395659433,0.2020033388981636,0.08997781046612069,0.09242618741976871,0.7579298831385642,0.4707846410684474
K3: morning_star_harami (raw),1360,0.0001447325278290568,0.0,0.46544117647058825,0.0022058823529411764,-0.004273944767074917,0.0016822297679682796,0.5036764705882353,0.052941176470588235,0.006942528976129502,0.004927184466019363,0.5301470588235294,0.11544117647058824,0.01969709232135109,0.003050463695294714,0.5066568047337278,0.1900887573964497
K3a: msh + vol_ratio_20 ≥ 1.5,50,0.006260235504933662,0.005375906718188661,0.58,0.0,0.006847110841458552,0.013041265532889423,0.6,0.06,0.0168653639756884,0.015151515151515138,0.54,0.16,-0.008417947731189932,-0.03196347031963476,0.42857142857142855,0.14285714285714285
K3b: msh + ma5 ≥ ma10,41,0.0046857311547614956,0.0014513788098693414,0.5121951219512195,0.0,0.017997141162135338,0.010752688172043001,0.5853658536585366,0.12195121951219512,0.008509919941766931,-0.004385964912280715,0.4634146341463415,0.14634146341463414,0.01638108613810132,0.001461563977112501,0.5,0.175
K3c: msh + vol + ma_align,1,0.01833872707659112,0.01833872707659112,1.0,0.0,0.28910463861920177,0.28910463861920177,1.0,1.0,0.267529665587918,0.267529665587918,1.0,1.0,-0.02049622437971954,-0.02049622437971954,0.0,0.0
  A3a: scanner × K3a (msh+vol),0,,,,,,,,,,,,,,,,
  A3b: scanner × K3b (msh+ma),5,-0.004949233453863444,-0.0029197080291971655,0.4,0.0,-0.014052106090115113,-0.0357142857142857,0.2,0.2,-0.08811784313510532,-0.09920634920634919,0.2,0.0,-0.07070294398126292,-0.10689139467892561,0.25,0.25
  A3c: scanner × K3c (msh+vol+ma),0,,,,,,,,,,,,,,,,
