pattern,branch_id,n_runs,n_matched,hit_rate,avg_matched_days
morning_star_island_reversal,B2_next_day_gap_filled,288,255,0.8854166666666666,1.0
gap_reversal,B2_next_day_gap_filled,2449,2050,0.8370763576970192,1.0
gap_under_pressure_reversal,B1_next_day_gap_fills_up,3949,3277,0.8298303367941251,1.0
breakout_double_star,B1_next_day_gap_up_holds,327,218,0.6666666666666666,1.0
morning_star_island_reversal,B3_next_day_encounters_overhead_supply,288,190,0.6597222222222222,1.0
merged_doji,B1_gap_up_attack,518,279,0.5386100386100386,1.0
morning_star_harami,B1_next_day_gap_up_attack,875,454,0.5188571428571429,1.0
bear_engulfing,B3_next_day_consolidation,325,167,0.5138461538461538,1.0
piercing_line,B3_next_day_stalls,5335,2721,0.5100281162136833,1.0
dark_double_star_anye,B3_next_day_stalls_within_range,1469,735,0.5003403675970047,1.0
evening_star_abandoned,B3_next_day_stalls,668,331,0.49550898203592814,1.0
bull_engulfing,B3_next_day_consolidation,47,22,0.46808510638297873,1.0
evening_star_island_reversal,B3_next_day_drifts_lower,249,110,0.44176706827309237,1.0
morning_star_harami,B2_next_day_close_above_midpoint,875,376,0.4297142857142857,1.0
breakout_double_star,B3_next_day_holds_above_breakout,327,108,0.3302752293577982,1.0
three_red_dadi_dangqian,B2_next_day_gap_down,389,127,0.3264781491002571,1.0
breakout_double_star,B2_next_day_returns_to_consolidation,327,104,0.3180428134556575,1.0
evening_star_island_reversal,B2_next_day_rallies_back_above_gap,249,77,0.3092369477911647,1.0
morning_star_harami,B3_next_day_drops_to_new_low,875,269,0.30742857142857144,1.0
outside_three_black,B2_next_day_gap_down,75,23,0.30666666666666664,1.0
high_hanging_man,B2_next_day_gap_down_confirmation,46,14,0.30434782608695654,1.0
trapped,B2_next_day_reverses,249,75,0.30120481927710846,1.0
two_crow_gap,B1_next_day_rising_three_method,957,273,0.2852664576802508,1.0
embracing,B2_next_day_breaks_opposite,8247,2298,0.2786467806475082,1.0
bull_engulfing,B2_next_day_fall_below_today_low,47,13,0.2765957446808511,1.0
gap_fill_down,B2_next_day_falls_back,4698,1283,0.27309493401447427,1.0
evening_star_island_reversal,B1_next_day_gap_down_continues,249,68,0.27309236947791166,1.0
rebound,B2_next_day_reverses_again,1984,535,0.2696572580645161,1.0
piercing_line,B1_next_day_confirms_penetration_direction,5335,1429,0.26785379568884726,1.0
gap_under_pressure_reversal,B2_next_day_continues_below_gap,3949,1050,0.2658900987591795,1.0
neutral_engulfing,B1_next_day_direction_continuation,523,138,0.2638623326959847,1.0
evening_star_abandoned,B1_next_day_continues_below_midpoint,668,176,0.2634730538922156,1.0
rising_falling,B2_next_day_falls_back,5351,1400,0.2616333395626986,1.0
gap_reversal,B1_next_day_gap_holds_no_fill,2449,633,0.2584728460596162,1.0
biting,B2_next_day_falls_back,6651,1714,0.25770560817922117,1.0
meeting,B2_next_day_reversal,5463,1399,0.2560863994142413,1.0
bull_engulfing,B1_next_day_strong_close_above_today_high,47,12,0.2553191489361702,1.0
gap_fill_up,B1_next_day_continues_lower_after_fill,4642,1172,0.25247738043946577,1.0
piercing_line,B2_next_day_full_reversal_engulfing,5335,1324,0.24817244611059044,1.0
gap_fill_up,B2_next_day_recovers,4642,1143,0.24623007324429125,1.0
trapped,B1_next_day_continues_breakout_direction,249,61,0.24497991967871485,1.0
bear_engulfing,B2_next_day_rally_above_today_high,325,79,0.24307692307692308,1.0
rising_falling,B1_next_day_step_continues,5351,1295,0.24201083909549617,1.0
dark_double_star_anye,B1_next_day_continues_lower,1469,354,0.24098025867937373,1.0
outside_three_black,B1_next_day_continues_lower,75,18,0.24,1.0
bear_engulfing,B1_next_day_weak_close_below_today_low,325,78,0.24,1.0
evening_star_abandoned,B2_next_day_recovers_above_today_high,668,160,0.23952095808383234,1.0
high_hanging_man,B1_next_day_sunset_confirmation,46,11,0.2391304347826087,1.0
high_hanging_man,B3_next_day_breaks_to_new_high,46,11,0.2391304347826087,1.0
two_crow_gap,B2_next_day_continues_lower,957,228,0.23824451410658307,1.0
biting,B1_next_day_breakout_holds,6651,1566,0.2354533152909337,1.0
rebound,B1_next_day_continues_rebound_direction,1984,457,0.23034274193548387,1.0
embracing,B1_next_day_continues_power_direction,8247,1830,0.22189887231720626,1.0
neutral_engulfing,B2_next_day_reversal,523,116,0.22179732313575526,1.0
gap_fill_down,B1_next_day_continues_higher_after_fill,4698,1032,0.21966794380587484,1.0
three_red_dadi_dangqian,B1_next_day_continues_below_midpoint,389,85,0.2185089974293059,1.0
meeting,B1_next_day_continues_same_direction,5463,1163,0.21288669229361157,1.0
dark_double_star_anye,B2_next_day_recovers_above_twin_high,1469,293,0.19945541184479237,1.0
three_red_dadi_dangqian,B3_next_day_recovery_attempt,389,70,0.17994858611825193,1.0
outside_three_black,B3_next_day_attempts_recovery,75,11,0.14666666666666667,1.0
gap_reversal,B3_next_day_stalls_above_today_low,2449,356,0.1453654552878726,1.0
morning_star_island_reversal,B1_next_day_gap_holds_no_fill,288,33,0.11458333333333333,1.0
