ticker,trade_date,open,high,low,close,volume,pattern
0050,2026-05-28,104.0,104.25,100.1,100.5,140056000,bear_engulfing
0051,2026-04-23,127.2,127.4,121.3,123.15,183647,bear_engulfing
0056,2026-05-28,49.65,50.1,48.5,48.83,60385000,bear_engulfing
1210,2026-03-18,54.3,54.5,53.5,53.5,2323822,bear_engulfing
1220,2026-02-24,13.15,13.25,13.0,13.05,169027,bear_engulfing
0050,2026-01-13,71.1,71.2,70.3,70.7,103565147,biting
0050,2026-01-27,72.4,73.15,72.35,73.05,73059634,biting
0050,2026-01-28,73.55,74.2,73.5,74.2,90901846,biting
0050,2026-04-22,85.75,86.6,85.55,86.35,67544248,biting
0052,2026-01-13,41.33,41.53,41.02,41.24,67136520,biting
1235,2026-03-23,40.5,42.3,38.4,38.4,78069,breakout_double_star
1256,2026-01-12,159.5,162.0,157.5,158.5,103601,breakout_double_star
1295,2026-04-21,63.0,63.2,59.0,59.5,89425,breakout_double_star
1295,2026-05-25,52.1,52.1,50.2,50.3,89488,breakout_double_star
1312,2026-05-29,11.0,11.7,10.55,11.35,25500000,breakout_double_star
1231,2026-03-06,81.5,84.8,80.5,84.5,661213,bull_engulfing
1271,2026-01-21,55.75,56.7,55.8,56.0,30190,bull_engulfing
1295,2026-05-05,53.3,56.7,53.1,55.2,149112,bull_engulfing
1308,2026-05-21,13.1,13.3,13.0,13.25,1730086,bull_engulfing
1308,2026-05-28,12.8,13.35,12.75,13.25,6644000,bull_engulfing
0051,2026-02-02,105.5,105.5,103.25,104.4,216205,dark_double_star_anye
0051,2026-03-03,113.3,113.8,109.45,109.5,195663,dark_double_star_anye
0051,2026-04-23,127.2,127.4,121.3,123.15,183647,dark_double_star_anye
0051,2026-05-28,141.1,141.85,136.6,137.6,145000,dark_double_star_anye
0053,2026-03-03,178.55,178.55,173.95,173.95,52839,dark_double_star_anye
00400A,2026-04-28,12.75,12.88,12.69,12.78,59051771,embracing
00401A,2026-04-24,11.72,11.86,11.6,11.78,11822160,embracing
00401A,2026-04-28,11.87,11.96,11.84,11.88,12942247,embracing
00401A,2026-05-07,12.71,12.75,12.64,12.73,13755065,embracing
0050,2026-02-26,81.25,81.5,80.8,81.15,133517321,embracing
0050,2026-04-29,90.7,91.5,90.0,90.75,103795530,evening_star_abandoned
0050,2026-05-13,94.85,95.8,94.7,95.5,130654061,evening_star_abandoned
0051,2026-01-21,102.65,103.05,100.8,101.1,114337,evening_star_abandoned
0051,2026-04-23,127.2,127.4,121.3,123.15,183647,evening_star_abandoned
0051,2026-05-13,133.9,133.9,131.85,133.75,76810,evening_star_abandoned
0050,2026-04-29,90.7,91.5,90.0,90.75,103795530,evening_star_island_reversal
0051,2026-05-13,133.9,133.9,131.85,133.75,76810,evening_star_island_reversal
0052,2026-04-29,52.9,53.55,52.55,53.05,52313591,evening_star_island_reversal
0053,2026-04-29,207.0,210.15,206.25,207.45,39638,evening_star_island_reversal
0055,2026-01-21,32.3,32.31,32.0,32.1,343667,evening_star_island_reversal
00400A,2026-05-21,13.21,13.46,13.16,13.46,35269710,gap_fill_down
00400A,2026-05-25,14.23,14.59,14.23,14.57,60619536,gap_fill_down
0050,2026-02-03,73.0,73.05,72.4,72.95,73734001,gap_fill_down
0050,2026-02-09,74.05,74.15,73.75,73.95,122340661,gap_fill_down
0050,2026-03-11,76.3,78.5,76.1,78.2,151798656,gap_fill_down
00400A,2026-05-19,13.04,13.1,12.7,12.7,45976795,gap_fill_up
00401A,2026-05-19,12.35,12.45,12.14,12.15,12454171,gap_fill_up
0050,2026-01-13,71.1,71.2,70.3,70.7,103565147,gap_fill_up
0050,2026-01-30,73.15,73.2,72.3,72.6,175275799,gap_fill_up
0050,2026-03-03,80.05,80.4,78.65,78.75,324317518,gap_fill_up
0050,2026-04-28,92.55,93.65,91.9,92.0,126301332,gap_reversal
0050,2026-04-29,90.7,91.5,90.0,90.75,103795530,gap_reversal
0050,2026-05-08,97.35,97.7,95.85,97.0,131188123,gap_reversal
0051,2026-05-13,133.9,133.9,131.85,133.75,76810,gap_reversal
0052,2026-04-28,54.3,54.95,53.8,53.8,72213436,gap_reversal
00400A,2026-05-13,13.9,14.0,13.78,13.95,66013476,gap_under_pressure_reversal
00400A,2026-05-18,12.89,13.08,12.72,13.05,63541695,gap_under_pressure_reversal
0050,2026-01-13,71.1,71.2,70.3,70.7,103565147,gap_under_pressure_reversal
0050,2026-01-30,73.15,73.2,72.3,72.6,175275799,gap_under_pressure_reversal
0050,2026-02-02,71.55,71.75,70.9,71.5,234325396,gap_under_pressure_reversal
0053,2026-05-08,221.15,224.9,220.0,222.05,49753,high_hanging_man
1734,2026-04-21,32.1,32.15,31.8,31.9,392013,high_hanging_man
2243,2026-03-19,19.2,20.0,18.55,19.7,2219375,high_hanging_man
2393,2026-03-23,68.7,68.7,66.3,67.0,4227753,high_hanging_man
2540,2026-04-27,58.0,58.5,56.3,58.5,2313534,high_hanging_man
00400A,2026-04-27,13.03,13.05,12.68,12.75,152410911,meeting
00400A,2026-05-12,14.29,14.34,14.12,14.14,65952293,meeting
00401A,2026-04-29,11.83,11.93,11.76,11.88,15071414,meeting
00401A,2026-05-26,13.69,13.69,13.47,13.58,5073279,meeting
0050,2026-01-14,70.95,71.1,70.65,70.75,86322515,meeting
1101,2026-03-06,24.65,25.25,24.55,25.15,19804652,morning_star_harami
1103,2026-04-28,13.35,13.55,13.35,13.55,314499,morning_star_harami
1108,2026-03-11,15.05,15.15,15.0,15.15,214390,morning_star_harami
1108,2026-03-20,14.85,15.0,14.85,14.9,236248,morning_star_harami
1108,2026-03-25,14.85,15.0,14.85,15.0,156139,morning_star_harami
0050,2026-01-16,71.75,72.1,71.2,72.0,101069992,morning_star_island_reversal
0052,2026-01-16,41.97,42.09,41.47,42.07,64178143,morning_star_island_reversal
1213,2026-01-23,10.3,10.3,10.3,10.3,1100,morning_star_island_reversal
1213,2026-02-04,9.87,10.05,9.87,10.05,7004,morning_star_island_reversal
1213,2026-02-10,10.2,10.4,10.1,10.15,17400,morning_star_island_reversal
0051,2026-04-23,127.2,127.4,121.3,123.15,183647,neutral_engulfing
0057,2026-02-04,215.6,216.6,215.6,216.45,60097,neutral_engulfing
0061,2026-05-06,24.55,24.96,24.55,24.95,789037,neutral_engulfing
1109,2026-01-05,15.4,15.5,15.4,15.5,109041,neutral_engulfing
1109,2026-01-06,15.5,15.5,15.4,15.4,167417,neutral_engulfing
1260,2026-05-04,27.15,27.4,24.05,25.2,228221,outside_three_black
1326,2026-02-02,41.55,41.75,38.5,38.95,39014062,outside_three_black
1326,2026-03-04,46.0,46.45,43.4,43.55,49028880,outside_three_black
1454,2026-02-05,15.4,15.4,14.35,14.65,422998,outside_three_black
1528,2026-01-22,30.2,30.2,27.85,28.0,5794722,outside_three_black
0050,2026-05-26,101.6,101.8,100.1,100.1,93560313,piercing_line
0051,2026-01-29,109.5,109.5,105.6,106.55,205334,piercing_line
0061,2026-05-14,25.5,25.7,25.21,25.34,236567,piercing_line
1219,2026-03-31,14.3,14.35,13.85,13.95,853762,piercing_line
1219,2026-04-14,14.8,14.8,14.2,14.35,754245,piercing_line
00400A,2026-05-21,13.21,13.46,13.16,13.46,35269710,rebound
0050,2026-01-16,71.75,72.1,71.2,72.0,101069992,rebound
0050,2026-03-19,76.6,76.8,75.95,76.0,141733755,rebound
0050,2026-04-01,75.0,75.6,74.6,75.45,130698663,rebound
0050,2026-04-17,84.2,84.5,84.0,84.15,101258031,rebound
0050,2026-01-13,71.1,71.2,70.3,70.7,103565147,rising_falling
0050,2026-01-27,72.4,73.15,72.35,73.05,73059634,rising_falling
0050,2026-01-28,73.55,74.2,73.5,74.2,90901846,rising_falling
0050,2026-04-22,85.75,86.6,85.55,86.35,67544248,rising_falling
