name,triggers_2026,rate_pct_2026,unique_tickers_2026,expected_rate_pct_2024_25,ratio_vs_baseline
_bear_exhaustion_context,65627,30.471,1635,29.622,1.0286611302410371
embracing,17889,8.306,2316,9.243,0.898625987233582
_bull_exhaustion_context,10598,4.921,1306,3.15,1.5622222222222224
gap_fill_up,9563,4.44,1909,3.889,1.1416816662381077
gap_fill_down,9070,4.211,1931,3.787,1.1119619751782415
gap_under_pressure_reversal,8373,3.888,2108,3.832,1.0146137787056368
biting,4709,2.186,1053,3.013,0.7255227348157982
rising_falling,4494,2.087,1028,2.758,0.7567077592458303
meeting,3798,1.763,1601,1.933,0.9120538023797206
rebound,3065,1.423,1633,1.327,1.0723436322532027
morning_star_harami,2026,0.941,1187,0.914,1.0295404814004376
neutral_engulfing,1248,0.579,908,0.488,1.1864754098360655
breakout_double_star,1142,0.53,675,0.578,0.9169550173010381
two_crow_gap,1114,0.517,854,0.541,0.955637707948244
morning_star_island_reversal,1062,0.493,554,0.532,0.9266917293233082
three_red_dadi_dangqian,947,0.44,687,0.476,0.9243697478991597
trapped,597,0.277,519,0.192,1.4427083333333335
bull_engulfing,540,0.251,400,0.172,1.4593023255813955
piercing_line,374,0.174,333,0.127,1.37007874015748
outside_three_black,212,0.098,195,0.042,2.3333333333333335
evening_star_abandoned,212,0.098,162,0.087,1.1264367816091956
bear_engulfing,168,0.078,157,0.061,1.278688524590164
dark_double_star_anye,154,0.072,111,0.071,1.0140845070422535
gap_reversal,95,0.044,73,0.036,1.2222222222222223
evening_star_island_reversal,30,0.014,25,0.012,1.1666666666666667
high_hanging_man,20,0.009,20,0.008,1.125
