ticker,entry_date,entry_price,exit_date,exit_price,hold_days,exit_reason,ret_pct,signal_date
0052,2026-04-09,47.0,2026-05-18,55.15,26,soft_break_with_vol,17.34,2026-04-08
0055,2026-04-09,33.21,2026-04-27,33.15,12,tolerance_2d,-0.18,2026-04-08
0056,2026-02-24,39.27,2026-03-05,38.5,6,deep_break,-1.96,2026-02-23
1103,2026-01-29,14.3,2026-02-04,13.9,4,tolerance_2d,-2.8,2026-01-28
1104,2026-01-14,30.9,2026-01-19,30.1,3,soft_break_with_vol,-2.59,2026-01-13
1108,2026-02-25,15.25,2026-03-05,15.05,5,soft_break_with_vol,-1.31,2026-02-24
1109,2026-02-24,15.6,2026-03-04,15.6,5,soft_break_with_vol,0.0,2026-02-23
1110,2025-09-16,17.7,2025-09-18,17.15,2,deep_break,-3.11,2025-09-15
1110,2025-11-14,17.05,2025-11-20,16.2,4,deep_break,-4.99,2025-11-13
1210,2026-03-13,52.9,2026-04-15,54.2,21,soft_break_with_vol,2.46,2026-03-12
1215,2025-09-26,138.5,2025-10-16,138.5,11,soft_break_with_vol,0.0,2025-09-25
1215,2025-11-27,144.5,2025-12-10,143.5,9,tolerance_2d,-0.69,2025-11-26
1215,2026-03-03,155.0,2026-03-12,154.5,7,soft_break_with_vol,-0.32,2026-03-02
1217,2025-12-02,10.45,2025-12-11,10.5,7,tolerance_2d,0.48,2025-12-01
1218,2025-10-09,19.45,2025-10-15,19.3,3,soft_break_with_vol,-0.77,2025-10-08
1218,2026-01-13,18.35,2026-01-22,18.3,7,soft_break_with_vol,-0.27,2026-01-12
1218,2026-03-13,19.2,2026-04-13,19.3,19,tolerance_2d,0.52,2026-03-12
1219,2025-12-05,13.85,2025-12-12,13.65,5,tolerance_2d,-1.44,2025-12-04
1219,2026-04-13,14.25,2026-04-22,14.05,7,tolerance_2d,-1.4,2026-04-10
1220,2026-02-24,13.15,2026-03-05,12.9,6,soft_break_with_vol,-1.9,2026-02-23
1227,2025-10-09,30.85,2025-10-27,31.7,10,deep_break,2.76,2025-10-08
1227,2026-02-24,30.15,2026-03-05,29.7,6,soft_break_with_vol,-1.49,2026-02-23
1229,2025-12-22,48.4,2026-01-05,47.0,8,soft_break_with_vol,-2.89,2025-12-19
1234,2026-02-24,37.75,2026-03-05,35.95,6,soft_break_with_vol,-4.77,2026-02-23
1236,2025-12-11,25.7,2025-12-15,24.85,2,soft_break_with_vol,-3.31,2025-12-10
1264,2026-02-09,283.0,2026-03-04,280.0,9,soft_break_with_vol,-1.06,2026-02-06
1268,2025-11-07,162.5,2025-11-11,160.0,2,soft_break_with_vol,-1.54,2025-11-06
1294,2026-03-09,87.1,2026-03-20,83.2,9,deep_break,-4.48,2026-03-06
1301,2025-10-27,40.8,2025-11-03,38.1,5,deep_break,-6.62,2025-10-23
1304,2025-10-13,10.85,2025-11-03,10.35,14,deep_break,-4.61,2025-10-09
1308,2025-10-13,12.95,2025-10-31,12.9,13,deep_break,-0.39,2025-10-09
1309,2025-10-13,11.15,2025-11-03,11.0,14,deep_break,-1.35,2025-10-09
1310,2025-10-13,8.93,2025-10-31,8.65,13,tolerance_2d,-3.14,2025-10-09
1310,2026-02-26,9.33,2026-03-24,11.5,17,soft_break_with_vol,23.26,2026-02-25
1312,2026-04-15,15.25,2026-04-21,12.8,4,deep_break,-16.07,2026-04-14
1314,2025-10-28,7.49,2025-11-04,7.67,5,soft_break_with_vol,2.4,2025-10-27
1314,2026-02-25,8.52,2026-03-05,8.17,5,soft_break_with_vol,-4.11,2026-02-24
1315,2026-04-10,64.8,2026-04-27,62.6,11,deep_break,-3.4,2026-04-09
1321,2025-12-02,36.3,2025-12-05,35.9,3,tolerance_2d,-1.1,2025-12-01
1321,2026-03-03,33.7,2026-03-05,33.5,2,soft_break_with_vol,-0.59,2026-03-02
1325,2026-01-28,35.65,2026-02-02,31.45,3,soft_break_with_vol,-11.78,2026-01-27
1336,2025-12-16,16.1,2025-12-19,16.0,3,soft_break_with_vol,-0.62,2025-12-15
1341,2026-05-07,61.9,2026-05-13,61.1,4,soft_break_with_vol,-1.29,2026-05-06
1342,2025-12-30,90.2,2026-01-06,91.3,4,soft_break_with_vol,1.22,2025-12-29
1402,2025-11-14,27.7,2025-11-27,27.8,9,tolerance_2d,0.36,2025-11-13
1414,2025-09-09,17.75,2025-10-07,18.55,18,soft_break_with_vol,4.51,2025-09-08
1419,2025-09-05,55.9,2025-09-10,53.6,3,tolerance_2d,-4.11,2025-09-04
1432,2025-09-05,17.1,2025-09-26,17.4,15,soft_break_with_vol,1.75,2025-09-04
1432,2026-02-05,19.1,2026-02-25,18.5,7,deep_break,-3.14,2026-02-04
1434,2026-04-15,17.15,2026-04-22,16.45,5,tolerance_2d,-4.08,2026-04-14
1435,2026-02-24,23.4,2026-03-04,21.05,5,soft_break_with_vol,-10.04,2026-02-23
1437,2026-02-26,33.25,2026-03-05,32.8,4,soft_break_with_vol,-1.35,2026-02-25
1439,2026-02-24,29.55,2026-02-26,29.25,2,soft_break_with_vol,-1.02,2026-02-23
1444,2025-10-27,6.72,2025-11-04,6.47,6,soft_break_with_vol,-3.72,2025-10-23
1444,2026-01-09,6.29,2026-01-19,6.15,6,soft_break_with_vol,-2.23,2026-01-08
1444,2026-01-27,7.3,2026-02-03,6.35,5,deep_break,-13.01,2026-01-26
1444,2026-04-14,6.72,2026-04-22,6.43,6,soft_break_with_vol,-4.32,2026-04-13
1451,2026-04-15,18.6,2026-04-17,17.5,2,deep_break,-5.91,2026-04-14
1455,2025-09-10,9.38,2025-09-16,9.13,4,soft_break_with_vol,-2.67,2025-09-09
1457,2026-02-25,15.85,2026-03-06,15.2,6,soft_break_with_vol,-4.1,2026-02-24
1459,2026-02-24,12.05,2026-03-05,11.95,6,soft_break_with_vol,-0.83,2026-02-23
1459,2026-05-06,12.05,2026-05-15,12.05,7,soft_break_with_vol,0.0,2026-05-05
1460,2025-11-28,5.8,2025-12-17,6.16,13,soft_break_with_vol,6.21,2025-11-27
1463,2026-04-29,19.0,2026-05-12,18.05,8,tolerance_2d,-5.0,2026-04-28
1465,2026-04-15,12.75,2026-04-27,12.45,8,tolerance_2d,-2.35,2026-04-14
1466,2026-01-28,14.9,2026-03-05,18.35,18,deep_break,23.15,2026-01-27
1472,2026-03-18,93.9,2026-04-01,96.5,10,tolerance_2d,2.77,2026-03-17
1473,2025-10-02,30.2,2025-10-23,29.9,13,deep_break,-0.99,2025-10-01
1474,2026-04-14,10.35,2026-04-24,10.1,8,deep_break,-2.42,2026-04-13
1475,2025-10-15,37.25,2025-11-07,36.5,16,tolerance_2d,-2.01,2025-10-14
1476,2025-09-17,423.0,2025-10-16,458.5,18,tolerance_2d,8.39,2025-09-16
1477,2025-09-04,281.5,2025-10-01,290.0,18,tolerance_2d,3.02,2025-09-03
1514,2025-11-03,115.0,2025-11-11,105.0,6,deep_break,-8.7,2025-10-31
1517,2026-01-15,11.6,2026-01-29,12.5,10,tolerance_2d,7.76,2026-01-14
1521,2026-05-12,25.8,2026-05-18,24.4,4,tolerance_2d,-5.43,2026-05-11
1522,2025-09-19,42.95,2025-10-01,42.2,7,tolerance_2d,-1.75,2025-09-18
1528,2025-11-26,15.65,2026-01-09,21.15,30,deep_break,35.14,2025-11-25
1530,2026-04-16,27.35,2026-04-24,27.05,6,soft_break_with_vol,-1.1,2026-04-15
1537,2025-11-27,125.0,2025-12-05,123.5,6,soft_break_with_vol,-1.2,2025-11-26
1560,2026-02-24,465.0,2026-03-05,479.0,6,soft_break_with_vol,3.01,2026-02-23
1568,2025-12-24,22.25,2026-01-07,22.35,8,soft_break_with_vol,0.45,2025-12-23
1586,2026-01-09,30.1,2026-01-21,27.95,8,tolerance_2d,-7.14,2026-01-08
1586,2026-04-21,23.55,2026-04-27,22.2,4,tolerance_2d,-5.73,2026-04-20
1595,2025-12-30,44.8,2026-01-08,39.6,6,tolerance_2d,-11.61,2025-12-29
1595,2026-04-10,44.7,2026-05-18,84.9,25,deep_break,89.93,2026-04-09
1599,2026-02-24,28.7,2026-03-04,28.2,5,soft_break_with_vol,-1.74,2026-02-23
1604,2025-09-19,24.95,2025-10-03,24.9,9,tolerance_2d,-0.2,2025-09-18
1611,2025-12-17,14.0,2026-01-29,13.6,29,deep_break,-2.86,2025-12-16
1612,2025-09-26,38.05,2025-10-21,38.5,14,tolerance_2d,1.18,2025-09-25
1612,2026-05-05,36.9,2026-05-18,35.55,9,deep_break,-3.66,2026-05-04
1614,2026-02-24,34.75,2026-03-05,33.8,6,soft_break_with_vol,-2.73,2026-02-23
1702,2025-09-22,40.7,2025-09-30,39.85,5,soft_break_with_vol,-2.09,2025-09-19
1702,2026-02-25,38.4,2026-03-05,37.35,5,soft_break_with_vol,-2.73,2026-02-24
1702,2026-04-16,37.2,2026-04-21,36.2,3,soft_break_with_vol,-2.69,2026-04-15
1707,2025-09-15,132.0,2025-09-19,129.5,4,tolerance_2d,-1.89,2025-09-12
1707,2026-03-31,121.5,2026-04-08,121.0,4,tolerance_2d,-0.41,2026-03-30
1708,2025-10-15,30.9,2025-10-20,30.45,3,tolerance_2d,-1.46,2025-10-14
1708,2026-01-27,34.3,2026-02-03,33.5,5,tolerance_2d,-2.33,2026-01-26
1708,2026-02-05,35.05,2026-03-11,36.1,16,soft_break_with_vol,3.0,2026-02-04
1710,2026-01-08,12.9,2026-01-22,12.6,10,deep_break,-2.33,2026-01-07
1714,2025-09-30,8.0,2025-10-08,7.84,5,tolerance_2d,-2.0,2025-09-26
1714,2025-10-14,8.3,2025-11-03,8.2,13,tolerance_2d,-1.2,2025-10-13
1718,2025-11-07,7.37,2025-11-25,6.77,12,tolerance_2d,-8.14,2025-11-06
1718,2026-01-15,7.24,2026-01-22,7.16,5,tolerance_2d,-1.1,2026-01-14
1720,2025-11-07,56.8,2025-12-02,62.3,17,soft_break_with_vol,9.68,2025-11-06
1720,2026-02-26,65.2,2026-03-11,63.2,8,soft_break_with_vol,-3.07,2026-02-25
1723,2025-10-09,84.7,2025-10-22,83.6,8,tolerance_2d,-1.3,2025-10-08
1731,2026-03-02,22.0,2026-03-05,21.95,3,soft_break_with_vol,-0.23,2026-02-26
1732,2025-12-02,29.3,2025-12-09,28.55,5,tolerance_2d,-2.56,2025-12-01
1734,2026-03-12,30.95,2026-03-30,31.0,12,tolerance_2d,0.16,2026-03-11
1737,2026-04-15,32.2,2026-04-24,31.65,7,soft_break_with_vol,-1.71,2026-04-14
1752,2025-10-17,39.1,2025-11-03,38.8,10,tolerance_2d,-0.77,2025-10-16
1777,2025-09-04,78.2,2025-09-16,77.0,8,tolerance_2d,-1.53,2025-09-03
1806,2025-12-17,9.56,2025-12-30,9.22,8,soft_break_with_vol,-3.56,2025-12-16
1817,2026-04-09,39.05,2026-04-14,38.8,3,soft_break_with_vol,-0.64,2026-04-08
1904,2026-01-15,18.15,2026-01-19,17.9,2,soft_break_with_vol,-1.38,2026-01-14
1904,2026-02-11,18.4,2026-03-04,18.4,7,tolerance_2d,0.0,2026-02-10
1906,2026-03-31,13.55,2026-04-09,11.75,5,deep_break,-13.28,2026-03-30
1907,2025-10-17,25.95,2025-10-30,25.8,8,tolerance_2d,-0.58,2025-10-16
1907,2025-11-17,27.0,2025-12-05,26.95,14,tolerance_2d,-0.19,2025-11-14
1909,2026-03-27,10.15,2026-04-09,9.65,7,deep_break,-4.93,2026-03-26
2010,2025-11-10,20.45,2025-11-19,19.85,7,soft_break_with_vol,-2.93,2025-11-07
2010,2025-12-23,21.25,2025-12-31,20.7,5,soft_break_with_vol,-2.59,2025-12-22
2013,2025-11-28,41.95,2025-12-10,41.8,8,tolerance_2d,-0.36,2025-11-27
