ticker,entry_date,entry_price,exit_date,exit_price,hold_days,exit_reason,ret_pct,signal_date
0050,2026-04-09,79.3,2026-05-19,94.35,27,soft_break_with_vol,18.98,2026-04-08
0052,2026-04-09,47.0,2026-05-18,55.15,26,soft_break_with_vol,17.34,2026-04-08
0055,2026-04-09,33.21,2026-04-27,33.15,12,tolerance_2d,-0.18,2026-04-08
0055,2026-05-07,33.96,2026-05-13,33.47,4,soft_break_with_vol,-1.44,2026-05-06
0056,2026-02-24,39.27,2026-03-05,38.5,6,deep_break,-1.96,2026-02-23
1102,2025-10-01,38.2,2025-10-14,36.75,7,tolerance_2d,-3.8,2025-09-30
1103,2025-09-23,13.6,2025-10-02,13.5,6,soft_break_with_vol,-0.74,2025-09-22
1103,2026-01-29,14.3,2026-02-04,13.9,4,tolerance_2d,-2.8,2026-01-28
1104,2026-01-14,30.9,2026-01-19,30.1,3,soft_break_with_vol,-2.59,2026-01-13
1108,2026-02-25,15.25,2026-03-05,15.05,5,soft_break_with_vol,-1.31,2026-02-24
1109,2026-02-24,15.6,2026-03-04,15.6,5,soft_break_with_vol,0.0,2026-02-23
1110,2025-09-16,17.7,2025-09-18,17.15,2,deep_break,-3.11,2025-09-15
1110,2025-11-14,17.05,2025-11-20,16.2,4,deep_break,-4.99,2025-11-13
1210,2026-03-13,52.9,2026-04-15,54.2,21,soft_break_with_vol,2.46,2026-03-12
1215,2025-09-26,138.5,2025-10-16,138.5,11,soft_break_with_vol,0.0,2025-09-25
1215,2025-11-27,144.5,2025-12-10,143.5,9,tolerance_2d,-0.69,2025-11-26
1215,2026-03-03,155.0,2026-03-12,154.5,7,soft_break_with_vol,-0.32,2026-03-02
1216,2025-09-10,79.4,2025-09-22,78.8,8,soft_break_with_vol,-0.76,2025-09-09
1217,2025-12-02,10.45,2025-12-11,10.5,7,tolerance_2d,0.48,2025-12-01
1218,2025-10-09,19.45,2025-10-15,19.3,3,soft_break_with_vol,-0.77,2025-10-08
1218,2026-01-13,18.35,2026-01-22,18.3,7,soft_break_with_vol,-0.27,2026-01-12
1218,2026-03-13,19.2,2026-04-13,19.3,19,tolerance_2d,0.52,2026-03-12
1219,2025-12-05,13.85,2025-12-12,13.65,5,tolerance_2d,-1.44,2025-12-04
1219,2026-03-10,13.9,2026-03-13,13.55,3,soft_break_with_vol,-2.52,2026-03-09
1219,2026-04-13,14.25,2026-04-22,14.05,7,tolerance_2d,-1.4,2026-04-10
1220,2025-10-08,13.3,2025-10-16,13.05,5,tolerance_2d,-1.88,2025-10-07
1220,2026-02-24,13.15,2026-03-05,12.9,6,soft_break_with_vol,-1.9,2026-02-23
1227,2025-10-09,30.85,2025-10-27,31.7,10,deep_break,2.76,2025-10-08
1227,2026-02-24,30.15,2026-03-05,29.7,6,soft_break_with_vol,-1.49,2026-02-23
1229,2025-12-22,48.4,2026-01-05,47.0,8,soft_break_with_vol,-2.89,2025-12-19
1232,2025-12-01,144.0,2025-12-12,145.5,9,soft_break_with_vol,1.04,2025-11-28
1234,2026-02-24,37.75,2026-03-05,35.95,6,soft_break_with_vol,-4.77,2026-02-23
1236,2025-12-11,25.7,2025-12-15,24.85,2,soft_break_with_vol,-3.31,2025-12-10
1260,2026-03-30,22.98,2026-05-04,27.15,22,deep_break,18.15,2026-03-27
1264,2026-02-09,283.0,2026-03-04,280.0,9,soft_break_with_vol,-1.06,2026-02-06
1268,2025-11-07,162.5,2025-11-11,160.0,2,soft_break_with_vol,-1.54,2025-11-06
1268,2026-01-13,160.0,2026-01-27,162.5,10,tolerance_2d,1.56,2026-01-12
1294,2025-09-04,82.5,2025-09-18,81.0,10,deep_break,-1.82,2025-09-03
1294,2026-03-09,87.1,2026-03-20,83.2,9,deep_break,-4.48,2026-03-06
1301,2025-10-27,40.8,2025-11-03,38.1,5,deep_break,-6.62,2025-10-23
1304,2025-10-13,10.85,2025-11-03,10.35,14,deep_break,-4.61,2025-10-09
1305,2025-10-13,11.6,2025-10-16,11.2,3,soft_break_with_vol,-3.45,2025-10-09
1307,2025-10-13,30.65,2025-10-15,30.1,2,soft_break_with_vol,-1.79,2025-10-09
1308,2025-10-13,12.95,2025-10-31,12.9,13,deep_break,-0.39,2025-10-09
1309,2025-10-13,11.15,2025-11-03,11.0,14,deep_break,-1.35,2025-10-09
1310,2025-10-13,8.93,2025-10-31,8.65,13,tolerance_2d,-3.14,2025-10-09
1310,2026-02-26,9.33,2026-03-24,11.5,17,soft_break_with_vol,23.26,2026-02-25
1312,2026-04-15,15.25,2026-04-21,12.8,4,deep_break,-16.07,2026-04-14
1314,2025-10-28,7.49,2025-11-04,7.67,5,soft_break_with_vol,2.4,2025-10-27
1314,2026-02-25,8.52,2026-03-05,8.17,5,soft_break_with_vol,-4.11,2026-02-24
