setup,exit_rule,name,n,avg_ret,median_ret,win_rate,avg_hold,max_ret,min_ret,n_tickers,n_months,classification
D1_bb_shenglongquan,C6,D1_bb_shenglongquan_c6,67,0.46,-1.47,34.3,9.7,35.9,-16.93,67,1,noise
D1_bb_shenglongquan,leave_upper_band,D1_bb_shenglongquan_upper,67,1.02,-0.87,37.3,6.0,43.72,-10.71,67,1,noise
D2v1_chip_5pct,C6,D2v1_chip_5pct_c6,1243,2.46,-1.93,35.3,8.4,167.32,-100.0,1012,1,noise
D2v1_chip_5pct,leave_upper_band,D2v1_chip_5pct_upper,1600,1.26,-0.3,45.6,6.1,125.81,-33.29,1012,1,noise
D2v1_chip_10pct,C6,D2v1_chip_10pct_c6,860,2.71,-1.91,35.7,8.6,167.32,-19.31,745,1,noise
D2v1_chip_10pct,leave_upper_band,D2v1_chip_10pct_upper,1034,1.65,-0.23,46.9,6.4,125.81,-33.29,745,1,noise
D2v2_3axis_10pct,C6,D2v2_3axis_10pct_c6,390,3.33,-1.79,34.9,8.8,167.32,-15.99,362,1,noise
D2v2_3axis_10pct,leave_upper_band,D2v2_3axis_10pct_upper,443,2.42,-0.4,44.5,6.8,125.81,-24.81,362,1,noise
D2v2_3axis_5pct,C6,D2v2_3axis_5pct_c6,511,3.6,-1.47,37.4,8.8,167.32,-17.24,461,1,noise
D2v2_3axis_5pct,leave_upper_band,D2v2_3axis_5pct_upper,613,2.41,-0.12,47.0,6.5,125.81,-24.81,461,1,noise
D1_bb_shenglongquan,C6,D1_bb_shenglongquan,67,0.46,-1.47,34.3,9.7,35.9,-16.93,67,1,noise
D1_bb_open_breakout,C6,D1_bb_open_breakout,174,2.28,-2.22,37.9,10.0,66.5,-16.93,174,1,noise
D1_bb_any,C6,D1_bb_any,186,2.11,-1.73,37.6,9.7,66.5,-16.93,186,1,noise
D2v1_chip_5pct,C6,D2v1_chip_5pct,1243,2.46,-1.93,35.3,8.4,167.32,-100.0,1012,1,noise
