ticker,entry_date,entry_price,exit_date,exit_price,hold_days,exit_reason,ret_pct,signal_date
1341,2026-05-07,61.9,2026-05-13,61.1,4,soft_break_with_vol,-1.29,2026-05-06
1459,2026-05-06,12.05,2026-05-15,12.05,7,soft_break_with_vol,0.0,2026-05-05
1521,2026-05-12,25.8,2026-05-18,24.4,4,tolerance_2d,-5.43,2026-05-11
1612,2026-05-05,36.9,2026-05-18,35.55,9,deep_break,-3.66,2026-05-04
2208,2026-05-11,21.1,2026-05-13,20.05,2,soft_break_with_vol,-4.98,2026-05-08
2420,2026-05-12,57.0,2026-06-12,60.1,23,deep_break,5.44,2026-05-11
2603,2026-05-05,206.0,2026-05-18,200.0,9,deep_break,-2.91,2026-05-04
2615,2026-05-20,80.0,2026-06-12,84.5,17,tolerance_2d,5.62,2026-05-19
2892,2026-05-11,29.5,2026-05-20,28.1,7,tolerance_2d,-4.75,2026-05-08
3045,2026-05-15,115.0,2026-05-25,112.0,6,soft_break_with_vol,-2.61,2026-05-14
3285,2026-05-06,29.3,2026-05-14,28.4,6,tolerance_2d,-3.07,2026-05-05
3321,2026-05-05,16.5,2026-05-15,16.25,8,deep_break,-1.52,2026-05-04
4440,2026-05-14,19.4,2026-05-22,18.1,6,tolerance_2d,-6.7,2026-05-13
4502,2026-05-07,15.9,2026-05-12,15.95,3,soft_break_with_vol,0.31,2026-05-06
4771,2026-05-20,198.5,2026-06-08,186.0,13,soft_break_with_vol,-6.3,2026-05-19
4904,2026-05-15,98.1,2026-05-22,95.7,5,soft_break_with_vol,-2.45,2026-05-14
5215,2026-05-08,39.15,2026-06-09,45.3,22,deep_break,15.71,2026-05-07
5381,2026-05-14,28.0,2026-05-29,25.55,11,soft_break_with_vol,-8.75,2026-05-13
5607,2026-05-11,51.8,2026-05-18,48.75,5,deep_break,-5.89,2026-05-08
6203,2026-05-05,71.9,2026-05-15,70.0,8,deep_break,-2.64,2026-05-04
6491,2026-05-18,294.5,2026-06-09,318.5,16,soft_break_with_vol,8.15,2026-05-15
6570,2026-05-06,42.9,2026-06-05,58.3,22,deep_break,35.9,2026-05-05
6606,2026-05-08,25.4,2026-05-19,24.8,7,soft_break_with_vol,-2.36,2026-05-07
6642,2026-05-06,63.2,2026-06-02,85.2,19,deep_break,34.81,2026-05-05
6757,2026-05-05,50.6,2026-05-18,51.0,9,deep_break,0.79,2026-05-04
6811,2026-05-05,203.0,2026-05-18,205.0,9,tolerance_2d,0.99,2026-05-04
6841,2026-05-05,60.7,2026-05-13,59.9,6,soft_break_with_vol,-1.32,2026-05-04
6899,2026-05-13,60.3,2026-06-05,61.2,17,deep_break,1.49,2026-05-12
6928,2026-05-06,57.3,2026-05-13,47.6,5,deep_break,-16.93,2026-05-05
6961,2026-05-08,61.4,2026-05-15,59.0,5,tolerance_2d,-3.91,2026-05-07
8049,2026-05-13,26.05,2026-06-09,26.45,19,deep_break,1.54,2026-05-12
8097,2026-05-18,52.9,2026-06-05,56.0,14,deep_break,5.86,2026-05-15
9934,2026-05-12,10.0,2026-05-27,9.6,11,tolerance_2d,-4.0,2026-05-11
9942,2026-05-06,120.0,2026-05-18,116.5,8,deep_break,-2.92,2026-05-05
9944,2026-05-12,17.05,2026-05-27,16.95,11,soft_break_with_vol,-0.59,2026-05-11
