sq_thr,sq_lb,vol_x,mode,n,avg_ret,win_rate,median_ret,avg_hold
6,5,1.0,any,65,-0.43,33.8,-1.11,5.3
6,5,1.0,shenglongquan,29,-0.57,31.0,-1.22,4.4
6,5,1.0,open_breakout,61,-0.77,34.4,-1.12,5.1
6,5,1.5,any,57,-0.62,31.6,-1.22,5.4
6,5,1.5,shenglongquan,29,-0.57,31.0,-1.22,4.4
6,5,1.5,open_breakout,48,-1.04,31.2,-1.29,5.4
6,5,2.0,any,47,-0.83,29.8,-1.24,4.9
6,5,2.0,shenglongquan,29,-0.57,31.0,-1.22,4.4
6,5,2.0,open_breakout,29,-1.71,20.7,-1.63,4.3
6,10,1.0,any,41,0.29,43.9,-0.4,6.5
6,10,1.0,shenglongquan,20,0.05,35.0,-0.87,5.3
6,10,1.0,open_breakout,37,-0.19,45.9,-0.4,6.3
6,10,1.5,any,35,0.21,42.9,-0.51,6.7
6,10,1.5,shenglongquan,20,0.05,35.0,-0.87,5.3
6,10,1.5,open_breakout,30,-0.4,43.3,-0.87,6.6
6,10,2.0,any,31,0.09,38.7,-0.87,6.2
6,10,2.0,shenglongquan,20,0.05,35.0,-0.87,5.3
6,10,2.0,open_breakout,19,-0.81,31.6,-1.38,5.4
6,15,1.0,any,34,0.4,44.1,-0.46,7.4
6,15,1.0,shenglongquan,17,0.33,35.3,-0.87,5.8
6,15,1.0,open_breakout,30,-0.18,46.7,-0.64,7.2
6,15,1.5,any,29,0.29,41.4,-0.51,7.6
6,15,1.5,shenglongquan,17,0.33,35.3,-0.87,5.8
6,15,1.5,open_breakout,24,-0.46,41.7,-0.87,7.6
6,15,2.0,any,25,0.16,36.0,-0.87,7.0
6,15,2.0,shenglongquan,17,0.33,35.3,-0.87,5.8
6,15,2.0,open_breakout,14,-1.0,28.6,-1.25,6.5
8,5,1.0,any,106,-0.31,34.0,-1.11,5.7
8,5,1.0,shenglongquan,45,0.13,33.3,-1.22,5.2
8,5,1.0,open_breakout,102,-0.51,34.3,-1.12,5.6
8,5,1.5,any,91,-0.28,31.9,-1.22,5.5
8,5,1.5,shenglongquan,45,0.13,33.3,-1.22,5.2
8,5,1.5,open_breakout,80,-0.51,31.2,-1.25,5.4
8,5,2.0,any,77,-0.3,31.2,-1.22,5.4
8,5,2.0,shenglongquan,45,0.13,33.3,-1.22,5.2
8,5,2.0,open_breakout,52,-0.89,25.0,-1.49,5.1
8,10,1.0,any,77,0.05,36.4,-1.11,6.5
8,10,1.0,shenglongquan,34,0.51,35.3,-1.04,5.5
8,10,1.0,open_breakout,73,-0.21,37.0,-1.11,6.3
8,10,1.5,any,67,0.13,35.8,-1.11,6.4
8,10,1.5,shenglongquan,34,0.51,35.3,-1.04,5.5
8,10,1.5,open_breakout,57,-0.15,35.1,-1.24,6.4
8,10,2.0,any,58,0.09,34.5,-1.17,6.1
8,10,2.0,shenglongquan,34,0.51,35.3,-1.04,5.5
8,10,2.0,open_breakout,37,-0.7,27.0,-1.57,5.7
8,15,1.0,any,67,-0.06,38.8,-0.91,6.4
8,15,1.0,shenglongquan,30,0.22,36.7,-1.04,4.9
