ticker,signal_date,entry_date,entry_price,exit_date,exit_price,hold_days,ret_pct
1605,2026-05-08,2026-05-11,34.4,2026-05-20,33.5,7,-2.62
1605,2026-05-27,2026-05-28,37.5,2026-06-09,36.35,8,-3.07
1717,2026-05-28,2026-05-29,83.3,2026-06-03,79.4,3,-4.68
2301,2026-05-15,2026-05-18,202.0,2026-05-21,211.0,3,4.46
2301,2026-05-28,2026-05-29,236.0,2026-06-08,207.0,6,-12.29
2312,2026-05-04,2026-05-05,27.85,2026-05-11,28.6,4,2.69
2312,2026-05-12,2026-05-13,29.0,2026-05-18,27.45,3,-5.34
2312,2026-05-21,2026-05-22,31.85,2026-06-09,35.75,12,12.24
2313,2026-05-04,2026-05-05,272.0,2026-05-12,246.0,5,-9.56
2313,2026-05-20,2026-05-21,263.5,2026-05-29,271.0,6,2.85
2313,2026-06-01,2026-06-02,284.0,2026-06-04,266.0,2,-6.34
2313,2026-06-09,2026-06-10,270.0,2026-06-11,265.0,1,-1.85
2317,2026-05-14,2026-05-15,249.0,2026-05-20,246.5,3,-1.0
2342,2026-05-14,2026-05-15,42.8,2026-05-18,39.5,1,-7.71
2342,2026-05-28,2026-05-29,44.1,2026-06-03,40.7,3,-7.71
2344,2026-05-05,2026-05-06,108.5,2026-05-20,117.5,10,8.29
2344,2026-05-21,2026-05-22,116.5,2026-06-09,160.5,12,37.77
2344,2026-06-10,2026-06-11,154.0,2026-06-12,169.5,1,10.06
2379,2026-05-29,2026-06-01,595.0,2026-06-09,590.0,6,-0.84
2408,2026-05-05,2026-05-06,282.0,2026-05-20,279.5,10,-0.89
2408,2026-05-22,2026-05-25,295.0,2026-05-26,300.5,1,1.86
2408,2026-05-27,2026-05-28,310.0,2026-06-09,350.5,8,13.06
2409,2026-05-12,2026-05-13,20.2,2026-05-21,19.1,6,-5.45
2409,2026-05-25,2026-05-26,25.5,2026-06-10,23.4,11,-8.24
2478,2026-05-18,2026-05-19,89.0,2026-06-12,189.0,18,112.36
2481,2026-05-12,2026-05-13,115.0,2026-06-09,149.0,19,29.57
2881,2026-05-28,2026-05-29,110.5,2026-06-12,127.0,10,14.93
2883,2026-06-01,2026-06-02,22.55,2026-06-12,28.75,8,27.49
3016,2026-05-29,2026-06-01,138.5,2026-06-03,120.5,2,-13.0
3035,2026-05-12,2026-05-13,201.5,2026-05-21,195.5,6,-2.98
3231,2026-05-07,2026-05-08,146.0,2026-05-12,139.0,2,-4.79
3231,2026-06-04,2026-06-05,172.5,2026-06-10,162.5,3,-5.8
3413,2026-05-05,2026-05-06,325.5,2026-05-08,308.0,2,-5.38
3481,2026-05-05,2026-05-06,27.8,2026-06-09,49.95,24,79.68
3624,2026-05-19,2026-05-20,90.0,2026-06-05,99.2,12,10.22
3624,2026-06-08,2026-06-09,104.0,2026-06-12,117.5,3,12.98
3702,2026-05-21,2026-05-22,125.0,2026-06-02,118.5,7,-5.2
3714,2026-05-22,2026-05-25,85.1,2026-06-01,73.5,5,-13.63
4526,2026-05-05,2026-05-06,40.0,2026-05-11,34.75,3,-13.12
4526,2026-05-26,2026-05-27,45.8,2026-06-01,39.25,3,-14.3
4526,2026-06-03,2026-06-04,44.6,2026-06-09,40.2,3,-9.87
4966,2026-05-07,2026-05-08,610.0,2026-06-04,788.0,19,29.18
5258,2026-05-08,2026-05-11,55.8,2026-05-28,52.3,13,-6.27
5285,2026-06-05,2026-06-08,82.7,2026-06-09,88.2,1,6.65
5309,2026-05-27,2026-05-28,68.6,2026-06-11,66.6,10,-2.92
5388,2026-05-29,2026-06-01,88.0,2026-06-09,85.0,6,-3.41
5425,2026-05-14,2026-05-15,73.0,2026-06-08,90.9,16,24.52
5864,2026-05-11,2026-05-12,36.9,2026-05-15,31.05,3,-15.85
5864,2026-06-09,2026-06-10,45.4,2026-06-11,43.0,1,-5.29
6016,2026-05-11,2026-05-12,25.4,2026-05-20,21.95,6,-13.58
6016,2026-06-08,2026-06-09,30.3,2026-06-10,28.65,1,-5.45
6126,2026-06-02,2026-06-03,38.8,2026-06-12,42.05,7,8.38
6173,2026-05-04,2026-05-05,91.0,2026-06-05,215.0,23,136.26
6182,2026-05-22,2026-05-25,75.9,2026-06-08,77.0,10,1.45
6284,2026-05-29,2026-06-01,120.0,2026-06-04,104.0,3,-13.33
6414,2026-06-01,2026-06-02,382.5,2026-06-12,409.0,8,6.93
6443,2026-05-25,2026-05-26,45.7,2026-06-01,40.85,4,-10.61
6488,2026-05-27,2026-05-28,935.0,2026-06-05,820.0,6,-12.3
6548,2026-05-28,2026-05-29,66.5,2026-06-12,89.1,10,33.98
6642,2026-05-28,2026-05-29,101.0,2026-06-02,85.2,2,-15.64
6831,2026-05-05,2026-05-06,535.0,2026-06-01,752.0,18,40.56
8064,2026-05-05,2026-05-06,127.5,2026-06-10,140.0,25,9.8
