ticker,signal_date,entry_date,entry_price,exit_date,exit_price,hold_days,ret_pct
1711,2026-06-05,2026-06-08,42.75,2026-06-12,43.4,4,-1.52
2313,2026-05-06,2026-05-07,248.0,2026-05-08,245.5,1,1.01
2313,2026-06-02,2026-06-03,275.5,2026-06-10,270.0,5,2.0
2409,2026-05-15,2026-05-18,18.8,2026-05-20,19.25,2,-2.39
2645,2026-05-21,2026-05-22,163.0,2026-05-25,162.5,1,0.31
2886,2026-05-28,2026-05-29,40.45,2026-06-01,40.2,1,0.62
2892,2026-06-01,2026-06-02,27.75,2026-06-04,29.0,2,-4.5
3016,2026-06-11,2026-06-12,114.0,2026-06-12,114.0,0,0.0
3322,2026-05-06,2026-05-07,13.35,2026-05-13,13.65,4,-2.25
3322,2026-05-19,2026-05-20,12.5,2026-05-25,13.75,3,-10.0
3481,2026-05-04,2026-05-05,25.15,2026-05-06,27.8,1,-10.54
3702,2026-05-22,2026-05-25,118.5,2026-05-26,123.5,1,-4.22
3714,2026-06-04,2026-06-05,68.6,2026-06-12,65.0,5,5.25
5258,2026-05-04,2026-05-05,47.8,2026-05-11,55.8,4,-16.74
5371,2026-05-04,2026-05-05,70.5,2026-05-06,75.6,1,-7.23
5388,2026-05-06,2026-05-07,81.5,2026-05-08,80.6,1,1.1
5388,2026-05-13,2026-05-14,79.5,2026-05-22,83.5,6,-5.03
6284,2026-05-18,2026-05-19,85.1,2026-05-20,86.0,1,-1.06
6443,2026-05-14,2026-05-15,39.85,2026-05-20,41.0,3,-2.89
6443,2026-06-10,2026-06-11,41.15,2026-06-12,41.8,1,-1.58
6488,2026-06-11,2026-06-12,850.0,2026-06-12,850.0,0,0.0
