ticker,signal_date,entry_date,entry_price,exit_date,exit_price,hold_days,ret_pct
1582,2026-05-08,2026-05-11,88.5,2026-05-14,93.8,3,-5.99
1582,2026-06-10,2026-06-11,87.6,2026-06-12,93.9,1,-7.19
1711,2026-05-19,2026-05-20,48.3,2026-05-26,51.5,4,-6.63
1711,2026-06-08,2026-06-09,44.85,2026-06-12,43.4,3,3.23
1717,2026-05-18,2026-05-19,72.9,2026-05-22,80.6,3,-10.56
1717,2026-06-08,2026-06-09,71.9,2026-06-12,70.4,3,2.09
2049,2026-06-08,2026-06-09,333.5,2026-06-12,332.0,3,0.45
2382,2026-05-15,2026-05-18,305.0,2026-05-26,322.0,6,-5.57
2421,2026-05-15,2026-05-18,138.0,2026-05-22,154.5,4,-11.96
2467,2026-06-10,2026-06-11,530.0,2026-06-12,573.0,1,-8.11
2645,2026-05-15,2026-05-18,150.5,2026-05-22,163.0,4,-8.31
3013,2026-05-15,2026-05-18,101.5,2026-05-25,113.5,5,-11.82
3022,2026-05-15,2026-05-18,67.3,2026-05-22,69.9,4,-3.86
3030,2026-06-09,2026-06-10,340.0,2026-06-12,336.5,2,1.03
3035,2026-06-08,2026-06-09,179.0,2026-06-12,185.0,3,-3.35
3231,2026-05-19,2026-05-20,134.0,2026-05-22,142.5,2,-6.34
3265,2026-06-11,2026-06-12,176.0,2026-06-12,176.0,0,0.0
3293,2026-05-04,2026-05-05,743.0,2026-05-20,737.0,11,0.81
3322,2026-05-15,2026-05-18,12.6,2026-05-25,13.75,5,-9.13
3323,2026-05-19,2026-05-20,33.6,2026-05-25,37.1,3,-10.42
3413,2026-06-08,2026-06-09,300.0,2026-06-12,301.5,3,-0.5
3443,2026-06-04,2026-06-05,4335.0,2026-06-12,4390.0,5,-1.27
3483,2026-05-14,2026-05-15,88.8,2026-05-22,92.5,5,-4.17
3498,2026-06-10,2026-06-11,119.0,2026-06-12,123.0,1,-3.36
3526,2026-06-09,2026-06-10,344.0,2026-06-12,330.0,2,4.07
3661,2026-06-05,2026-06-08,3900.0,2026-06-12,4295.0,4,-10.13
3702,2026-06-08,2026-06-09,109.5,2026-06-12,111.5,3,-1.83
3707,2026-06-08,2026-06-09,71.5,2026-06-12,77.7,3,-8.67
3714,2026-06-08,2026-06-09,65.0,2026-06-12,65.0,3,0.0
4583,2026-05-19,2026-05-20,700.0,2026-06-01,735.0,8,-5.0
4583,2026-06-03,2026-06-04,679.0,2026-06-12,620.0,6,8.69
4764,2026-06-04,2026-06-05,282.0,2026-06-12,283.0,5,-0.35
4908,2026-06-05,2026-06-08,204.0,2026-06-12,205.0,4,-0.49
4966,2026-06-08,2026-06-09,667.0,2026-06-12,688.0,3,-3.15
4991,2026-06-08,2026-06-09,620.0,2026-06-12,577.0,3,6.94
5222,2026-05-13,2026-05-14,127.0,2026-05-25,130.0,7,-2.36
5222,2026-06-05,2026-06-08,111.0,2026-06-12,113.5,4,-2.25
5258,2026-06-08,2026-06-09,48.15,2026-06-12,51.2,3,-6.33
5371,2026-06-10,2026-06-11,67.5,2026-06-12,68.8,1,-1.93
6443,2026-06-08,2026-06-09,36.45,2026-06-12,41.8,3,-14.68
6548,2026-05-15,2026-05-18,48.2,2026-05-22,51.8,4,-7.47
8234,2026-06-08,2026-06-09,65.2,2026-06-12,65.3,3,-0.15
8271,2026-06-08,2026-06-09,215.0,2026-06-12,206.5,3,3.95
8299,2026-06-08,2026-06-09,2320.0,2026-06-12,2345.0,3,-1.08
