ticker,signal_date,entry_date,entry_price,exit_date,exit_price,hold_days,ret_pct
1582,2026-05-07,2026-05-08,88.5,2026-05-14,93.8,4,-5.99
1711,2026-05-12,2026-05-13,53.0,2026-05-26,51.5,9,2.83
1717,2026-05-07,2026-05-08,80.1,2026-05-12,82.2,2,-2.62
1717,2026-05-15,2026-05-18,77.9,2026-05-22,80.6,4,-3.47
1717,2026-06-10,2026-06-11,67.0,2026-06-12,70.4,1,-5.07
2312,2026-05-04,2026-05-05,27.85,2026-05-08,28.6,3,-2.69
2313,2026-05-28,2026-05-29,271.0,2026-06-01,288.5,1,-6.46
2379,2026-05-04,2026-05-05,528.0,2026-05-11,615.0,4,-16.48
2382,2026-05-15,2026-05-18,305.0,2026-05-26,322.0,6,-5.57
2408,2026-05-19,2026-05-20,279.5,2026-05-25,295.0,3,-5.55
2409,2026-05-04,2026-05-05,17.25,2026-05-06,18.15,1,-5.22
2421,2026-05-14,2026-05-15,146.0,2026-05-22,154.5,5,-5.82
2458,2026-05-13,2026-05-14,144.0,2026-05-15,150.5,1,-4.51
2467,2026-05-18,2026-05-19,589.0,2026-05-25,617.0,4,-4.75
2645,2026-05-15,2026-05-18,150.5,2026-05-22,163.0,4,-8.31
2883,2026-05-18,2026-05-19,21.4,2026-05-28,22.4,7,-4.67
3003,2026-05-13,2026-05-14,58.3,2026-05-15,61.6,1,-5.66
3013,2026-05-14,2026-05-15,107.0,2026-05-25,113.5,6,-6.07
3030,2026-05-11,2026-05-12,399.5,2026-05-13,399.0,1,0.13
3035,2026-05-14,2026-05-15,200.0,2026-05-19,190.0,2,5.0
3090,2026-05-12,2026-05-13,117.5,2026-05-14,130.5,1,-11.06
3231,2026-05-15,2026-05-18,135.0,2026-05-22,142.5,4,-5.56
3265,2026-06-11,2026-06-12,176.0,2026-06-12,176.0,0,0.0
3293,2026-05-04,2026-05-05,743.0,2026-05-20,737.0,11,0.81
3322,2026-05-15,2026-05-18,12.6,2026-05-25,13.75,5,-9.13
3413,2026-05-07,2026-05-08,308.0,2026-05-11,309.0,1,-0.32
3443,2026-05-06,2026-05-07,4955.0,2026-05-08,5465.0,1,-10.29
3596,2026-05-07,2026-05-08,169.0,2026-05-11,179.5,1,-6.21
3702,2026-05-14,2026-05-15,114.0,2026-05-19,109.5,2,3.95
3704,2026-05-06,2026-05-07,35.15,2026-05-08,35.9,1,-2.13
3707,2026-05-08,2026-05-11,74.0,2026-05-12,74.7,1,-0.95
3707,2026-05-19,2026-05-20,73.0,2026-05-22,81.0,2,-10.96
3714,2026-05-04,2026-05-05,79.0,2026-05-06,76.0,1,3.8
4526,2026-05-12,2026-05-13,36.1,2026-05-18,36.6,3,-1.39
4583,2026-05-20,2026-05-21,698.0,2026-06-01,735.0,7,-5.3
4966,2026-05-04,2026-05-05,570.0,2026-05-08,610.0,3,-7.02
4966,2026-05-25,2026-05-26,824.0,2026-05-27,852.0,1,-3.4
4966,2026-06-10,2026-06-11,657.0,2026-06-12,688.0,1,-4.72
4991,2026-05-08,2026-05-11,629.0,2026-05-12,721.0,1,-14.63
4991,2026-05-29,2026-06-01,730.0,2026-06-12,577.0,9,20.96
5222,2026-05-13,2026-05-14,127.0,2026-05-25,130.0,7,-2.36
5222,2026-06-10,2026-06-11,113.0,2026-06-12,113.5,1,-0.44
5371,2026-06-10,2026-06-11,67.5,2026-06-12,68.8,1,-1.93
5425,2026-05-14,2026-05-15,73.0,2026-05-19,82.0,2,-12.33
5536,2026-05-05,2026-05-06,870.0,2026-05-12,900.0,4,-3.45
5864,2026-05-13,2026-05-14,32.6,2026-05-25,33.8,7,-3.68
6016,2026-05-14,2026-05-15,22.4,2026-05-26,23.8,7,-6.25
6282,2026-05-15,2026-05-18,49.0,2026-05-22,54.6,4,-11.43
6405,2026-05-08,2026-05-11,58.5,2026-05-12,60.1,1,-2.74
6443,2026-05-15,2026-05-18,37.8,2026-05-20,41.0,2,-8.47
6488,2026-05-19,2026-05-20,684.0,2026-05-26,866.0,4,-26.61
6548,2026-05-12,2026-05-13,51.8,2026-05-22,51.8,7,0.0
6831,2026-05-04,2026-05-05,472.0,2026-05-06,535.0,1,-13.35
6831,2026-05-07,2026-05-08,535.0,2026-05-11,543.0,1,-1.5
7769,2026-05-27,2026-05-28,7945.0,2026-05-29,8000.0,1,-0.69
7769,2026-06-09,2026-06-10,6895.0,2026-06-12,7395.0,2,-7.25
8064,2026-05-08,2026-05-11,105.0,2026-05-12,118.0,1,-12.38
8064,2026-05-15,2026-05-18,118.0,2026-05-19,130.5,1,-10.59
8234,2026-05-08,2026-05-11,70.5,2026-05-12,71.9,1,-1.99
8234,2026-06-08,2026-06-09,65.2,2026-06-12,65.3,3,-0.15
8271,2026-05-12,2026-05-13,241.5,2026-05-14,254.0,1,-5.18
8271,2026-05-19,2026-05-20,221.5,2026-05-28,234.5,6,-5.87
8299,2026-05-19,2026-05-20,2450.0,2026-06-01,2655.0,8,-8.37
8299,2026-06-10,2026-06-11,2150.0,2026-06-12,2345.0,1,-9.07
