ticker,signal_date,entry_date,entry_price,exit_date,exit_price,hold_days,ret_pct
1582,2024-05-20,2024-05-21,94.6,2024-05-22,94.9,1,0.32
1582,2024-06-03,2024-06-04,113.0,2024-06-25,110.5,14,-2.21
1582,2024-07-16,2024-07-17,119.0,2024-07-23,103.0,4,-13.45
1582,2024-09-25,2024-09-26,109.0,2024-09-27,109.0,1,0.0
1582,2024-10-18,2024-10-21,99.2,2024-11-01,100.0,8,0.81
1582,2024-11-04,2024-11-05,101.0,2024-11-06,101.5,1,0.5
1582,2025-02-05,2025-02-06,100.5,2025-02-26,105.0,14,4.48
1582,2025-06-03,2025-06-04,79.9,2025-06-11,78.5,5,-1.75
1582,2026-04-22,2026-04-23,104.0,2026-04-24,93.6,1,-10.0
1605,2024-06-06,2024-06-07,36.6,2024-06-14,36.75,4,0.41
1605,2024-06-20,2024-06-21,36.1,2024-06-24,36.05,1,-0.14
1605,2024-06-25,2024-06-26,35.6,2024-06-27,35.25,1,-0.98
1605,2024-06-28,2024-07-01,35.75,2024-07-03,35.2,2,-1.54
1605,2024-07-12,2024-07-15,36.1,2024-07-23,34.95,6,-3.19
1605,2024-07-26,2024-07-29,36.1,2024-07-31,34.6,2,-4.16
1605,2024-08-01,2024-08-02,34.65,2024-08-05,33.1,1,-4.47
1605,2024-08-06,2024-08-07,31.0,2024-08-08,32.35,1,4.35
1605,2024-08-09,2024-08-12,33.15,2024-09-05,33.75,18,1.81
1605,2024-09-10,2024-09-11,30.95,2024-09-12,31.95,1,3.23
1605,2024-11-21,2024-11-22,28.5,2024-11-28,27.5,4,-3.51
1605,2025-01-14,2025-01-15,22.45,2025-03-03,27.0,25,20.27
1605,2025-03-04,2025-03-05,27.4,2025-03-07,27.8,2,1.46
1605,2025-06-24,2025-06-25,21.55,2025-07-07,20.7,8,-3.94
1605,2025-07-11,2025-07-14,19.8,2025-07-15,19.7,1,-0.51
1605,2026-01-06,2026-01-07,37.3,2026-01-19,43.0,8,15.28
1605,2026-01-28,2026-01-29,44.0,2026-02-03,39.4,3,-10.45
1605,2026-05-14,2026-05-15,36.05,2026-05-20,33.5,3,-7.07
