ticker,signal_date,entry_date,entry_price,exit_date,exit_price,hold_days,ret_pct
1582,2024-05-13,2024-05-14,98.5,2024-05-29,104.5,11,-6.09
1582,2024-08-07,2024-08-08,91.9,2024-08-12,102.5,2,-11.53
1582,2024-09-06,2024-09-09,102.0,2024-09-10,109.5,1,-7.35
1582,2025-06-20,2025-06-23,68.8,2025-07-04,72.0,9,-4.65
1582,2026-04-28,2026-04-29,89.0,2026-05-14,93.8,10,-5.39
1605,2024-04-19,2024-04-22,39.2,2024-05-20,36.95,19,5.74
1605,2025-03-31,2025-04-01,23.4,2025-04-24,19.95,15,14.74
1605,2025-10-15,2025-10-16,27.45,2025-10-17,29.2,1,-6.38
1605,2025-11-19,2025-11-20,30.05,2025-12-01,29.65,7,1.33
1605,2026-02-03,2026-02-04,36.6,2026-02-25,36.95,8,-0.96
1605,2026-03-05,2026-03-06,32.7,2026-03-18,34.2,8,-4.59
1605,2026-04-23,2026-04-24,30.55,2026-05-05,31.75,6,-3.93
1711,2024-03-05,2024-03-06,21.1,2024-03-07,21.45,1,-1.66
1711,2024-08-05,2024-08-06,18.65,2024-08-13,19.95,5,-6.97
1711,2025-06-03,2025-06-04,17.05,2025-06-30,16.55,18,2.93
1711,2025-11-20,2025-11-21,17.7,2025-12-01,18.2,6,-2.82
1711,2026-03-24,2026-03-25,40.0,2026-03-26,41.6,1,-4.0
1711,2026-04-08,2026-04-09,34.9,2026-04-13,39.05,2,-11.89
1711,2026-04-27,2026-04-28,54.2,2026-04-29,53.1,1,2.03
1711,2026-05-14,2026-05-15,52.0,2026-05-26,51.5,7,0.96
1717,2025-05-29,2025-06-02,26.0,2025-06-17,25.8,11,0.77
1717,2025-09-04,2025-09-05,41.45,2025-09-08,44.4,1,-7.12
1717,2026-02-03,2026-02-04,56.6,2026-02-24,59.5,7,-5.12
1717,2026-03-04,2026-03-05,63.8,2026-03-13,62.3,6,2.35
1717,2026-04-28,2026-04-29,76.1,2026-04-30,82.0,1,-7.75
1773,2024-08-06,2024-08-07,138.5,2024-08-19,143.0,8,-3.25
1773,2025-04-09,2025-04-10,123.5,2025-04-16,133.0,4,-7.69
2049,2024-08-07,2024-08-08,194.0,2024-08-13,203.0,3,-4.64
2049,2025-03-04,2025-03-05,306.0,2025-04-18,195.5,30,36.11
2049,2025-08-22,2025-08-25,207.5,2025-08-26,215.0,1,-3.61
2049,2026-04-01,2026-04-02,237.5,2026-04-09,244.0,3,-2.74
2233,2026-02-05,2026-02-06,234.0,2026-03-03,235.0,9,-0.43
2301,2024-04-19,2024-04-22,96.2,2024-04-29,102.5,5,-6.55
2312,2024-06-11,2024-06-12,17.35,2024-06-14,17.55,2,-1.15
2312,2024-09-04,2024-09-05,21.9,2024-09-19,20.85,9,4.79
2312,2026-01-21,2026-01-22,30.4,2026-02-25,25.7,17,15.46
2313,2024-08-07,2024-08-08,68.8,2024-08-15,71.5,5,-3.92
2313,2025-04-07,2025-04-08,49.05,2025-04-16,54.7,6,-11.52
2313,2025-09-02,2025-09-03,75.6,2025-09-10,78.1,5,-3.31
2313,2026-03-04,2026-03-05,226.0,2026-03-16,218.0,7,3.54
2316,2024-01-22,2024-01-23,36.3,2024-02-19,36.4,12,-0.28
2316,2024-07-12,2024-07-15,56.4,2024-08-14,49.1,20,12.94
2316,2024-09-05,2024-09-06,45.5,2024-09-13,47.1,5,-3.52
2316,2024-12-16,2024-12-17,47.6,2024-12-27,49.2,8,-3.36
2316,2025-08-26,2025-08-27,98.5,2025-08-28,107.0,1,-8.63
2316,2025-11-03,2025-11-04,103.5,2025-11-13,102.0,7,1.45
2316,2025-11-18,2025-11-19,89.2,2025-11-26,101.5,5,-13.79
2316,2025-12-03,2025-12-04,104.0,2025-12-10,111.0,4,-6.73
2316,2026-03-03,2026-03-04,95.0,2026-03-17,102.0,9,-7.37
2316,2026-03-24,2026-03-25,103.5,2026-04-10,111.0,10,-7.25
2316,2026-04-28,2026-04-29,114.5,2026-05-06,120.0,4,-4.8
2316,2026-06-11,2026-06-12,159.0,2026-06-12,159.0,0,0.0
2317,2026-03-04,2026-03-05,224.5,2026-04-09,201.0,23,10.47
2342,2024-03-15,2024-03-18,33.1,2024-03-20,33.15,2,-0.15
2342,2024-08-06,2024-08-07,28.05,2024-08-19,29.75,8,-6.06
2342,2024-12-12,2024-12-13,34.15,2024-12-27,32.1,10,6.0
2342,2025-05-26,2025-05-27,24.3,2025-06-13,22.65,12,6.79
2342,2026-01-26,2026-01-27,35.4,2026-02-25,32.95,14,6.92
2342,2026-03-04,2026-03-05,29.9,2026-03-13,30.8,6,-3.01
2342,2026-04-28,2026-04-29,31.85,2026-04-30,32.55,1,-2.2
2342,2026-06-01,2026-06-02,41.75,2026-06-04,43.3,2,-3.71
2344,2025-01-09,2025-01-10,13.8,2025-01-21,14.05,7,-1.81
2344,2025-10-15,2025-10-16,41.1,2025-10-17,44.0,1,-7.06
2344,2025-11-19,2025-11-20,63.4,2025-12-02,58.9,8,7.1
2344,2026-01-22,2026-01-23,107.0,2026-01-27,113.5,2,-6.07
2344,2026-03-03,2026-03-04,106.0,2026-03-12,114.5,6,-8.02
2344,2026-03-24,2026-03-25,99.0,2026-04-14,96.8,12,2.22
2351,2024-04-19,2024-04-22,96.0,2024-04-25,100.5,3,-4.69
2351,2024-05-10,2024-05-13,107.0,2024-05-15,111.0,2,-3.74
2351,2024-06-14,2024-06-17,134.5,2024-07-01,138.5,10,-2.97
2351,2025-02-27,2025-03-03,93.1,2025-03-25,95.0,16,-2.04
2351,2025-03-28,2025-03-31,85.1,2025-04-21,70.0,13,17.74
2351,2025-06-19,2025-06-20,71.3,2025-06-30,73.0,6,-2.38
2351,2025-10-17,2025-10-20,81.5,2025-10-22,85.0,2,-4.29
2351,2026-04-28,2026-04-29,147.0,2026-04-30,152.0,1,-3.4
2379,2024-04-23,2024-04-24,527.0,2024-05-08,525.0,9,0.38
2379,2024-06-04,2024-06-05,535.0,2024-06-14,580.0,6,-8.41
2379,2026-01-16,2026-01-19,509.0,2026-01-21,513.0,2,-0.79
2379,2026-03-10,2026-03-11,460.0,2026-03-13,467.0,2,-1.52
2382,2025-04-09,2025-04-10,196.0,2025-04-15,227.5,3,-16.07
2382,2026-03-04,2026-03-05,288.0,2026-03-17,290.5,8,-0.87
2395,2025-04-09,2025-04-10,336.0,2025-04-28,333.5,12,0.74
2404,2024-08-06,2024-08-07,303.0,2024-08-14,339.0,5,-11.88
2404,2025-04-08,2025-04-09,425.0,2025-04-11,427.5,2,-0.59
2404,2025-09-03,2025-09-04,1060.0,2025-10-16,903.0,27,14.81
2404,2026-01-16,2026-01-19,1090.0,2026-02-23,933.0,18,14.4
2404,2026-05-15,2026-05-18,990.0,2026-05-21,1045.0,3,-5.56
2408,2024-08-07,2024-08-08,48.5,2024-08-15,54.4,5,-12.16
2408,2025-01-09,2025-01-10,25.75,2025-01-16,28.0,4,-8.74
2408,2025-10-15,2025-10-16,89.2,2025-10-17,98.3,1,-10.2
2408,2026-02-04,2026-02-05,282.0,2026-02-25,298.0,7,-5.67
2408,2026-03-04,2026-03-05,257.5,2026-03-12,257.0,5,0.19
2408,2026-03-20,2026-03-23,217.5,2026-04-09,222.0,11,-2.07
2408,2026-06-11,2026-06-12,368.5,2026-06-12,368.5,0,0.0
2409,2025-04-09,2025-04-10,11.65,2025-04-16,12.65,4,-8.58
2409,2025-11-05,2025-11-06,11.85,2025-11-28,11.5,16,2.95
2409,2026-01-13,2026-01-14,15.15,2026-01-15,15.25,1,-0.66
2409,2026-03-04,2026-03-05,15.55,2026-03-12,16.75,5,-7.72
2421,2024-07-29,2024-07-30,92.7,2024-08-02,97.8,3,-5.5
2421,2026-03-03,2026-03-04,138.5,2026-03-13,139.0,7,-0.36
2421,2026-04-27,2026-04-28,143.5,2026-05-04,148.0,3,-3.14
2421,2026-05-12,2026-05-13,146.5,2026-05-22,154.5,7,-5.46
2421,2026-06-10,2026-06-11,144.0,2026-06-12,146.5,1,-1.74
2428,2024-08-06,2024-08-07,148.0,2024-08-12,163.0,3,-10.14
2458,2025-04-01,2025-04-02,139.0,2025-04-21,116.0,11,16.55
2458,2026-06-10,2026-06-11,146.5,2026-06-12,150.0,1,-2.39
2467,2024-03-13,2024-03-14,115.0,2024-03-20,131.5,4,-14.35
2467,2024-04-03,2024-04-08,126.0,2024-04-09,135.5,1,-7.54
2467,2024-05-23,2024-05-24,138.0,2024-06-14,134.5,14,2.54
2467,2024-07-26,2024-07-29,205.0,2024-08-14,183.5,12,10.49
2467,2024-10-15,2024-10-16,226.5,2024-10-18,235.0,2,-3.75
2467,2025-05-28,2025-05-29,152.0,2025-06-11,163.0,8,-7.24
2467,2025-07-09,2025-07-10,146.5,2025-07-17,151.0,5,-3.07
2467,2025-07-24,2025-07-25,153.5,2025-08-08,151.0,10,1.63
2467,2025-09-15,2025-09-16,189.0,2025-09-24,197.0,6,-4.23
2467,2026-06-08,2026-06-09,588.0,2026-06-12,573.0,3,2.55
2478,2025-04-09,2025-04-10,38.6,2025-04-17,41.45,5,-7.38
2478,2026-01-16,2026-01-19,71.9,2026-01-21,70.2,2,2.36
2478,2026-03-24,2026-03-25,64.0,2026-04-09,62.5,9,2.34
2481,2024-08-06,2024-08-07,46.55,2024-08-15,51.7,6,-11.06
2481,2024-10-29,2024-10-30,57.8,2024-11-08,58.4,6,-1.04
2481,2025-11-19,2025-11-20,82.6,2025-11-21,82.5,1,0.12
2481,2026-01-19,2026-01-20,88.0,2026-01-23,99.9,3,-13.52
2481,2026-04-23,2026-04-24,101.5,2026-05-07,102.5,8,-0.99
2481,2026-06-02,2026-06-03,153.0,2026-06-04,157.0,1,-2.61
2492,2025-11-19,2025-11-20,122.0,2025-12-01,119.5,7,2.05
2492,2025-12-16,2025-12-17,113.5,2026-01-02,118.0,10,-3.96
2492,2026-03-04,2026-03-05,133.5,2026-03-18,144.0,9,-7.87
2492,2026-03-23,2026-03-24,128.0,2026-04-13,135.5,12,-5.86
2492,2026-06-08,2026-06-09,410.5,2026-06-10,450.0,1,-9.62
2645,2024-04-16,2024-04-17,110.0,2024-05-02,110.0,10,0.0
2645,2024-08-08,2024-08-09,96.5,2024-08-14,99.0,3,-2.59
2645,2025-11-07,2025-11-10,146.5,2025-11-25,145.5,11,0.68
2645,2026-03-04,2026-03-05,168.0,2026-03-18,165.0,9,1.79
2883,2024-08-08,2024-08-09,15.3,2024-08-14,15.9,3,-3.92
2883,2025-04-09,2025-04-10,15.5,2025-04-22,15.5,8,0.0
3003,2024-08-05,2024-08-06,73.2,2024-08-12,78.5,4,-7.24
3003,2025-04-01,2025-04-02,62.6,2025-04-28,52.7,16,15.81
3003,2026-05-18,2026-05-19,58.5,2026-05-21,59.7,2,-2.05
3013,2024-07-23,2024-07-26,105.5,2024-08-13,106.0,12,-0.47
3013,2024-09-10,2024-09-11,108.0,2024-09-13,113.0,2,-4.63
3013,2024-12-16,2024-12-17,142.0,2024-12-27,141.0,8,0.7
3013,2025-01-13,2025-01-14,144.0,2025-02-14,134.0,16,6.94
3013,2025-02-27,2025-03-03,137.5,2025-03-19,142.5,12,-3.64
3013,2025-04-17,2025-04-18,85.5,2025-04-29,88.8,7,-3.86
3013,2026-03-05,2026-03-06,101.0,2026-03-16,102.0,6,-0.99
3013,2026-03-31,2026-04-01,100.0,2026-04-10,104.0,5,-4.0
3013,2026-06-11,2026-06-12,110.0,2026-06-12,110.0,0,0.0
3016,2024-08-08,2024-08-09,57.0,2024-08-19,57.8,6,-1.4
3016,2025-03-06,2025-03-07,42.4,2025-03-21,41.2,10,2.83
3016,2025-05-23,2025-05-26,34.15,2025-06-11,32.5,11,4.83
3016,2025-09-11,2025-09-12,41.2,2025-09-15,45.6,1,-10.68
3016,2025-12-19,2025-12-22,51.4,2025-12-30,51.8,5,-0.78
3016,2026-05-15,2026-05-18,107.0,2026-05-25,127.0,5,-18.69
3016,2026-06-01,2026-06-02,124.5,2026-06-12,114.0,8,8.43
3022,2024-08-07,2024-08-08,74.2,2024-08-15,78.6,5,-5.93
3022,2024-09-10,2024-09-11,74.5,2024-09-18,75.8,4,-1.74
3022,2025-03-25,2025-03-26,96.9,2025-04-21,79.6,16,17.85
3030,2024-06-06,2024-06-07,166.5,2024-06-14,180.0,4,-8.11
3030,2024-07-22,2024-07-23,150.0,2024-08-13,139.0,13,7.33
3030,2025-04-01,2025-04-02,114.0,2025-04-16,104.0,8,8.77
3030,2025-05-06,2025-05-07,102.0,2025-05-13,113.0,4,-10.78
3030,2025-11-07,2025-11-10,155.0,2025-11-27,155.5,13,-0.32
3030,2026-03-09,2026-03-10,241.5,2026-03-11,248.0,1,-2.69
3030,2026-04-24,2026-04-27,320.0,2026-04-30,356.0,3,-11.25
3034,2026-04-28,2026-04-29,414.0,2026-05-06,426.0,4,-2.9
3035,2024-02-21,2024-02-22,389.5,2024-03-04,406.5,6,-4.36
3035,2024-04-22,2024-04-23,294.0,2024-05-22,278.0,20,5.44
3035,2024-07-26,2024-07-29,325.0,2024-08-14,289.0,12,11.08
3035,2024-10-30,2024-11-01,224.5,2024-11-26,230.0,17,-2.45
3035,2025-01-14,2025-01-15,206.0,2025-01-22,228.0,5,-10.68
3035,2025-04-07,2025-04-08,202.0,2025-04-16,216.5,6,-7.18
3035,2025-09-26,2025-09-30,158.0,2025-10-09,168.0,6,-6.33
3088,2026-04-24,2026-04-27,97.9,2026-04-29,100.0,2,-2.15
3090,2025-04-09,2025-04-10,60.8,2025-04-25,62.5,11,-2.8
3090,2025-07-07,2025-07-08,67.9,2025-07-17,80.3,7,-18.26
3090,2025-11-18,2025-11-19,81.7,2025-11-28,91.8,7,-12.36
3090,2026-01-09,2026-01-12,100.5,2026-01-14,104.5,2,-3.98
3189,2024-07-19,2024-07-22,119.5,2024-07-26,112.0,2,6.28
3189,2025-06-02,2025-06-03,78.1,2025-06-06,80.6,3,-3.2
3189,2025-08-20,2025-08-21,103.5,2025-08-25,107.5,2,-3.86
3189,2025-11-20,2025-11-21,134.0,2025-11-27,140.5,4,-4.85
3189,2026-03-05,2026-03-06,295.0,2026-03-16,322.5,6,-9.32
3189,2026-06-10,2026-06-11,674.0,2026-06-12,661.0,1,1.93
3231,2024-07-22,2024-07-23,102.0,2024-08-08,95.0,10,6.86
