ticker,signal_date,entry_date,entry_price,exit_date,exit_price,hold_days,ret_pct
2379,2026-05-14,2026-05-15,577.0,2026-05-18,546.0,1,-5.37
2404,2026-03-05,2026-03-06,1100.0,2026-03-11,1095.0,3,-0.45
3013,2024-07-11,2024-07-12,101.0,2024-07-30,102.5,10,1.49
3035,2026-04-24,2026-04-27,195.0,2026-04-30,170.0,3,-12.82
3088,2024-06-03,2024-06-04,112.0,2024-06-12,100.5,5,-10.27
3088,2024-11-19,2024-11-20,106.5,2024-11-29,106.5,7,0.0
3189,2026-02-04,2026-02-05,272.0,2026-03-05,308.0,12,13.24
3322,2024-05-28,2024-05-29,24.2,2024-06-06,23.05,6,-4.75
3498,2026-01-14,2026-01-15,54.7,2026-01-20,52.2,3,-4.57
4908,2026-02-11,2026-02-23,80.7,2026-03-10,90.0,10,11.52
4966,2026-04-24,2026-04-27,651.0,2026-05-04,583.0,4,-10.45
5864,2026-01-13,2026-01-14,18.45,2026-02-09,23.8,18,29.0
6831,2025-01-03,2025-01-06,92.24,2025-01-20,99.29,10,7.64
6831,2026-04-21,2026-04-22,519.0,2026-04-29,475.0,5,-8.48
8234,2024-07-11,2024-07-12,66.1,2024-07-16,62.0,2,-6.2
