ticker,signal_date,entry_date,entry_price,exit_date,exit_price,hold_days,ret_pct
1582,2025-02-05,2025-02-06,100.5,2025-02-26,105.0,14,4.48
1582,2026-03-27,2026-03-30,107.0,2026-04-13,97.0,8,-9.35
1605,2024-09-02,2024-09-03,35.25,2024-09-05,33.75,2,-4.26
1605,2025-01-14,2025-01-15,22.45,2025-03-03,27.0,25,20.27
1605,2025-05-14,2025-05-15,22.75,2025-05-27,22.6,8,-0.66
1605,2026-01-06,2026-01-07,37.3,2026-01-19,43.0,8,15.28
1711,2024-08-29,2024-08-30,27.6,2024-09-10,24.65,7,-10.69
1711,2025-02-06,2025-02-07,21.85,2025-02-12,20.9,3,-4.35
1711,2025-05-08,2025-05-09,17.25,2025-05-21,16.9,8,-2.03
1711,2026-03-12,2026-03-13,29.0,2026-03-30,38.0,11,31.03
1711,2026-05-05,2026-05-06,63.0,2026-05-12,54.1,4,-14.13
1717,2024-07-05,2024-07-08,32.0,2024-07-22,30.8,10,-3.75
1717,2024-09-27,2024-09-30,34.8,2024-10-09,32.75,5,-5.89
1717,2025-03-18,2025-03-19,29.55,2025-03-31,28.0,8,-5.25
1717,2025-08-11,2025-08-12,29.5,2025-09-05,41.45,18,40.51
1717,2026-01-07,2026-01-08,55.7,2026-01-22,69.2,10,24.24
1773,2024-02-19,2024-02-20,150.0,2024-04-03,182.0,30,21.33
1773,2024-07-18,2024-07-19,163.5,2024-07-30,152.0,5,-7.03
1773,2024-08-27,2024-08-28,164.5,2024-09-05,153.0,6,-6.99
1773,2025-07-17,2025-07-18,135.0,2025-07-28,129.0,6,-4.44
1773,2026-01-06,2026-01-07,160.0,2026-01-22,157.5,11,-1.56
1773,2026-04-21,2026-04-22,165.0,2026-05-18,173.0,17,4.85
2049,2024-12-17,2024-12-18,276.5,2025-01-03,311.0,11,12.48
2049,2026-01-27,2026-01-28,261.5,2026-02-03,237.0,4,-9.37
2049,2026-04-17,2026-04-20,296.5,2026-06-02,391.0,30,31.87
