ticker,signal_date,entry_date,entry_price,exit_date,exit_price,hold_days,ret_pct
1711,2026-05-14,2026-05-15,52.0,2026-05-26,51.5,7,0.96
2316,2026-06-11,2026-06-12,159.0,2026-06-12,159.0,0,0.0
2342,2026-06-01,2026-06-02,41.75,2026-06-04,43.3,2,-3.71
2404,2026-05-15,2026-05-18,990.0,2026-05-21,1045.0,3,-5.56
2408,2026-06-11,2026-06-12,368.5,2026-06-12,368.5,0,0.0
2421,2026-05-12,2026-05-13,146.5,2026-05-22,154.5,7,-5.46
2421,2026-06-10,2026-06-11,144.0,2026-06-12,146.5,1,-1.74
2458,2026-06-10,2026-06-11,146.5,2026-06-12,150.0,1,-2.39
2467,2026-06-08,2026-06-09,588.0,2026-06-12,573.0,3,2.55
2481,2026-06-02,2026-06-03,153.0,2026-06-04,157.0,1,-2.61
2492,2026-06-08,2026-06-09,410.5,2026-06-10,450.0,1,-9.62
3003,2026-05-18,2026-05-19,58.5,2026-05-21,59.7,2,-2.05
3013,2026-06-11,2026-06-12,110.0,2026-06-12,110.0,0,0.0
3016,2026-05-15,2026-05-18,107.0,2026-05-25,127.0,5,-18.69
3016,2026-06-01,2026-06-02,124.5,2026-06-12,114.0,8,8.43
3189,2026-06-10,2026-06-11,674.0,2026-06-12,661.0,1,1.93
3231,2026-06-08,2026-06-09,166.0,2026-06-12,159.0,3,4.22
3293,2026-06-11,2026-06-12,770.0,2026-06-12,770.0,0,0.0
3322,2026-05-19,2026-05-20,12.5,2026-05-25,13.75,3,-10.0
3413,2026-06-11,2026-06-12,301.5,2026-06-12,301.5,0,0.0
3443,2026-05-28,2026-05-29,4440.0,2026-06-12,4390.0,10,1.13
3481,2026-06-11,2026-06-12,50.5,2026-06-12,50.5,0,0.0
3483,2026-06-08,2026-06-09,97.5,2026-06-12,94.2,3,3.38
3498,2026-06-05,2026-06-08,117.5,2026-06-12,123.0,4,-4.68
3526,2026-06-09,2026-06-10,344.0,2026-06-12,330.0,2,4.07
3624,2026-06-05,2026-06-08,97.2,2026-06-10,112.0,2,-15.23
3702,2026-05-15,2026-05-18,109.5,2026-05-21,117.0,3,-6.85
3704,2026-06-10,2026-06-11,44.4,2026-06-12,47.2,1,-6.31
3707,2026-06-01,2026-06-02,83.2,2026-06-12,77.7,8,6.61
3714,2026-05-11,2026-05-12,68.5,2026-05-13,72.5,1,-5.84
3714,2026-05-28,2026-05-29,73.8,2026-06-12,65.0,10,11.92
4764,2026-05-27,2026-05-28,328.0,2026-06-12,283.0,11,13.72
4908,2026-05-28,2026-05-29,242.5,2026-06-12,205.0,10,15.46
4916,2026-06-10,2026-06-11,114.0,2026-06-12,118.5,1,-3.95
4966,2026-06-03,2026-06-04,788.0,2026-06-12,688.0,6,12.69
4991,2026-05-29,2026-06-01,730.0,2026-06-12,577.0,9,20.96
5309,2026-06-08,2026-06-09,75.0,2026-06-12,68.4,3,8.8
5425,2026-05-15,2026-05-18,71.0,2026-05-19,82.0,1,-15.49
5536,2026-06-02,2026-06-03,1005.0,2026-06-04,1085.0,1,-7.96
5864,2026-05-14,2026-05-15,31.05,2026-05-25,33.8,6,-8.86
6182,2026-06-11,2026-06-12,88.9,2026-06-12,88.9,0,0.0
6271,2026-06-10,2026-06-11,224.5,2026-06-12,238.5,1,-6.24
6282,2026-05-14,2026-05-15,50.8,2026-05-22,54.6,5,-7.48
6284,2026-06-02,2026-06-03,110.0,2026-06-12,100.0,7,9.09
6405,2026-05-14,2026-05-15,58.7,2026-05-25,69.0,6,-17.55
6405,2026-06-02,2026-06-03,77.3,2026-06-04,80.0,1,-3.49
6443,2026-05-14,2026-05-15,39.85,2026-05-20,41.0,3,-2.89
6548,2026-06-10,2026-06-11,84.3,2026-06-12,89.1,1,-5.69
6831,2026-06-01,2026-06-02,755.0,2026-06-10,770.0,6,-1.99
7769,2026-05-19,2026-05-20,6470.0,2026-05-21,7325.0,1,-13.21
7769,2026-06-03,2026-06-04,7480.0,2026-06-12,7395.0,6,1.14
8271,2026-05-15,2026-05-18,236.5,2026-05-28,234.5,8,0.85
8299,2026-05-21,2026-05-22,2425.0,2026-06-01,2655.0,6,-9.48
8299,2026-06-11,2026-06-12,2345.0,2026-06-12,2345.0,0,0.0
8358,2026-05-13,2026-05-14,461.0,2026-05-21,485.0,5,-5.21
8358,2026-06-05,2026-06-08,537.0,2026-06-12,579.0,4,-7.82
