ticker,signal_date,entry_date,entry_price,exit_date,exit_price,hold_days,ret_pct
1582,2026-05-07,2026-05-08,88.5,2026-05-14,93.8,4,-5.99
1717,2026-05-15,2026-05-18,77.9,2026-05-22,80.6,4,-3.47
2313,2026-05-28,2026-05-29,271.0,2026-06-01,288.5,1,-6.46
2382,2026-05-15,2026-05-18,305.0,2026-05-26,322.0,6,-5.57
2404,2026-05-15,2026-05-18,990.0,2026-05-21,1045.0,3,-5.56
2409,2026-05-05,2026-05-06,18.15,2026-05-07,18.3,1,-0.83
2421,2026-05-15,2026-05-18,138.0,2026-05-22,154.5,4,-11.96
2421,2026-06-11,2026-06-12,146.5,2026-06-12,146.5,0,0.0
2458,2026-05-13,2026-05-14,144.0,2026-05-15,150.5,1,-4.51
2458,2026-06-10,2026-06-11,146.5,2026-06-12,150.0,1,-2.39
2481,2026-06-02,2026-06-03,153.0,2026-06-04,157.0,1,-2.61
3003,2026-05-13,2026-05-14,58.3,2026-05-15,61.6,1,-5.66
3013,2026-05-14,2026-05-15,107.0,2026-05-25,113.5,6,-6.07
3231,2026-05-19,2026-05-20,134.0,2026-05-22,142.5,2,-6.34
3293,2026-05-04,2026-05-05,743.0,2026-05-20,737.0,11,0.81
3322,2026-05-15,2026-05-18,12.6,2026-05-25,13.75,5,-9.13
3413,2026-05-07,2026-05-08,308.0,2026-05-11,309.0,1,-0.32
3413,2026-06-11,2026-06-12,301.5,2026-06-12,301.5,0,0.0
3526,2026-06-09,2026-06-10,344.0,2026-06-12,330.0,2,4.07
3707,2026-06-01,2026-06-02,83.2,2026-06-12,77.7,8,6.61
3714,2026-05-06,2026-05-07,73.7,2026-05-13,72.5,4,1.63
3714,2026-05-28,2026-05-29,73.8,2026-06-12,65.0,10,11.92
4991,2026-05-08,2026-05-11,629.0,2026-05-12,721.0,1,-14.63
4991,2026-05-29,2026-06-01,730.0,2026-06-12,577.0,9,20.96
5222,2026-05-13,2026-05-14,127.0,2026-05-25,130.0,7,-2.36
5864,2026-05-14,2026-05-15,31.05,2026-05-25,33.8,6,-8.86
6443,2026-05-15,2026-05-18,37.8,2026-05-20,41.0,2,-8.47
6548,2026-05-14,2026-05-15,50.2,2026-05-22,51.8,5,-3.19
8271,2026-05-13,2026-05-14,254.0,2026-05-15,254.5,1,-0.2
8299,2026-05-21,2026-05-22,2425.0,2026-06-01,2655.0,6,-9.48
