ticker,trade_date,score,hit_strategies
0055,2026-05-06,2,"M7,M9"
0055,2026-05-07,2,"M7,M9"
0055,2026-05-08,2,"M7,M9"
0061,2026-05-04,2,"M7,M9"
0061,2026-05-06,2,"M7,M9"
0061,2026-05-11,2,"M7,M9"
0061,2026-05-12,2,"M7,M9"
0061,2026-05-13,2,"M7,M9"
1109,2026-05-11,2,"M7,M9"
1216,2026-05-11,2,"M7,M9"
1216,2026-05-13,2,"M7,M9"
1216,2026-05-15,2,"M7,M9"
1268,2026-05-11,2,"M7,M9"
1268,2026-05-12,2,"M7,M9"
1307,2026-05-11,2,"M7,M9"
1325,2026-05-08,2,"M7,M9"
1325,2026-05-11,2,"M7,M9"
1341,2026-05-06,2,"M7,M9"
1341,2026-05-07,2,"M7,M9"
1341,2026-05-08,2,"M7,M9"
1402,2026-05-12,2,"M7,M9"
1402,2026-05-13,2,"M7,M9"
1402,2026-05-14,2,"M7,M9"
1418,2026-05-04,2,"M7,M9"
1419,2026-05-15,2,"M7,M9"
1447,2026-05-15,2,"M7,M9"
1459,2026-05-05,2,"M7,M9"
1459,2026-05-06,2,"M7,M9"
1460,2026-05-06,2,"M7,M9"
1460,2026-05-07,2,"M7,M9"
1477,2026-05-12,2,"M7,M9"
1477,2026-05-13,2,"M7,M9"
1513,2026-05-04,2,"M7,M9"
1513,2026-05-06,2,"M7,M9"
1513,2026-05-07,2,"M7,M9"
1513,2026-05-08,2,"M7,M9"
1513,2026-05-11,2,"M7,M9"
1515,2026-05-11,2,"M7,M9"
1521,2026-05-11,2,"M7,M9"
1522,2026-05-07,2,"M7,M9"
1537,2026-05-11,2,"M7,M9"
1537,2026-05-13,2,"M7,M9"
1563,2026-05-08,2,"M7,M9"
1563,2026-05-12,2,"M7,M9"
1563,2026-05-13,2,"M7,M9"
1598,2026-05-08,2,"M7,M9"
1609,2026-05-08,2,"M7,M9"
1612,2026-05-04,2,"M7,M9"
1612,2026-05-05,2,"M7,M9"
1612,2026-05-06,2,"M7,M9"
1612,2026-05-07,2,"M7,M9"
1612,2026-05-11,2,"M7,M9"
1726,2026-05-14,2,"M7,M9"
1730,2026-05-12,2,"M7,M9"
1732,2026-05-04,2,"M7,M9"
1732,2026-05-05,2,"M7,M9"
1732,2026-05-07,2,"M7,M9"
1732,2026-05-08,2,"M7,M9"
1732,2026-05-11,2,"M7,M9"
1776,2026-05-05,2,"M7,M9"
1776,2026-05-07,2,"M7,M9"
1817,2026-05-13,2,"M7,M9"
2008,2026-05-08,2,"M7,M9"
2015,2026-05-11,2,"M7,M9"
2023,2026-05-08,2,"M7,M9"
2027,2026-05-07,2,"M7,M9"
2027,2026-05-08,2,"M7,M9"
2027,2026-05-11,2,"M7,M9"
2069,2026-05-08,2,"M7,M9"
2069,2026-05-11,2,"M7,M9"
2107,2026-05-07,2,"M7,M9"
2108,2026-05-08,2,"M7,M9"
2204,2026-05-07,2,"M7,M9"
2206,2026-05-12,2,"M7,M9"
2208,2026-05-08,2,"M7,M9"
2250,2026-05-05,2,"M7,M9"
2353,2026-05-11,2,"M7,M9"
2362,2026-05-06,2,"M7,M9"
2362,2026-05-07,2,"M7,M9"
2362,2026-05-11,2,"M7,M9"
2364,2026-05-07,2,"M7,M9"
2364,2026-05-11,2,"M7,M9"
2385,2026-05-04,2,"M7,M9"
2385,2026-05-05,2,"M7,M9"
2385,2026-05-07,2,"M7,M9"
2385,2026-05-08,2,"M7,M9"
2385,2026-05-11,2,"M7,M9"
2412,2026-05-13,2,"M7,M9"
2412,2026-05-14,2,"M7,M9"
2412,2026-05-15,2,"M7,M9"
2414,2026-05-06,2,"M7,M9"
2414,2026-05-07,2,"M7,M9"
2414,2026-05-08,2,"M7,M9"
2434,2026-05-05,2,"M7,M9"
2480,2026-05-04,2,"M7,M9"
2480,2026-05-05,2,"M7,M9"
2488,2026-05-11,2,"M7,M9"
2498,2026-05-14,2,"M7,M9"
2545,2026-05-05,2,"M7,M9"
2545,2026-05-06,2,"M7,M9"
2545,2026-05-07,2,"M7,M9"
2603,2026-05-04,2,"M7,M9"
2603,2026-05-05,2,"M7,M9"
2603,2026-05-06,2,"M7,M9"
2603,2026-05-07,2,"M7,M9"
2603,2026-05-11,2,"M7,M9"
2603,2026-05-12,2,"M7,M9"
2610,2026-05-07,2,"M7,M9"
2610,2026-05-11,2,"M7,M9"
2615,2026-05-11,2,"M7,M9"
2618,2026-05-07,2,"M7,M9"
2618,2026-05-08,2,"M7,M9"
2618,2026-05-11,2,"M7,M9"
2636,2026-05-11,2,"M7,M9"
2641,2026-05-07,2,"M7,M9"
2727,2026-05-04,2,"M7,M9"
2727,2026-05-06,2,"M7,M9"
2727,2026-05-08,2,"M7,M9"
2727,2026-05-11,2,"M7,M9"
2727,2026-05-12,2,"M7,M9"
2727,2026-05-13,2,"M7,M9"
2727,2026-05-14,2,"M7,M9"
2754,2026-05-12,2,"M7,M9"
2762,2026-05-07,2,"M7,M9"
2762,2026-05-08,2,"M7,M9"
2762,2026-05-11,2,"M7,M9"
2762,2026-05-12,2,"M7,M9"
2762,2026-05-13,2,"M7,M9"
2852,2026-05-14,2,"M7,M9"
2881,2026-05-05,2,"M7,M9"
2881,2026-05-06,2,"M7,M9"
2881,2026-05-07,2,"M7,M9"
2881,2026-05-08,2,"M7,M9"
2882,2026-05-06,2,"M7,M9"
2882,2026-05-07,2,"M7,M9"
2882,2026-05-08,2,"M7,M9"
2886,2026-05-08,2,"M7,M9"
2891,2026-05-07,2,"M7,M9"
2891,2026-05-08,2,"M7,M9"
2892,2026-05-07,2,"M7,M9"
2892,2026-05-08,2,"M7,M9"
2892,2026-05-11,2,"M7,M9"
2901,2026-05-04,2,"M7,M9"
2908,2026-05-07,2,"M7,M9"
2908,2026-05-08,2,"M7,M9"
2908,2026-05-11,2,"M7,M9"
2916,2026-05-14,2,"M7,M9"
2916,2026-05-15,2,"M7,M9"
2940,2026-05-04,2,"M7,M9"
3005,2026-05-14,2,"M7,M9"
3029,2026-05-05,2,"M7,M9"
3032,2026-05-05,2,"M7,M9"
3032,2026-05-06,2,"M7,M9"
