ticker,signal_date,entry_date,exit_date,entry_price,exit_price,stop_loss,hold_days,return_pct,exit_reason,scanner
4741,2025-02-10,2025-02-11,2025-02-27,38.0137,36.3905,36.8076,12,-4.27,stop_loss,bbands_upper_break
9962,2025-02-10,2025-02-11,2025-02-12,16.2486,15.304,15.3805,1,-5.814,stop_loss,bbands_upper_break
2028,2025-02-10,2025-02-11,2025-02-12,22.3669,21.8343,22.3758,1,-2.381,stop_loss,bbands_upper_break
4967,2025-02-10,2025-02-11,2025-04-01,87.3613,77.9654,82.4271,34,-10.755,stop_loss,bbands_upper_break
8109,2025-02-10,2025-02-11,2025-03-07,96.7895,93.718,94.6949,17,-3.173,stop_loss,bbands_upper_break
2364,2025-02-11,2025-02-12,2025-03-31,92.276,79.76,84.3535,32,-13.564,stop_loss,bbands_upper_break
4728,2025-02-11,2025-02-12,2025-05-13,294.882,423.725,285.8441,61,43.693,max_hold,bbands_upper_break
3528,2025-02-11,2025-02-12,2025-05-13,53.8611,91.724,52.1526,61,70.297,max_hold,bbands_upper_break
4581,2025-02-11,2025-02-12,2025-04-08,58.6755,49.85,54.4908,36,-15.041,stop_loss,bbands_upper_break
6221,2025-02-11,2025-02-12,2025-03-10,75.0244,72.1828,73.0778,17,-3.788,stop_loss,bbands_upper_break
3669,2025-02-12,2025-02-13,2025-02-17,44.6335,43.22,43.3159,2,-3.167,stop_loss,bbands_upper_break
1725,2025-02-12,2025-02-13,2025-03-17,37.7128,35.7923,35.4838,21,-5.092,stop_loss,bbands_upper_break
2606,2025-02-12,2025-02-13,2025-04-08,61.6845,52.4422,60.0447,35,-14.983,stop_loss,bbands_upper_break
6241,2025-02-12,2025-02-13,2025-02-17,15.6468,15.8523,15.9231,2,1.313,stop_loss,bbands_upper_break
8101,2025-02-12,2025-02-13,2025-02-17,21.414,19.5412,19.8711,2,-8.746,stop_loss,bbands_upper_break
2013,2025-02-13,2025-02-14,2025-03-13,52.9584,51.4452,51.8451,18,-2.857,stop_loss,bbands_upper_break
8110,2025-02-13,2025-02-14,2025-03-31,14.5435,13.5592,14.03,30,-6.768,stop_loss,bbands_upper_break
7794,2025-02-13,2025-02-14,2025-03-07,52.2764,48.0554,49.2645,9,-8.074,stop_loss,bbands_upper_break
2248,2025-02-13,2025-02-14,2025-02-18,72.1558,70.8867,71.0227,2,-1.759,stop_loss,bbands_upper_break
6643,2025-02-13,2025-02-14,2025-03-05,767.295,720.831,741.4301,12,-6.056,stop_loss,bbands_upper_break
4555,2025-02-14,2025-02-17,2025-02-21,45.135,42.2728,42.7599,4,-6.341,stop_loss,bbands_upper_break
7736,2025-02-14,2025-02-17,2025-03-19,125.2647,118.643,124.4891,21,-5.286,stop_loss,bbands_upper_break
4128,2025-02-14,2025-02-17,2025-02-19,34.453,33.2001,33.5945,2,-3.637,stop_loss,bbands_upper_break
8072,2025-02-14,2025-02-17,2025-02-25,26.078,25.2241,25.5277,6,-3.274,stop_loss,bbands_upper_break
1540,2025-02-14,2025-02-17,2025-02-21,35.3557,34.7953,34.6488,4,-1.585,stop_loss,bbands_upper_break
3652,2025-02-17,2025-02-18,2025-02-19,39.8692,39.1821,38.9691,1,-1.724,stop_loss,bbands_upper_break
2425,2025-02-17,2025-02-18,2025-03-10,37.2614,36.0914,36.3578,13,-3.14,stop_loss,bbands_upper_break
6242,2025-02-17,2025-02-18,2025-04-01,50.0497,42.871,44.0563,29,-14.343,stop_loss,bbands_upper_break
3467,2025-02-17,2025-02-18,2025-02-20,52.9785,52.5618,53.0684,2,-0.786,stop_loss,bbands_upper_break
3570,2025-02-17,2025-02-18,2025-03-03,192.0745,175.9705,183.9961,8,-8.384,stop_loss,bbands_upper_break
4406,2025-02-18,2025-02-19,2025-02-24,11.7351,11.0168,11.1979,3,-6.121,stop_loss,bbands_upper_break
1459,2025-02-18,2025-02-19,2025-05-20,11.5846,12.0139,9.9626,61,3.705,max_hold,bbands_upper_break
6509,2025-02-18,2025-02-19,2025-02-25,40.471,38.9328,39.337,4,-3.801,stop_loss,bbands_upper_break
2415,2025-02-18,2025-02-19,2025-02-21,31.2936,30.7574,30.957,2,-1.713,stop_loss,bbands_upper_break
4721,2025-02-18,2025-02-19,2025-03-04,72.3163,66.5996,67.5628,8,-7.905,stop_loss,bbands_upper_break
6124,2025-02-19,2025-02-20,2025-02-21,33.7008,31.7544,31.9755,1,-5.775,stop_loss,bbands_upper_break
3615,2025-02-19,2025-02-20,2025-02-25,29.5885,28.1154,28.4832,3,-4.979,stop_loss,bbands_upper_break
3149,2025-02-19,2025-02-20,2025-03-31,36.3587,31.256,33.6928,26,-14.035,stop_loss,bbands_upper_break
8923,2025-02-19,2025-02-20,2025-02-21,20.7119,19.7406,20.4526,1,-4.69,stop_loss,bbands_upper_break
8277,2025-02-19,2025-02-20,2025-02-24,13.2897,12.7616,13.0264,2,-3.974,stop_loss,bbands_upper_break
7805,2025-02-20,2025-02-21,2025-02-25,685.6107,651.2404,670.0954,2,-5.013,stop_loss,bbands_upper_break
2061,2025-02-20,2025-02-21,2025-04-08,19.8594,16.3508,18.9145,29,-17.667,stop_loss,bbands_upper_break
4503,2025-02-20,2025-02-21,2025-03-03,61.183,57.7263,58.8051,5,-5.65,stop_loss,bbands_upper_break
6581,2025-02-20,2025-02-21,2025-04-01,111.333,108.1745,108.9833,26,-2.837,stop_loss,bbands_upper_break
1445,2025-02-20,2025-02-21,2025-03-03,17.5525,17.0487,17.1562,5,-2.87,stop_loss,bbands_upper_break
3685,2025-02-21,2025-02-24,2025-03-11,15.1453,14.4066,14.8965,10,-4.877,stop_loss,bbands_upper_break
1232,2025-02-21,2025-02-24,2025-04-01,152.9575,149.55,150.5065,25,-2.228,stop_loss,bbands_upper_break
3483,2025-02-21,2025-02-24,2025-02-26,150.45,151.544,151.6517,2,0.727,stop_loss,bbands_upper_break
3313,2025-02-21,2025-02-24,2025-02-25,16.5495,16.2013,16.3386,1,-2.104,stop_loss,bbands_upper_break
