scanner,ticker,entry_date,consensus_score,return_pct,hold_days
A 大波段,1734,2025-05-07,1,-4.947,91
A 大波段,2801,2025-05-07,1,8.661,121
A 大波段,2836,2025-05-07,1,4.478,121
A 大波段,4104,2025-05-07,1,-1.615,4
A 大波段,4105,2025-05-07,2,3.04,121
A 大波段,2812,2025-05-08,1,6.291,121
A 大波段,5880,2025-05-08,1,-3.404,17
A 大波段,2480,2025-05-09,2,0.343,121
A 大波段,3027,2025-05-09,1,-19.493,47
A 大波段,6196,2025-05-09,1,49.559,121
A 大波段,6257,2025-05-09,1,45.687,121
A 大波段,1608,2025-05-09,1,-7.46,16
A 大波段,2838,2025-05-12,1,6.218,121
A 大波段,2884,2025-05-12,1,0.569,121
A 大波段,2412,2025-05-12,2,-2.495,42
A 大波段,2603,2025-05-12,2,-3.61,30
A 大波段,2609,2025-05-12,3,-12.068,42
A 大波段,2337,2025-05-13,1,-6.003,50
A 大波段,2344,2025-05-13,2,209.831,121
A 大波段,2886,2025-05-16,1,-0.598,121
A 大波段,2891,2025-05-16,2,1.46,121
A 大波段,3090,2025-05-20,2,-11.075,34
A 大波段,8016,2025-05-20,2,-6.133,19
A 大波段,2890,2025-05-26,1,12.064,121
A 大波段,4114,2025-05-26,1,-4.511,116
A 大波段,4129,2025-05-26,2,16.216,121
A 大波段,5312,2025-05-26,2,-16.028,25
A 大波段,5469,2025-05-26,1,50.992,121
A 大波段,2832,2025-05-27,2,-3.8,3
A 大波段,1219,2025-05-27,1,-4.069,4
A 大波段,1232,2025-05-27,1,-5.766,11
A 大波段,1234,2025-05-27,1,-2.849,4
A 大波段,6782,2025-05-29,3,-7.755,11
A 大波段,4167,2025-06-13,2,-2.06,1
A 大波段,6919,2025-06-13,1,-85.686,22
A 大波段,2882,2025-06-16,3,-9.135,11
A 大波段,6197,2025-06-17,1,-1.652,1
A 大波段,2208,2025-06-18,3,-10.991,19
A 大波段,2607,2025-06-18,1,-4.132,3
A 大波段,2633,2025-06-18,1,-5.218,20
A 大波段,3702,2025-06-19,4,-2.873,1
A 大波段,6257,2025-06-19,2,-5.519,14
A 大波段,2892,2025-06-19,2,-4.28,114
