主策略,過濾,n,base_EV,with_EV,improve,base_Hit,with_Hit
A 大波段,F 當沖,18,11.765258241758241,52.95694444444445,41.19168620268621,28.846153846153843,66.66666666666666
I 投信跟單,F 當沖,28,14.919833333333337,42.64089285714285,27.721059523809515,36.0,53.57142857142857
M+ 收低開高,A 大波段,15,2.3762910798122068,19.931600000000003,17.555308920187798,22.937625754527165,40.0
H 窒息量,I 投信跟單,21,2.8258259408602147,20.30638095238095,17.480555011520735,19.959677419354836,42.857142857142854
I 投信跟單,A 大波段,16,14.919833333333337,31.7919375,16.872104166666663,36.0,50.0
A 大波段,M+ 收低開高,13,11.765258241758241,27.08238461538462,15.317126373626378,28.846153846153843,38.46153846153847
A 大波段,H 窒息量,30,11.765258241758241,25.783366666666666,14.018108424908425,28.846153846153843,36.666666666666664
B 旗形,I 投信跟單,30,2.4724459644322847,15.093033333333334,12.620587368901049,20.588235294117645,26.666666666666668
A 大波段,C 反轉形態,22,11.765258241758241,24.134045454545454,12.368787212787213,28.846153846153843,50.0
H 窒息量,A 大波段,25,2.8258259408602147,14.736480000000002,11.910654059139787,19.959677419354836,32.0
A 大波段,B 旗形,58,11.765258241758241,23.18746551724138,11.42220727548314,28.846153846153843,36.206896551724135
C 反轉形態,D 布林上軌,42,3.010404635761589,13.851880952380952,10.841476316619364,20.4635761589404,38.095238095238095
E 布林回測,F 當沖,19,-0.37601993355481705,9.552105263157893,9.92812519671271,18.87043189368771,15.789473684210526
C 反轉形態,F 當沖,64,3.010404635761589,12.400562500000001,9.390157864238413,20.4635761589404,29.6875
D 布林上軌,A 大波段,12,1.8470156143923964,10.579166666666667,8.732151052274272,18.805159538357096,25.0
E 布林回測,H 窒息量,74,-0.37601993355481705,8.118202702702703,8.49422263625752,18.87043189368771,28.37837837837838
A 大波段,I 投信跟單,13,11.765258241758241,20.215461538461543,8.450203296703302,28.846153846153843,38.46153846153847
B 旗形,A 大波段,39,2.4724459644322847,10.254717948717948,7.782271984285663,20.588235294117645,25.64102564102564
M+ 收低開高,C 反轉形態,95,2.3762910798122068,7.795168421052633,5.418877341240426,22.937625754527165,29.47368421052631
E 布林回測,M+ 收低開高,77,-0.37601993355481705,4.993363636363636,5.369383569918453,18.87043189368771,28.57142857142857
B 旗形,C 反轉形態,140,2.4724459644322847,7.587307142857142,5.114861178424857,20.588235294117645,26.42857142857143
H 窒息量,F 當沖,148,2.8258259408602147,7.7807972972973,4.954971356437086,19.959677419354836,23.64864864864865
C 反轉形態,H 窒息量,173,3.010404635761589,7.886635838150289,4.8762312023887,20.4635761589404,21.965317919075144
M+ 收低開高,F 當沖,45,2.3762910798122068,6.966488888888888,4.590197809076681,22.937625754527165,28.888888888888886
D 布林上軌,C 反轉形態,79,1.8470156143923964,6.200215189873419,4.353199575481023,18.805159538357096,26.582278481012654
C 反轉形態,M+ 收低開高,123,3.010404635761589,7.350878048780487,4.340473413018898,20.4635761589404,25.203252032520325
D 布林上軌,M+ 收低開高,68,1.8470156143923964,5.820970588235294,3.973954973842898,18.805159538357096,29.411764705882355
B 旗形,D 布林上軌,126,2.4724459644322847,6.11975396825397,3.647308003821685,20.588235294117645,22.22222222222222
D 布林上軌,H 窒息量,55,1.8470156143923964,4.719109090909093,2.8720934765166968,18.805159538357096,21.818181818181817
M+ 收低開高,D 布林上軌,102,2.3762910798122068,5.201803921568627,2.82551284175642,22.937625754527165,21.568627450980394
C 反轉形態,B 旗形,84,3.010404635761589,5.784,2.773595364238411,20.4635761589404,28.57142857142857
H 窒息量,C 反轉形態,152,2.8258259408602147,5.424322368421052,2.5984964275608373,19.959677419354836,27.631578947368425
H 窒息量,B 旗形,144,2.8258259408602147,5.407527777777778,2.5817018369175635,19.959677419354836,25.0
H 窒息量,M+ 收低開高,79,2.8258259408602147,5.274101265822788,2.448275324962573,19.959677419354836,22.78481012658228
I 投信跟單,C 反轉形態,19,14.919833333333337,16.74457894736842,1.8247456140350842,36.0,47.368421052631575
C 反轉形態,A 大波段,10,3.010404635761589,4.4078,1.397395364238411,20.4635761589404,50.0
B 旗形,F 當沖,107,2.4724459644322847,3.6829813084112146,1.21053534397893,20.588235294117645,25.233644859813083
B 旗形,M+ 收低開高,78,2.4724459644322847,3.5284358974358963,1.0559899330036115,20.588235294117645,23.076923076923077
F 當沖,J 投信首買,20,0.5169539170506912,1.3536000000000004,0.8366460829493092,54.53149001536099,75.0
D 布林上軌,E 布林回測,66,1.8470156143923964,2.6146969696969693,0.7676813553045729,18.805159538357096,27.27272727272727
M+ 收低開高,H 窒息量,128,2.3762910798122068,3.0957031249999996,0.7194120451877928,22.937625754527165,25.78125
F 當沖,I 投信跟單,73,0.5169539170506912,0.867013698630137,0.35005978157944584,54.53149001536099,60.273972602739725
F 當沖,B 旗形,235,0.5169539170506912,0.8514893617021277,0.3345354446514366,54.53149001536099,55.319148936170215
F 當沖,M+ 收低開高,98,0.5169539170506912,0.8345408163265308,0.3175868992758396,54.53149001536099,61.224489795918366
F 當沖,A 大波段,59,0.5169539170506912,0.801542372881356,0.28458845583066483,54.53149001536099,62.71186440677966
E 布林回測,D 布林上軌,47,-0.37601993355481705,-0.21146808510638343,0.16455184844843362,18.87043189368771,19.148936170212767
F 當沖,H 窒息量,268,0.5169539170506912,0.6514552238805971,0.1345013068299059,54.53149001536099,58.582089552238806
F 當沖,C 反轉形態,229,0.5169539170506912,0.5548689956331878,0.03791507858249665,54.53149001536099,54.14847161572053
H 窒息量,D 布林上軌,159,2.8258259408602147,2.83756603773585,0.011740096875635153,19.959677419354836,17.61006289308176
G 隔日沖,B 旗形,11,0.7221995192307692,0.7171818181818184,-0.005017701048950829,53.605769230769226,54.54545454545454
F 當沖,G 隔日沖,33,0.5169539170506912,0.47954545454545455,-0.037408462505236606,54.53149001536099,60.60606060606061
F 當沖,E 布林回測,98,0.5169539170506912,0.2489489795918367,-0.26800493745885445,54.53149001536099,51.02040816326531
I 投信跟單,H 窒息量,20,14.919833333333337,14.538550000000004,-0.3812833333333323,36.0,45.0
B 旗形,E 布林回測,109,2.4724459644322847,1.9806513761467892,-0.4917945882854955,20.588235294117645,17.431192660550458
F 當沖,D 布林上軌,94,0.5169539170506912,-0.02969148936170212,-0.5466454064123932,54.53149001536099,46.808510638297875
E 布林回測,B 旗形,43,-0.37601993355481705,-1.0033023255813946,-0.6272823920265775,18.87043189368771,13.953488372093023
G 隔日沖,H 窒息量,16,0.7221995192307692,-0.14387500000000003,-0.8660745192307693,53.605769230769226,43.75
B 旗形,G 隔日沖,60,2.4724459644322847,1.1681333333333337,-1.304312631098951,20.588235294117645,16.666666666666664
E 布林回測,C 反轉形態,49,-0.37601993355481705,-1.8898571428571425,-1.5138372093023253,18.87043189368771,22.448979591836736
M+ 收低開高,B 旗形,83,2.3762910798122068,0.8041927710843368,-1.57209830872787,22.937625754527165,18.072289156626507
C 反轉形態,E 布林回測,115,3.010404635761589,1.4139739130434779,-1.5964307227181112,20.4635761589404,21.73913043478261
I 投信跟單,B 旗形,31,14.919833333333337,13.18051612903226,-1.7393172043010772,36.0,29.03225806451613
B 旗形,H 窒息量,111,2.4724459644322847,0.6162162162162159,-1.8562297482160688,20.588235294117645,20.72072072072072
M+ 收低開高,E 布林回測,93,2.3762910798122068,0.4918924731182799,-1.884398606693927,22.937625754527165,18.27956989247312
M+ 收低開高,G 隔日沖,13,2.3762910798122068,-0.4696923076923081,-2.845983387504515,22.937625754527165,23.076923076923077
E 布林回測,G 隔日沖,79,-0.37601993355481705,-3.326253164556962,-2.9502332310021453,18.87043189368771,15.18987341772152
H 窒息量,E 布林回測,143,2.8258259408602147,-0.5970629370629371,-3.422888877923152,19.959677419354836,15.384615384615385
D 布林上軌,G 隔日沖,117,1.8470156143923964,-1.7310256410256408,-3.578041255418037,18.805159538357096,9.401709401709402
C 反轉形態,I 投信跟單,13,3.010404635761589,-0.9013846153846157,-3.911789251146205,20.4635761589404,15.384615384615385
H 窒息量,G 隔日沖,63,2.8258259408602147,-2.4647460317460324,-5.290571972606247,19.959677419354836,4.761904761904762
