ticker,signal_date,entry_date,exit_date,entry_price,exit_price,stop_loss,hold_days,return_pct,exit_reason,scanner
1309,2025-02-25,2025-02-26,2025-03-14,14.8444,14.1076,14.02,11,-4.964,stop_loss,institutional_firstbuy
1409,2025-10-01,2025-10-02,2025-10-07,14.4933,14.1574,14.26,2,-2.318,stop_loss,institutional_firstbuy
1532,2025-04-30,2025-05-02,2025-06-04,26.8804,25.7725,25.775,22,-4.122,stop_loss,institutional_firstbuy
1582,2026-05-11,2026-05-12,2026-05-13,91.273,89.5306,90.36,1,-1.909,stop_loss,institutional_firstbuy
1584,2025-04-09,2025-04-10,2025-04-11,27.3819,26.919,29.275,1,-1.691,stop_loss,institutional_firstbuy
1711,2026-04-07,2026-04-08,2026-04-09,34.2023,34.7953,37.985,1,1.734,stop_loss,institutional_firstbuy
1786,2025-07-24,2025-07-25,2025-08-06,122.366,98.6033,108.05,8,-19.419,stop_loss,institutional_firstbuy
1806,2025-06-25,2025-06-26,2025-07-04,11.7351,10.967,11.22,6,-6.545,stop_loss,institutional_firstbuy
2031,2025-08-12,2025-08-13,2025-09-12,43.3296,41.3257,41.56,22,-4.625,stop_loss,institutional_firstbuy
2034,2025-02-25,2025-02-26,2025-03-26,28.2846,25.0247,25.335,19,-11.525,stop_loss,institutional_firstbuy
2103,2025-07-16,2025-07-17,2025-08-29,16.9507,17.0487,17.095,31,0.578,stop_loss,institutional_firstbuy
2228,2025-09-23,2025-09-24,2025-09-25,113.8405,112.1625,110.85,1,-1.474,stop_loss,institutional_firstbuy
2231,2025-09-01,2025-09-02,2025-11-19,114.8435,94.0171,94.67,52,-18.135,stop_loss,institutional_firstbuy
2351,2025-03-26,2025-03-27,2025-03-28,93.5799,91.5246,92.24,1,-2.196,stop_loss,institutional_firstbuy
2355,2025-04-30,2025-05-02,2025-06-23,32.8482,30.4584,30.84,35,-7.276,stop_loss,institutional_firstbuy
2466,2025-04-18,2025-04-21,2025-05-06,107.8225,83.748,87.91,10,-22.328,stop_loss,institutional_firstbuy
2481,2025-02-20,2025-02-21,2025-04-01,55.0647,50.9467,50.67,26,-7.478,stop_loss,institutional_firstbuy
2485,2026-04-07,2026-04-08,2026-04-09,77.4316,73.1798,78.46,1,-5.491,stop_loss,institutional_firstbuy
2486,2026-01-26,2026-01-27,2026-05-06,122.366,287.136,96.12,61,134.653,max_hold,institutional_firstbuy
2605,2025-04-18,2025-04-21,2025-07-14,22.8684,21.1364,21.685,58,-7.574,stop_loss,institutional_firstbuy
2852,2025-04-18,2025-04-21,2025-06-03,28.4852,27.2181,27.215,29,-4.448,stop_loss,institutional_firstbuy
3026,2026-05-05,2026-05-06,2026-05-19,273.819,363.905,231.75,10,32.9,max_hold,institutional_firstbuy
3209,2025-07-01,2025-07-02,2025-07-07,37.7629,37.238,37.5,3,-1.39,stop_loss,institutional_firstbuy
3605,2025-03-13,2025-03-14,2025-03-17,60.18,58.6236,59.22,1,-2.586,stop_loss,institutional_firstbuy
3624,2026-05-13,2026-05-14,2026-05-19,73.1187,90.9264,57.85,4,24.355,max_hold,institutional_firstbuy
3707,2025-09-16,2025-09-17,2025-11-05,64.4929,53.1401,55.895,31,-17.603,stop_loss,institutional_firstbuy
4541,2025-05-19,2025-05-20,2025-05-21,53.6605,52.1431,52.63,1,-2.828,stop_loss,institutional_firstbuy
4541,2025-08-27,2025-08-28,2025-10-15,52.156,46.4103,46.72,31,-11.016,stop_loss,institutional_firstbuy
4720,2025-07-01,2025-07-02,2025-07-10,16.4993,14.8553,15.985,6,-9.964,stop_loss,institutional_firstbuy
4746,2026-05-05,2026-05-06,2026-05-14,55.4659,52.7413,53.78,6,-4.912,stop_loss,institutional_firstbuy
4906,2025-06-27,2025-06-30,2025-07-04,26.6798,25.0746,25.73,4,-6.017,stop_loss,institutional_firstbuy
4908,2026-05-06,2026-05-07,2026-05-19,238.2125,230.8055,203.2,9,-3.109,max_hold,institutional_firstbuy
4931,2025-04-30,2025-05-02,2025-07-28,86.8598,116.649,75.27,61,34.296,max_hold,institutional_firstbuy
5314,2025-09-25,2025-09-26,2025-10-09,141.9245,127.616,123.25,7,-10.082,stop_loss,institutional_firstbuy
6190,2025-08-07,2025-08-08,2025-09-18,45.7368,40.5779,40.7,29,-11.28,stop_loss,institutional_firstbuy
6213,2025-05-19,2025-05-20,2025-08-13,76.228,100.1985,72.8,61,31.446,max_hold,institutional_firstbuy
6279,2025-08-12,2025-08-13,2025-09-04,146.438,137.0875,138.35,16,-6.385,stop_loss,institutional_firstbuy
6525,2026-05-05,2026-05-06,2026-05-19,106.318,109.67,93.54,10,3.153,max_hold,institutional_firstbuy
6913,2025-09-01,2025-09-02,2025-11-11,150.45,120.1385,123.35,46,-20.147,stop_loss,institutional_firstbuy
8039,2025-04-29,2025-04-30,2025-05-06,44.8842,41.4752,41.865,3,-7.595,stop_loss,institutional_firstbuy
8155,2025-08-15,2025-08-18,2025-11-14,155.9665,162.0125,135.2,61,3.876,max_hold,institutional_firstbuy
8215,2025-05-19,2025-05-20,2025-06-03,25.3759,23.6788,24.025,9,-6.688,stop_loss,institutional_firstbuy
8358,2025-07-10,2025-07-11,2025-10-07,71.6142,255.7305,59.39,61,257.095,max_hold,institutional_firstbuy
8936,2026-05-05,2026-05-06,2026-05-12,52.7578,50.4482,50.605,4,-4.378,stop_loss,institutional_firstbuy
