ticker,signal_date,entry_date,exit_date,entry_price,exit_price,stop_loss,hold_days,return_pct,exit_reason,scanner
8940,2025-02-07,2025-02-10,2025-03-10,26.3789,22.5322,23.35,19,-14.582,stop_loss,open_signal_entry
2070,2025-02-07,2025-02-10,2025-03-11,71.1127,61.4152,65.0,20,-13.637,stop_loss,open_signal_entry
3029,2025-02-07,2025-02-10,2025-03-26,152.9575,134.0965,135.0,31,-12.331,stop_loss,open_signal_entry
6771,2025-02-07,2025-02-10,2025-04-08,57.171,50.5479,55.3,38,-11.585,stop_loss,open_signal_entry
6919,2025-02-07,2025-02-10,2025-04-02,877.625,753.732,750.0,36,-14.117,stop_loss,open_signal_entry
6423,2025-02-10,2025-02-11,2025-03-05,105.315,98.2045,98.6,15,-6.752,stop_loss,open_signal_entry
6577,2025-02-10,2025-02-11,2025-04-08,101.8045,78.763,92.7,37,-22.633,stop_loss,open_signal_entry
3158,2025-02-10,2025-02-11,2025-04-08,140.1492,128.3039,138.0,37,-8.452,stop_loss,open_signal_entry
4551,2025-02-10,2025-02-11,2025-03-31,109.8285,100.1985,106.0,33,-8.768,stop_loss,open_signal_entry
5227,2025-02-10,2025-02-11,2025-03-03,40.9224,38.1352,39.05,13,-6.811,stop_loss,open_signal_entry
6221,2025-02-11,2025-02-12,2025-03-14,75.0244,65.6026,67.7,21,-12.558,stop_loss,open_signal_entry
6649,2025-02-11,2025-02-12,2025-02-13,39.2674,35.3935,38.0,1,-9.866,stop_loss,open_signal_entry
3528,2025-02-11,2025-02-12,2025-05-13,53.8611,91.724,50.8,61,70.297,max_hold,open_signal_entry
2236,2025-02-11,2025-02-12,2025-03-10,122.366,112.661,116.5,17,-7.931,stop_loss,open_signal_entry
6667,2025-02-11,2025-02-12,2025-04-10,176.0265,165.0035,166.0,38,-6.262,stop_loss,open_signal_entry
6510,2025-02-12,2025-02-13,2025-02-21,833.493,773.672,784.0,6,-7.177,stop_loss,open_signal_entry
6120,2025-02-12,2025-02-13,2025-04-01,13.8916,11.8643,12.4,32,-14.593,stop_loss,open_signal_entry
2417,2025-02-12,2025-02-13,2025-03-04,57.2713,47.856,50.0,12,-16.44,stop_loss,open_signal_entry
4131,2025-02-12,2025-02-13,2025-02-14,32.5975,32.1034,32.6,1,-1.516,stop_loss,open_signal_entry
6680,2025-02-12,2025-02-13,2025-02-14,91.6742,88.733,90.0,1,-3.208,stop_loss,open_signal_entry
6415,2025-02-13,2025-02-14,2025-04-10,397.188,351.4425,354.0,36,-11.517,stop_loss,open_signal_entry
6165,2025-02-13,2025-02-14,2025-03-03,47.141,43.868,44.6,10,-6.943,stop_loss,open_signal_entry
6292,2025-02-13,2025-02-14,2025-04-08,55.0647,47.4572,53.9,34,-13.816,stop_loss,open_signal_entry
6996,2025-02-13,2025-02-14,2025-03-11,215.645,208.373,214.0,16,-3.372,stop_loss,open_signal_entry
6210,2025-02-13,2025-02-14,2025-04-08,20.06,17.0986,19.05,34,-14.763,stop_loss,open_signal_entry
8937,2025-02-14,2025-02-17,2025-04-08,185.0535,141.0755,160.0,33,-23.765,stop_loss,open_signal_entry
4943,2025-02-14,2025-02-17,2025-03-14,17.5525,16.0018,16.8,18,-8.834,stop_loss,open_signal_entry
6925,2025-02-14,2025-02-17,2025-02-26,70.1097,66.6494,66.7,7,-4.935,stop_loss,open_signal_entry
6612,2025-02-14,2025-02-17,2025-02-19,129.8885,124.625,128.0,2,-4.052,stop_loss,open_signal_entry
8088,2025-02-14,2025-02-17,2025-02-18,23.4702,22.931,22.85,1,-2.297,stop_loss,open_signal_entry
8477,2025-02-17,2025-02-18,2025-05-19,11.7852,12.5622,11.4,61,6.593,max_hold,open_signal_entry
3379,2025-02-17,2025-02-18,2025-04-08,63.6905,45.2638,52.6,32,-28.932,stop_loss,open_signal_entry
4995,2025-02-17,2025-02-18,2025-02-24,74.222,72.6813,72.1,4,-2.076,stop_loss,open_signal_entry
6426,2025-02-17,2025-02-18,2025-02-19,84.7535,82.3522,84.0,1,-2.833,stop_loss,open_signal_entry
1786,2025-02-17,2025-02-18,2025-04-01,123.369,108.1745,117.0,29,-12.316,stop_loss,open_signal_entry
2368,2025-02-18,2025-02-19,2025-02-26,236.2065,214.8535,223.5,5,-9.04,stop_loss,open_signal_entry
8488,2025-02-18,2025-02-19,2025-03-05,14.042,13.958,13.7,6,-0.598,stop_loss,open_signal_entry
3122,2025-02-18,2025-02-19,2025-03-20,31.444,30.4085,30.5,20,-3.293,stop_loss,open_signal_entry
4584,2025-02-18,2025-02-19,2025-04-09,62.186,57.4272,61.5,25,-7.653,stop_loss,open_signal_entry
3035,2025-02-18,2025-02-19,2025-02-21,259.2755,243.7665,249.0,2,-5.982,stop_loss,open_signal_entry
6242,2025-02-19,2025-02-20,2025-03-04,47.9936,44.8152,44.9,7,-6.623,stop_loss,open_signal_entry
6782,2025-02-19,2025-02-20,2025-03-03,195.0835,179.46,184.0,6,-8.009,stop_loss,open_signal_entry
1319,2025-02-19,2025-02-20,2025-05-21,111.8345,135.592,110.5,61,21.243,max_hold,open_signal_entry
6419,2025-02-19,2025-02-20,2025-02-26,112.336,105.1835,107.5,4,-6.367,stop_loss,open_signal_entry
3115,2025-02-19,2025-02-20,2025-03-11,12.2867,11.0667,11.75,12,-9.93,stop_loss,open_signal_entry
8067,2025-02-20,2025-02-21,2025-03-03,17.3017,16.5004,16.9,4,-4.632,stop_loss,open_signal_entry
3022,2025-02-20,2025-02-21,2025-04-09,93.8808,67.8957,82.8,30,-27.679,stop_loss,open_signal_entry
6558,2025-02-20,2025-02-21,2025-02-24,60.6815,58.5239,62.5,1,-3.556,stop_loss,open_signal_entry
3479,2025-02-20,2025-02-21,2025-03-03,116.348,107.1775,110.5,5,-7.882,stop_loss,open_signal_entry
1449,2025-02-20,2025-02-21,2025-02-27,19.1573,19.0926,19.15,4,-0.338,stop_loss,open_signal_entry
3629,2025-02-21,2025-02-24,2025-02-25,20.1101,19.94,20.05,1,-0.846,stop_loss,open_signal_entry
1213,2025-02-21,2025-02-24,2025-03-18,15.396,14.2571,15.05,15,-7.398,stop_loss,open_signal_entry
3013,2025-02-21,2025-02-24,2025-03-03,146.9395,137.0875,144.0,4,-6.705,stop_loss,open_signal_entry
3455,2025-02-21,2025-02-24,2025-03-03,116.348,108.673,115.0,4,-6.597,stop_loss,open_signal_entry
3685,2025-02-21,2025-02-24,2025-04-01,15.1453,13.7586,13.9,25,-9.156,stop_loss,open_signal_entry
2461,2025-02-24,2025-02-25,2025-02-26,20.7119,20.5382,20.7,1,-0.839,stop_loss,open_signal_entry
4147,2025-02-24,2025-02-25,2025-03-03,100.3,95.712,97.5,3,-4.574,stop_loss,open_signal_entry
6492,2025-02-24,2025-02-25,2025-03-04,45.9876,43.9677,45.3,4,-4.392,stop_loss,open_signal_entry
5210,2025-02-24,2025-02-25,2025-03-03,26.3287,25.9718,26.05,3,-1.356,stop_loss,open_signal_entry
5489,2025-02-24,2025-02-26,2025-03-31,38.9666,38.534,39.1,22,-1.11,stop_loss,open_signal_entry
7810,2025-02-25,2025-02-26,2025-03-12,86.609,82.8507,84.0,9,-4.339,stop_loss,open_signal_entry
5310,2025-02-25,2025-02-26,2025-02-27,47.6425,48.2548,47.9,1,1.285,stop_loss,open_signal_entry
6674,2025-02-25,2025-02-26,2025-02-27,24.072,23.5292,24.0,1,-2.255,stop_loss,open_signal_entry
1732,2025-02-25,2025-02-26,2025-02-27,29.0368,28.564,29.1,1,-1.628,stop_loss,open_signal_entry
6617,2025-02-25,2025-02-26,2025-02-27,116.8495,113.658,115.5,1,-2.731,stop_loss,open_signal_entry
2731,2025-02-26,2025-02-27,2025-04-01,136.408,125.1235,128.5,22,-8.273,stop_loss,open_signal_entry
6538,2025-02-26,2025-02-27,2025-03-03,115.345,110.1685,114.0,1,-4.488,stop_loss,open_signal_entry
5530,2025-02-26,2025-02-27,2025-05-28,63.189,61.814,62.2,60,-2.176,stop_loss,open_signal_entry
8426,2025-02-26,2025-02-27,2025-03-12,43.129,44.6158,42.6,8,3.447,stop_loss,open_signal_entry
2613,2025-02-26,2025-02-27,2025-03-03,33.9516,33.0506,33.65,1,-2.654,stop_loss,open_signal_entry
8489,2025-02-27,2025-03-03,2025-03-04,31.6446,31.4554,31.95,1,-0.598,stop_loss,open_signal_entry
3679,2025-02-27,2025-03-03,2025-03-04,155.9665,150.547,158.0,1,-3.475,stop_loss,open_signal_entry
6438,2025-02-27,2025-03-03,2025-03-04,190.57,185.9405,195.0,1,-2.429,stop_loss,open_signal_entry
8299,2025-02-27,2025-03-03,2025-03-05,553.656,549.347,551.0,2,-0.778,stop_loss,open_signal_entry
2401,2025-02-27,2025-03-03,2025-03-04,28.7861,27.6668,29.6,1,-3.889,stop_loss,open_signal_entry
