ticker,signal_date,entry_date,exit_date,entry_price,exit_price,stop_loss,hold_days,return_pct,exit_reason,scanner
0050,2026-04-10,2026-04-13,2026-05-19,80.8418,92.8207,77.67,26,14.818,max_hold,pennant_flag
0051,2026-01-20,2026-01-21,2026-04-29,102.958,125.1734,100.95,61,21.577,max_hold,pennant_flag
0051,2026-03-18,2026-03-19,2026-03-24,113.2888,110.2184,110.45,3,-2.71,stop_loss,pennant_flag
0052,2026-04-10,2026-04-13,2026-05-19,48.0236,54.6356,46.03,26,13.768,max_hold,pennant_flag
0053,2026-02-26,2026-03-02,2026-03-04,177.531,166.1002,174.74,2,-6.439,stop_loss,pennant_flag
0053,2026-05-06,2026-05-07,2026-05-19,226.6278,211.6132,214.16,9,-6.625,stop_loss_eod,pennant_flag
0055,2026-02-11,2026-02-23,2026-03-05,33.7008,32.9409,32.778,7,-2.255,stop_loss,pennant_flag
0055,2026-04-07,2026-04-08,2026-05-19,33.1692,33.8083,32.348,29,1.927,max_hold,pennant_flag
0056,2026-02-24,2026-02-25,2026-03-05,39.9294,38.3845,38.784,5,-3.869,stop_loss,pennant_flag
0056,2026-05-08,2026-05-11,2026-05-19,45.1751,43.878,43.594,7,-2.871,max_hold,pennant_flag
0057,2026-01-29,2026-01-30,2026-02-02,215.3441,210.3172,216.02,1,-2.334,stop_loss,pennant_flag
0061,2026-02-06,2026-02-09,2026-03-05,23.5906,23.1105,23.358,10,-2.035,stop_loss,pennant_flag
1101,2025-02-17,2025-02-18,2025-04-01,33.6506,32.0536,32.68,29,-4.746,stop_loss,pennant_flag
1101,2025-06-26,2025-06-27,2025-07-01,26.2284,25.7226,25.57,2,-1.929,stop_loss,pennant_flag
1101,2025-08-06,2025-08-07,2025-08-15,24.4732,23.6289,24.28,5,-3.45,stop_loss,pennant_flag
1101,2025-09-23,2025-09-24,2025-10-14,23.8212,23.0307,23.22,11,-3.319,stop_loss,pennant_flag
1101,2025-12-02,2025-12-03,2025-12-12,22.9186,22.5322,22.5,7,-1.686,stop_loss,pennant_flag
1101,2026-01-09,2026-01-12,2026-03-24,23.9216,22.931,23.37,43,-4.141,stop_loss,pennant_flag
1101,2026-04-02,2026-04-07,2026-05-19,23.8714,24.1274,23.15,30,1.072,max_hold,pennant_flag
1102,2025-02-17,2025-02-18,2025-05-19,41.7248,44.0674,40.83,61,5.614,max_hold,pennant_flag
1102,2025-04-02,2025-04-07,2025-04-08,42.6776,43.22,47.01,1,1.271,stop_loss,pennant_flag
1102,2025-09-23,2025-09-24,2025-10-17,37.111,36.4902,36.51,14,-1.673,stop_loss,pennant_flag
1102,2025-12-01,2025-12-02,2025-12-08,39.117,38.3845,38.49,4,-1.873,stop_loss,pennant_flag
1102,2026-02-06,2026-02-09,2026-03-05,35.6065,34.7953,34.97,10,-2.278,stop_loss,pennant_flag
1102,2026-04-07,2026-04-08,2026-04-21,35.9576,35.0944,35.18,9,-2.4,stop_loss,pennant_flag
1103,2025-03-18,2025-03-19,2025-03-26,16.4993,16.2013,16.34,5,-1.807,stop_loss,pennant_flag
1103,2025-12-03,2025-12-04,2025-12-08,14.2426,13.8084,14.1,2,-3.048,stop_loss,pennant_flag
1104,2025-02-24,2025-02-25,2025-04-01,29.6386,29.2121,29.49,24,-1.439,stop_loss,pennant_flag
1104,2025-05-12,2025-05-13,2025-06-26,29.7891,27.7664,29.09,31,-6.79,stop_loss,pennant_flag
1108,2025-02-12,2025-02-13,2025-04-08,14.8444,12.8613,14.62,35,-13.359,stop_loss,pennant_flag
1108,2025-06-26,2025-06-27,2025-07-11,14.9948,14.7058,14.77,10,-1.928,stop_loss,pennant_flag
1108,2025-08-08,2025-08-11,2025-11-07,14.2426,14.955,14.18,61,5.002,max_hold,pennant_flag
1108,2026-02-25,2026-02-26,2026-03-05,15.2957,15.0048,15.2,4,-1.902,stop_loss,pennant_flag
1109,2025-04-15,2025-04-16,2025-04-23,16.9507,16.4006,16.37,5,-3.245,stop_loss,pennant_flag
1109,2025-09-05,2025-09-08,2025-09-09,16.048,15.9022,15.92,1,-0.909,stop_loss,pennant_flag
1109,2026-01-15,2026-01-16,2026-01-26,15.4963,15.4036,15.43,6,-0.598,stop_loss,pennant_flag
1109,2026-02-25,2026-02-26,2026-03-04,15.8975,15.5532,15.61,3,-2.166,stop_loss,pennant_flag
1109,2026-04-10,2026-04-13,2026-04-24,15.4963,15.2541,15.37,9,-1.563,stop_loss,pennant_flag
1110,2025-05-06,2025-05-07,2025-06-24,19.5083,19.0926,18.96,33,-2.131,stop_loss,pennant_flag
1110,2025-08-06,2025-08-07,2025-08-14,18.2546,17.8463,17.99,5,-2.237,stop_loss,pennant_flag
1110,2025-11-07,2025-11-10,2025-11-20,16.5495,16.1514,16.42,8,-2.406,stop_loss,pennant_flag
1110,2026-04-10,2026-04-13,2026-04-24,15.2957,14.7556,14.89,9,-3.531,stop_loss,pennant_flag
1201,2025-12-04,2025-12-05,2025-12-08,14.9948,14.8553,14.93,1,-0.931,stop_loss,pennant_flag
1203,2025-02-18,2025-02-19,2025-04-08,37.0608,34.7953,36.71,31,-6.113,stop_loss,pennant_flag
1203,2025-10-02,2025-10-03,2025-10-14,40.0197,39.1821,39.59,5,-2.093,stop_loss,pennant_flag
1203,2026-01-23,2026-01-26,2026-01-27,39.8692,40.229,39.6,1,0.902,stop_loss,pennant_flag
1203,2026-04-16,2026-04-17,2026-05-19,43.4299,40.0296,41.71,21,-7.83,stop_loss,pennant_flag
1210,2025-02-24,2025-02-25,2025-03-03,56.2683,55.3335,55.7,3,-1.661,stop_loss,pennant_flag
1210,2025-05-20,2025-05-21,2025-06-04,63.8911,60.7173,62.02,9,-4.968,stop_loss,pennant_flag
1210,2025-07-01,2025-07-02,2025-07-09,65.9974,63.9077,64.7,5,-3.166,stop_loss,pennant_flag
1210,2026-03-11,2026-03-12,2026-05-19,52.4569,53.3395,51.22,46,1.683,max_hold,pennant_flag
1210,2026-04-29,2026-04-30,2026-05-04,53.9614,53.2398,53.64,1,-1.337,stop_loss,pennant_flag
1213,2025-12-03,2025-12-04,2025-12-05,10.381,10.1196,10.51,1,-2.519,stop_loss,pennant_flag
1215,2025-03-04,2025-03-05,2025-03-20,103.309,101.1955,101.68,11,-2.046,stop_loss,pennant_flag
1215,2025-07-01,2025-07-02,2025-07-23,125.8765,120.637,122.5,15,-4.162,stop_loss,pennant_flag
1215,2025-08-21,2025-08-22,2025-08-26,137.9125,131.604,134.0,2,-4.574,stop_loss,pennant_flag
1216,2025-03-25,2025-03-26,2025-04-01,82.8478,80.8567,81.74,4,-2.403,stop_loss,pennant_flag
1216,2025-04-24,2025-04-25,2025-07-22,76.7295,86.739,75.8,61,13.045,max_hold,pennant_flag
1216,2025-07-18,2025-07-21,2025-07-25,86.4586,84.745,85.48,4,-1.982,stop_loss,pennant_flag
1216,2025-12-01,2025-12-02,2025-12-03,77.231,76.0711,75.94,1,-1.502,stop_loss,pennant_flag
1216,2026-05-12,2026-05-13,2026-05-19,73.7205,74.5756,71.66,5,1.16,max_hold,pennant_flag
1217,2025-02-07,2025-02-10,2025-03-24,11.8855,11.8643,11.89,29,-0.179,stop_loss,pennant_flag
1217,2025-11-26,2025-11-27,2026-03-05,10.4312,10.2691,10.27,60,-1.554,stop_loss,pennant_flag
1218,2025-02-17,2025-02-18,2025-04-08,19.8092,18.9928,19.53,32,-4.121,stop_loss,pennant_flag
1218,2025-03-20,2025-03-21,2025-03-25,21.6146,21.2361,21.45,2,-1.751,stop_loss,pennant_flag
1218,2025-04-25,2025-04-28,2025-07-07,20.7119,19.4914,20.32,48,-5.893,stop_loss,pennant_flag
1218,2025-08-06,2025-08-07,2025-08-19,19.057,18.7436,18.84,8,-1.645,stop_loss,pennant_flag
1218,2026-03-16,2026-03-17,2026-04-24,19.2576,18.6938,18.81,26,-2.928,stop_loss,pennant_flag
1219,2025-04-29,2025-04-30,2025-07-25,13.8916,14.5064,13.7,61,4.426,max_hold,pennant_flag
1219,2025-07-18,2025-07-21,2025-07-23,14.7942,14.4565,14.64,2,-2.283,stop_loss,pennant_flag
1220,2025-02-17,2025-02-18,2025-03-13,17.051,16.0018,16.59,16,-6.153,stop_loss,pennant_flag
1220,2025-06-30,2025-07-01,2025-07-17,14.0921,13.3598,13.83,12,-5.197,stop_loss,pennant_flag
1220,2025-09-08,2025-09-09,2025-09-10,13.1894,13.1106,13.03,1,-0.598,stop_loss,pennant_flag
1220,2025-12-02,2025-12-03,2025-12-08,12.6879,12.4625,12.58,3,-1.777,stop_loss,pennant_flag
1220,2026-01-21,2026-01-22,2026-01-23,13.039,12.7616,12.81,1,-2.127,stop_loss,pennant_flag
1227,2025-10-17,2025-10-20,2025-10-21,33.1491,32.4025,32.88,1,-2.252,stop_loss,pennant_flag
1227,2026-02-25,2026-02-26,2026-03-05,30.3407,29.6109,29.81,4,-2.406,stop_loss,pennant_flag
1227,2026-04-02,2026-04-07,2026-04-08,31.093,30.7076,30.64,1,-1.24,stop_loss,pennant_flag
1229,2025-02-18,2025-02-19,2025-03-03,53.0587,51.844,52.08,7,-2.289,stop_loss,pennant_flag
1229,2025-04-15,2025-04-16,2025-04-22,45.4359,43.4692,44.77,4,-4.329,stop_loss,pennant_flag
1229,2025-05-16,2025-05-19,2025-05-20,47.141,46.4103,46.42,1,-1.55,stop_loss,pennant_flag
1229,2025-07-15,2025-07-16,2025-07-25,47.9936,44.4662,47.07,7,-7.35,stop_loss,pennant_flag
1229,2025-09-10,2025-09-11,2025-09-12,49.1971,48.4043,48.87,1,-1.611,stop_loss,pennant_flag
1229,2025-12-23,2025-12-24,2026-01-02,48.1941,47.4073,47.61,5,-1.633,stop_loss,pennant_flag
1231,2025-05-21,2025-05-22,2025-05-28,139.417,138.0845,137.9,4,-0.956,stop_loss,pennant_flag
1232,2025-03-26,2025-03-27,2025-03-28,153.459,152.0425,153.1,1,-0.923,stop_loss,pennant_flag
1232,2026-01-15,2026-01-16,2026-01-26,146.438,144.565,145.5,6,-1.279,stop_loss,pennant_flag
1233,2025-03-18,2025-03-19,2025-04-08,32.8984,31.1064,31.63,12,-5.447,stop_loss,pennant_flag
1233,2026-01-02,2026-01-05,2026-01-07,32.2966,31.8542,32.08,2,-1.37,stop_loss,pennant_flag
1233,2026-03-02,2026-03-03,2026-03-05,33.1491,32.7514,33.04,2,-1.2,stop_loss,pennant_flag
1233,2026-04-10,2026-04-13,2026-04-21,29.3879,28.913,29.03,6,-1.616,stop_loss,pennant_flag
1234,2025-05-20,2025-05-21,2025-05-23,42.2263,41.6248,41.77,2,-1.425,stop_loss,pennant_flag
1234,2026-04-16,2026-04-17,2026-04-23,36.4089,35.7424,35.94,4,-1.83,stop_loss,pennant_flag
1235,2025-03-04,2025-03-05,2025-03-13,92.0754,89.6303,90.06,6,-2.656,stop_loss,pennant_flag
1235,2025-04-11,2025-04-14,2025-04-15,104.8135,102.1925,103.6,1,-2.501,stop_loss,pennant_flag
1236,2025-03-24,2025-03-25,2025-03-27,23.2194,22.931,23.02,2,-1.242,stop_loss,pennant_flag
1236,2025-05-26,2025-05-27,2025-05-28,22.8684,22.3826,22.53,1,-2.124,stop_loss,pennant_flag
1236,2025-08-15,2025-08-18,2025-08-19,21.0128,20.8871,20.91,1,-0.598,stop_loss,pennant_flag
1236,2026-01-26,2026-01-27,2026-05-06,25.3257,26.0715,24.89,61,2.945,max_hold,pennant_flag
1240,2025-04-17,2025-04-18,2025-04-23,58.4749,58.7233,57.26,3,0.425,stop_loss,pennant_flag
1240,2025-08-14,2025-08-15,2025-08-29,63.5902,59.6206,62.4,10,-6.242,stop_loss,pennant_flag
1240,2025-12-29,2025-12-30,2026-02-11,60.18,59.3215,59.36,30,-1.427,stop_loss,pennant_flag
1256,2025-02-13,2025-02-14,2025-03-24,147.9425,139.0815,139.7,25,-5.989,stop_loss,pennant_flag
1256,2026-01-13,2026-01-14,2026-01-26,164.492,157.0275,156.9,8,-4.538,stop_loss,pennant_flag
1256,2026-04-22,2026-04-23,2026-04-24,163.489,160.517,160.6,1,-1.818,stop_loss,pennant_flag
1259,2025-02-07,2025-02-10,2025-03-31,63.7908,61.9137,63.04,29,-2.943,stop_loss,pennant_flag
1259,2025-11-13,2025-11-14,2025-11-24,62.5872,60.817,62.34,5,-2.828,stop_loss,pennant_flag
1259,2026-02-11,2026-02-24,2026-02-26,62.0857,61.0164,61.36,2,-1.722,stop_loss,pennant_flag
1260,2026-01-26,2026-01-27,2026-05-06,17.5826,24.4265,17.23,61,38.924,max_hold,pennant_flag
1264,2025-02-18,2025-02-19,2025-03-13,332.4945,322.5295,331.7,15,-2.997,stop_loss,pennant_flag
1264,2025-05-02,2025-05-05,2025-07-30,313.939,308.073,301.5,61,-1.869,max_hold,pennant_flag
1264,2025-10-23,2025-10-27,2025-11-03,297.891,292.6195,294.2,5,-1.77,stop_loss,pennant_flag
1264,2026-01-12,2026-01-13,2026-01-23,280.3385,277.6645,279.0,8,-0.954,stop_loss,pennant_flag
1268,2025-04-18,2025-04-21,2025-04-23,140.42,138.0845,137.1,2,-1.663,stop_loss,pennant_flag
1268,2025-06-25,2025-06-26,2025-07-02,152.456,151.0455,151.8,4,-0.925,stop_loss,pennant_flag
1268,2025-09-24,2025-09-25,2025-10-09,161.483,158.523,158.2,8,-1.833,stop_loss,pennant_flag
1268,2025-11-27,2025-11-28,2026-03-06,158.474,161.0155,157.4,61,1.604,max_hold,pennant_flag
1269,2026-04-01,2026-04-02,2026-04-14,72.5169,68.1848,68.98,6,-5.974,stop_loss,pennant_flag
1293,2026-04-07,2026-04-08,2026-04-09,28.6356,28.3148,28.53,1,-1.12,stop_loss,pennant_flag
1294,2025-03-21,2025-03-24,2025-03-28,97.9931,93.718,96.46,4,-4.363,stop_loss,pennant_flag
1294,2026-01-19,2026-01-20,2026-02-02,78.0334,74.775,76.66,9,-4.176,stop_loss,pennant_flag
1295,2025-06-05,2025-06-06,2025-08-29,90.3703,136.589,86.42,61,51.144,max_hold,pennant_flag
1301,2025-03-18,2025-03-19,2025-03-24,40.7719,39.1322,39.33,3,-4.022,stop_loss,pennant_flag
1301,2025-05-07,2025-05-08,2025-05-28,36.3587,35.7923,35.56,14,-1.558,stop_loss,pennant_flag
1301,2025-06-25,2025-06-26,2025-07-09,35.2053,34.4463,34.72,9,-2.156,stop_loss,pennant_flag
1301,2025-08-25,2025-08-26,2025-08-29,40.4209,39.0824,39.63,3,-3.311,stop_loss,pennant_flag
1301,2025-12-01,2025-12-02,2025-12-10,42.3266,40.1791,40.7,6,-5.074,stop_loss,pennant_flag
1301,2026-01-19,2026-01-20,2026-01-22,43.129,42.1731,42.11,2,-2.216,stop_loss,pennant_flag
1303,2025-02-17,2025-02-18,2025-03-05,33.6506,31.8043,32.07,10,-5.487,stop_loss,pennant_flag
