ticker,signal_date,entry_date,exit_date,entry_price,exit_price,stop_loss,hold_days,return_pct,exit_reason,scanner
2038,2025-02-10,2025-02-11,2025-04-09,17.7029,14.7556,16.55,38,-16.649,stop_loss,suffocation
4919,2025-02-10,2025-02-11,2025-02-13,96.8898,92.6213,93.4,2,-4.406,stop_loss,suffocation
2492,2025-02-10,2025-02-11,2025-02-12,96.4886,95.6123,95.2,1,-0.908,stop_loss,suffocation
6441,2025-02-10,2025-02-11,2025-03-24,35.4059,33.25,33.7,28,-6.089,stop_loss,suffocation
3379,2025-02-11,2025-02-12,2025-02-17,57.2713,54.1371,54.3,3,-5.473,stop_loss,suffocation
6446,2025-02-11,2025-02-12,2025-02-20,728.178,668.987,692.0,6,-8.129,stop_loss,suffocation
5244,2025-02-11,2025-02-12,2025-03-03,47.3917,45.2638,45.15,12,-4.49,stop_loss,suffocation
4772,2025-02-11,2025-02-12,2025-02-13,240.72,219.34,230.0,1,-8.882,stop_loss,suffocation
2375,2025-02-11,2025-02-12,2025-02-13,70.0094,68.8927,68.7,1,-1.595,stop_loss,suffocation
2606,2025-02-12,2025-02-13,2025-04-09,61.6845,50.0494,57.3,36,-18.862,stop_loss,suffocation
6237,2025-02-12,2025-02-13,2025-02-17,58.0737,55.0344,56.5,2,-5.234,stop_loss,suffocation
2241,2025-02-12,2025-02-13,2025-04-01,30.5915,28.0157,29.35,32,-8.42,stop_loss,suffocation
6859,2025-02-12,2025-02-13,2025-02-14,209.627,199.4,201.5,1,-4.879,stop_loss,suffocation
6179,2025-02-12,2025-02-13,2025-03-03,28.6356,27.5172,27.8,11,-3.906,stop_loss,suffocation
6175,2025-02-13,2025-02-14,2025-03-04,44.483,41.8242,42.3,11,-5.977,stop_loss,suffocation
6148,2025-02-13,2025-02-14,2025-02-17,39.9696,37.9857,38.25,1,-4.963,stop_loss,suffocation
6456,2025-02-13,2025-02-14,2025-03-10,54.9644,53.0404,53.4,15,-3.5,stop_loss,suffocation
2028,2025-02-13,2025-02-14,2025-03-31,25.075,21.8343,21.9,30,-12.924,stop_loss,suffocation
8043,2025-02-13,2025-02-14,2025-02-17,33.099,31.9538,32.45,1,-3.46,stop_loss,suffocation
8033,2025-02-14,2025-02-17,2025-04-08,70.5109,52.9407,62.1,33,-24.918,stop_loss,suffocation
2630,2025-02-14,2025-02-17,2025-03-11,39.2173,35.1941,35.8,15,-10.259,stop_loss,suffocation
6547,2025-02-14,2025-02-17,2025-04-08,46.8401,39.88,45.9,33,-14.859,stop_loss,suffocation
4746,2025-02-14,2025-02-17,2025-03-07,76.5289,71.784,74.3,13,-6.2,stop_loss,suffocation
9955,2025-02-14,2025-02-17,2025-02-18,31.3939,30.7574,30.9,1,-2.027,stop_loss,suffocation
6558,2025-02-17,2025-02-18,2025-03-17,59.8791,55.7323,56.0,18,-6.925,stop_loss,suffocation
5876,2025-02-17,2025-02-18,2025-02-26,43.8812,43.6188,43.95,6,-0.598,stop_loss,suffocation
2453,2025-02-17,2025-02-18,2025-02-26,66.6995,62.5119,63.8,6,-6.278,stop_loss,suffocation
6215,2025-02-17,2025-02-18,2025-02-21,135.405,128.613,132.0,3,-5.016,stop_loss,suffocation
1225,2025-02-17,2025-02-18,2025-02-26,50.2503,48.0554,48.65,6,-4.368,stop_loss,suffocation
6742,2025-02-18,2025-02-19,2025-03-04,77.231,68.3942,74.6,8,-11.442,stop_loss,suffocation
3213,2025-02-18,2025-02-19,2025-04-09,109.8285,90.727,101.5,32,-17.392,stop_loss,suffocation
5601,2025-02-18,2025-02-19,2025-04-10,35.8572,34.895,35.25,27,-2.684,stop_loss,suffocation
6672,2025-02-18,2025-02-19,2025-03-04,82.0454,78.8627,80.9,8,-3.879,stop_loss,suffocation
8042,2025-02-18,2025-02-19,2025-03-03,39.117,36.54,37.4,7,-6.588,stop_loss,suffocation
6140,2025-02-19,2025-02-20,2025-03-04,38.4149,31.1064,33.8,7,-19.025,stop_loss,suffocation
2471,2025-02-19,2025-02-20,2025-02-24,62.186,58.9227,60.0,2,-5.248,stop_loss,suffocation
2427,2025-02-19,2025-02-20,2025-02-21,29.2876,28.3148,28.6,1,-3.322,stop_loss,suffocation
8088,2025-02-19,2025-02-20,2025-04-10,25.3257,22.582,22.7,32,-10.834,stop_loss,suffocation
8039,2025-02-19,2025-02-20,2025-02-21,49.6986,48.6536,49.0,1,-2.103,stop_loss,suffocation
6763,2025-02-20,2025-02-21,2025-02-26,75.1247,71.2855,73.4,3,-5.11,stop_loss,suffocation
2009,2025-02-20,2025-02-21,2025-04-08,43.9314,33.1004,40.75,29,-24.654,stop_loss,suffocation
5438,2025-02-20,2025-02-21,2025-03-03,26.429,24.9748,25.9,5,-5.502,stop_loss,suffocation
1817,2025-02-20,2025-02-21,2025-03-05,49.9494,46.7593,49.45,7,-6.387,stop_loss,suffocation
4502,2025-02-20,2025-02-21,2025-02-26,21.0128,19.94,20.3,3,-5.106,stop_loss,suffocation
1540,2025-02-21,2025-02-24,2025-03-31,38.7158,32.4523,34.35,24,-16.178,stop_loss,suffocation
3483,2025-02-21,2025-02-24,2025-03-10,150.45,142.571,143.0,9,-5.237,stop_loss,suffocation
8234,2025-02-21,2025-02-24,2025-03-03,97.8928,87.8357,91.9,4,-10.274,stop_loss,suffocation
4162,2025-02-21,2025-02-24,2025-03-03,112.8375,111.664,111.0,4,-1.04,stop_loss,suffocation
4142,2025-02-21,2025-02-24,2025-03-04,24.5735,23.0307,23.45,5,-6.278,stop_loss,suffocation
4931,2025-02-24,2025-02-25,2025-03-04,74.9241,68.6933,70.5,4,-8.316,stop_loss,suffocation
3323,2025-02-24,2025-02-25,2025-04-08,38.4149,27.7664,33.55,27,-27.72,stop_loss,suffocation
3706,2025-02-24,2025-02-25,2025-02-26,71.8148,69.2915,71.0,1,-3.514,stop_loss,suffocation
8096,2025-02-24,2025-02-25,2025-02-27,78.234,71.2855,75.0,2,-8.882,stop_loss,suffocation
6209,2025-02-24,2025-02-25,2025-03-04,32.2464,30.4085,31.3,4,-5.7,stop_loss,suffocation
6770,2025-02-25,2025-02-26,2025-03-03,18.9066,18.0457,18.4,2,-4.553,stop_loss,suffocation
3149,2025-02-25,2025-02-26,2025-03-03,36.1581,34.7953,35.5,2,-3.769,stop_loss,suffocation
8249,2025-02-25,2025-02-26,2025-03-04,61.9854,57.4272,60.2,3,-7.354,stop_loss,suffocation
6120,2025-02-25,2025-02-26,2025-03-04,13.9918,13.4595,13.75,3,-3.805,stop_loss,suffocation
3707,2025-02-25,2025-02-26,2025-03-04,50.3506,48.5539,50.0,3,-3.568,stop_loss,suffocation
1815,2025-02-26,2025-02-27,2025-03-13,36.0578,32.3028,32.1,9,-10.414,stop_loss,suffocation
2329,2025-02-26,2025-02-27,2025-03-03,38.2143,35.9418,37.4,1,-5.947,stop_loss,suffocation
3029,2025-02-26,2025-02-27,2025-03-03,148.444,140.0785,144.0,1,-5.635,stop_loss,suffocation
3147,2025-02-26,2025-02-27,2025-04-01,185.555,165.502,172.0,22,-10.807,stop_loss,suffocation
6835,2025-02-26,2025-02-27,2025-03-18,54.162,49.2518,49.5,12,-9.066,stop_loss,suffocation
2402,2025-02-27,2025-03-03,2025-03-04,39.7689,39.88,40.9,1,0.279,stop_loss,suffocation
6285,2025-02-27,2025-03-03,2025-03-04,147.441,142.571,145.5,1,-3.303,stop_loss,suffocation
5203,2025-02-27,2025-03-03,2025-03-10,128.384,116.649,125.0,5,-9.141,stop_loss,suffocation
4967,2025-02-27,2025-03-03,2025-03-04,87.261,84.745,87.7,1,-2.883,stop_loss,suffocation
1795,2025-02-27,2025-03-03,2025-03-04,273.3175,263.7065,272.0,1,-3.516,stop_loss,suffocation
4927,2025-03-03,2025-03-04,2025-03-18,38.2143,38.3347,37.8,10,0.315,stop_loss,suffocation
1504,2025-03-03,2025-03-04,2025-03-14,53.4599,53.9377,53.6,8,0.894,stop_loss,suffocation
6227,2025-03-03,2025-03-04,2025-03-07,86.5589,82.5516,83.5,3,-4.63,stop_loss,suffocation
6741,2025-03-03,2025-03-04,2025-03-05,99.7985,99.2015,99.9,1,-0.598,stop_loss,suffocation
8942,2025-03-03,2025-03-04,2025-03-17,59.6785,59.6206,59.7,9,-0.097,stop_loss,suffocation
4722,2025-03-04,2025-03-05,2025-04-08,65.8971,48.5539,59.2,22,-26.319,stop_loss,suffocation
