ticker,signal_date,entry_date,exit_date,entry_price,exit_price,stop_loss,hold_days,return_pct,exit_reason,scanner
1734,2025-05-06,2025-05-07,2025-09-12,32.096,30.5082,31.09,91,-4.947,stop_loss,swing_breakout
2801,2025-05-06,2025-05-07,2025-10-29,18.3047,19.8901,17.65,121,8.661,max_hold,swing_breakout
2836,2025-05-06,2025-05-07,2025-10-29,11.7852,12.3129,11.4275,121,4.478,max_hold,swing_breakout
4104,2025-05-06,2025-05-07,2025-05-13,88.264,86.8387,86.79,4,-1.615,stop_loss,swing_breakout
4105,2025-05-06,2025-05-07,2025-10-29,76.7295,79.0621,73.31,121,3.04,max_hold,swing_breakout
2812,2025-05-07,2025-05-08,2025-10-30,20.2606,21.5352,19.2025,121,6.291,max_hold,swing_breakout
5880,2025-05-07,2025-05-08,2025-06-03,24.8744,24.0277,23.9925,17,-3.404,stop_loss,swing_breakout
2480,2025-05-08,2025-05-09,2025-10-31,158.9755,159.52,140.5,121,0.343,max_hold,swing_breakout
3027,2025-05-08,2025-05-09,2025-07-16,36.4089,29.3118,29.375,47,-19.493,stop_loss,swing_breakout
6196,2025-05-08,2025-05-09,2025-10-31,163.9905,245.262,155.8,121,49.559,max_hold,swing_breakout
6257,2025-05-08,2025-05-09,2025-10-31,71.5139,104.1865,68.53,121,45.687,max_hold,swing_breakout
1608,2025-05-08,2025-05-09,2025-06-03,25.426,23.5292,23.8925,16,-7.46,stop_loss,swing_breakout
2838,2025-05-09,2025-05-12,2025-11-03,17.5525,18.6439,16.41,121,6.218,max_hold,swing_breakout
2884,2025-05-09,2025-05-12,2025-11-03,29.8894,30.0596,27.9675,121,0.569,max_hold,swing_breakout
2412,2025-05-09,2025-05-12,2025-07-10,131.393,128.1145,128.575,42,-2.495,stop_loss,swing_breakout
2603,2025-05-09,2025-05-12,2025-06-24,215.1435,207.376,207.15,30,-3.61,stop_loss,swing_breakout
2609,2025-05-09,2025-05-12,2025-07-10,73.0184,64.2068,70.755,42,-12.068,stop_loss,swing_breakout
2337,2025-05-12,2025-05-13,2025-07-23,21.2134,19.94,19.9775,50,-6.003,stop_loss,swing_breakout
2344,2025-05-12,2025-05-13,2025-11-04,17.1513,53.1401,15.7175,121,209.831,max_hold,swing_breakout
2886,2025-05-15,2025-05-16,2025-11-07,40.4209,40.1791,38.3225,121,-0.598,max_hold,swing_breakout
2891,2025-05-15,2025-05-16,2025-11-07,41.1731,41.7743,38.6325,121,1.46,max_hold,swing_breakout
3090,2025-05-19,2025-05-20,2025-07-08,76.1277,67.6963,67.46,34,-11.075,stop_loss,swing_breakout
8016,2025-05-19,2025-05-20,2025-06-17,216.1465,202.8895,207.925,19,-6.133,stop_loss,swing_breakout
2890,2025-05-23,2025-05-26,2025-11-17,23.6206,26.4704,22.3925,121,12.064,max_hold,swing_breakout
4114,2025-05-23,2025-05-26,2025-11-11,34.4029,32.8512,32.91,116,-4.511,stop_loss,swing_breakout
4129,2025-05-23,2025-05-26,2025-11-17,100.8015,117.1475,94.52,121,16.216,max_hold,swing_breakout
5312,2025-05-23,2025-05-26,2025-07-01,168.0025,141.0755,143.775,25,-16.028,stop_loss,swing_breakout
5469,2025-05-23,2025-05-26,2025-11-17,60.6815,91.6243,52.8475,121,50.992,max_hold,swing_breakout
2832,2025-05-26,2025-05-27,2025-06-02,35.8071,34.4463,34.81,3,-3.8,stop_loss,swing_breakout
1219,2025-05-26,2025-05-27,2025-06-03,15.7972,15.1544,15.53,4,-4.069,stop_loss,swing_breakout
1232,2025-05-26,2025-05-27,2025-06-12,163.9905,154.535,160.5,11,-5.766,stop_loss,swing_breakout
1234,2025-05-26,2025-05-27,2025-06-03,42.0758,40.877,41.045,4,-2.849,stop_loss,swing_breakout
6782,2025-05-28,2025-05-29,2025-06-16,188.0625,173.478,178.5,11,-7.755,stop_loss,swing_breakout
4167,2025-06-12,2025-06-13,2025-06-16,20.4612,20.0397,21.1825,1,-2.06,stop_loss,swing_breakout
6919,2025-06-12,2025-06-13,2025-07-22,1003.0,143.568,896.0,22,-85.686,stop_loss,swing_breakout
2882,2025-06-13,2025-06-16,2025-07-01,68.9061,62.6116,64.35,11,-9.135,stop_loss,swing_breakout
6197,2025-06-16,2025-06-17,2025-06-18,141.9245,139.58,142.1,1,-1.652,stop_loss,swing_breakout
2208,2025-06-17,2025-06-18,2025-07-15,18.7059,16.6499,16.8675,19,-10.991,stop_loss,swing_breakout
