ticker,signal_date,entry_date,exit_date,entry_price,exit_price,stop_loss,hold_days,return_pct,exit_reason,scanner
0056,2026-04-02,2026-04-07,2026-04-08,38.1942,38.7235,38.126,1,1.386,stop_loss,institutional_firstbuy
1215,2026-01-07,2026-01-08,2026-05-12,136.9095,133.0995,133.8,77,-2.783,stop_loss,institutional_firstbuy
1301,2026-04-01,2026-04-02,2026-04-07,46.7398,46.4602,46.68,1,-0.598,stop_loss,institutional_firstbuy
1303,2026-04-01,2026-04-02,2026-06-05,80.7415,104.1865,76.77,44,29.037,max_hold,institutional_firstbuy
1307,2026-04-29,2026-04-30,2026-05-05,31.5945,31.6049,31.625,2,0.033,stop_loss,institutional_firstbuy
1477,2026-01-14,2026-01-15,2026-03-10,332.996,296.109,302.35,30,-11.077,stop_loss,institutional_firstbuy
1560,2026-01-02,2026-01-05,2026-05-26,413.7375,739.774,378.9,91,78.803,max_hold,institutional_firstbuy
1582,2026-04-01,2026-04-02,2026-04-24,111.333,93.3192,93.59,14,-16.18,stop_loss,institutional_firstbuy
1605,2026-01-02,2026-01-05,2026-03-10,33.6005,31.3058,31.425,38,-6.829,stop_loss,institutional_firstbuy
1612,2026-04-28,2026-04-29,2026-06-05,35.6065,39.3815,35.39,27,10.602,max_hold,institutional_firstbuy
1711,2026-04-07,2026-04-08,2026-04-09,34.2023,34.7953,37.985,1,1.734,stop_loss,institutional_firstbuy
1717,2026-01-06,2026-01-07,2026-05-28,51.3536,82.1528,42.555,91,59.975,max_hold,institutional_firstbuy
1802,2026-01-16,2026-01-19,2026-06-05,44.8341,67.3972,39.9,89,50.326,max_hold,institutional_firstbuy
1905,2026-04-20,2026-04-21,2026-04-24,13.4903,13.958,14.205,3,3.467,stop_loss,institutional_firstbuy
2027,2026-01-02,2026-01-05,2026-01-06,36.0077,34.9947,35.48,1,-2.813,stop_loss,institutional_firstbuy
2031,2026-04-29,2026-04-30,2026-05-07,40.9726,39.3317,39.9,4,-4.005,stop_loss,institutional_firstbuy
2204,2026-01-05,2026-01-06,2026-01-07,58.4749,58.0254,59.83,1,-0.769,stop_loss,institutional_firstbuy
2324,2026-01-02,2026-01-05,2026-01-09,31.2936,29.8602,30.205,4,-4.581,stop_loss,institutional_firstbuy
2347,2026-01-12,2026-01-13,2026-06-03,64.8941,90.8267,60.67,91,39.961,max_hold,institutional_firstbuy
2353,2026-01-02,2026-01-05,2026-01-28,26.6798,25.6229,25.86,17,-3.961,stop_loss,institutional_firstbuy
2356,2026-04-01,2026-04-02,2026-04-07,41.2233,40.877,42.195,1,-0.84,stop_loss,institutional_firstbuy
2357,2026-04-01,2026-04-02,2026-04-07,571.71,559.317,568.2,1,-2.168,stop_loss,institutional_firstbuy
2376,2026-01-02,2026-01-05,2026-01-12,258.774,239.28,240.6,5,-7.533,stop_loss,institutional_firstbuy
2382,2026-04-01,2026-04-02,2026-06-05,291.3715,389.3285,284.25,44,33.619,max_hold,institutional_firstbuy
2388,2026-04-20,2026-04-21,2026-06-05,69.207,68.6933,57.95,33,-0.742,max_hold,institutional_firstbuy
2395,2026-04-01,2026-04-02,2026-04-07,335.002,320.5355,332.2,1,-4.318,stop_loss,institutional_firstbuy
2402,2026-04-13,2026-04-14,2026-06-05,71.213,66.1011,55.165,38,-7.178,max_hold,institutional_firstbuy
2408,2026-01-02,2026-01-05,2026-05-26,211.633,302.5895,186.2,91,42.978,max_hold,institutional_firstbuy
2426,2026-06-01,2026-06-02,2026-06-03,78.234,72.9804,76.6,1,-6.715,stop_loss,institutional_firstbuy
2441,2026-01-02,2026-01-05,2026-01-09,92.3763,87.3372,87.9,4,-5.455,stop_loss,institutional_firstbuy
2449,2026-01-02,2026-01-05,2026-05-26,273.819,337.4845,231.05,91,23.251,max_hold,institutional_firstbuy
2455,2026-01-07,2026-01-08,2026-01-09,153.459,149.0515,152.6,1,-2.872,stop_loss,institutional_firstbuy
2481,2026-01-07,2026-01-08,2026-01-09,82.246,80.1588,80.38,1,-2.538,stop_loss,institutional_firstbuy
2485,2026-04-07,2026-04-08,2026-04-09,77.4316,73.1798,78.46,1,-5.491,stop_loss,institutional_firstbuy
2486,2026-01-26,2026-01-27,2026-06-05,122.366,278.6615,97.45,83,127.728,max_hold,institutional_firstbuy
2495,2026-05-19,2026-05-20,2026-06-05,36.3587,49.3515,37.225,13,35.735,max_hold,institutional_firstbuy
2498,2026-05-11,2026-05-12,2026-05-14,40.471,40.1791,40.165,2,-0.721,stop_loss,institutional_firstbuy
2548,2026-02-11,2026-02-23,2026-06-03,109.327,104.1865,106.75,68,-4.702,stop_loss,institutional_firstbuy
2597,2026-04-30,2026-05-04,2026-05-05,154.9635,153.0395,155.65,1,-1.242,stop_loss,institutional_firstbuy
2603,2026-01-02,2026-01-05,2026-01-20,194.582,188.433,188.45,11,-3.16,stop_loss,institutional_firstbuy
2606,2026-01-19,2026-01-20,2026-02-03,63.0887,61.0164,61.4333,10,-3.285,stop_loss,institutional_firstbuy
2610,2026-01-21,2026-01-22,2026-02-25,22.8684,21.3358,21.69,17,-6.702,stop_loss,institutional_firstbuy
2618,2026-01-02,2026-01-05,2026-01-06,36.7098,36.4902,36.415,1,-0.598,stop_loss,institutional_firstbuy
2881,2026-04-01,2026-04-02,2026-04-14,88.3643,86.4399,87.6,6,-2.178,stop_loss,institutional_firstbuy
2882,2026-04-01,2026-04-02,2026-06-05,72.3163,99.7,71.15,44,37.867,max_hold,institutional_firstbuy
2883,2026-01-19,2026-01-20,2026-01-23,18.1543,17.7964,17.8,3,-1.971,stop_loss,institutional_firstbuy
2884,2026-01-02,2026-01-05,2026-01-07,34.0518,33.6488,33.71,2,-1.184,stop_loss,institutional_firstbuy
2885,2026-01-14,2026-01-15,2026-06-05,41.2734,65.1041,40.295,91,57.738,max_hold,institutional_firstbuy
2887,2026-01-02,2026-01-05,2026-01-09,20.4612,20.6878,20.79,4,1.107,stop_loss,institutional_firstbuy
2890,2026-01-15,2026-01-16,2026-01-22,29.087,29.1124,29.0,4,0.087,stop_loss,institutional_firstbuy
2891,2026-04-01,2026-04-02,2026-06-05,55.165,66.4002,52.29,44,20.367,max_hold,institutional_firstbuy
3005,2026-01-02,2026-01-05,2026-01-06,118.354,113.1595,117.5,1,-4.389,stop_loss,institutional_firstbuy
3033,2026-04-30,2026-05-04,2026-06-05,36.6596,51.6446,35.225,25,40.876,max_hold,institutional_firstbuy
3036,2026-01-02,2026-01-05,2026-01-06,141.9245,140.0785,142.9,1,-1.301,stop_loss,institutional_firstbuy
3037,2026-01-05,2026-01-06,2026-05-27,231.693,1076.76,219.75,91,364.736,max_hold,institutional_firstbuy
3044,2026-01-22,2026-01-23,2026-06-05,360.5785,496.506,320.75,85,37.697,max_hold,institutional_firstbuy
3045,2026-01-02,2026-01-05,2026-01-06,108.324,107.1775,108.05,1,-1.058,stop_loss,institutional_firstbuy
3090,2026-04-17,2026-04-20,2026-04-24,111.333,99.7,100.99,4,-10.449,stop_loss,institutional_firstbuy
3211,2026-01-06,2026-01-07,2026-01-08,318.954,314.055,330.75,1,-1.536,stop_loss,institutional_firstbuy
3264,2026-01-02,2026-01-05,2026-05-26,129.8885,230.307,103.45,91,77.311,max_hold,institutional_firstbuy
3374,2026-01-06,2026-01-07,2026-05-28,160.48,254.235,140.0,91,58.422,max_hold,institutional_firstbuy
3450,2026-04-14,2026-04-15,2026-06-05,324.972,499.497,273.75,37,53.705,max_hold,institutional_firstbuy
3481,2026-01-08,2026-01-09,2026-06-01,21.063,55.9317,17.77,91,165.545,max_hold,institutional_firstbuy
3532,2026-04-08,2026-04-09,2026-06-05,143.429,289.13,136.05,41,101.584,max_hold,institutional_firstbuy
3624,2026-05-13,2026-05-14,2026-06-05,73.1187,107.676,57.85,17,47.262,max_hold,institutional_firstbuy
3653,2026-01-09,2026-01-12,2026-01-13,2612.815,2562.29,2628.5,1,-1.934,stop_loss,institutional_firstbuy
3661,2026-01-02,2026-01-05,2026-01-16,3716.115,3320.01,3324.5,9,-10.659,stop_loss,institutional_firstbuy
3706,2026-01-02,2026-01-05,2026-01-19,92.276,83.2495,83.73,10,-9.782,stop_loss,institutional_firstbuy
3711,2026-04-01,2026-04-02,2026-06-05,376.6265,575.269,346.05,44,52.743,max_hold,institutional_firstbuy
3715,2026-01-02,2026-01-05,2026-01-06,131.8945,119.64,121.1,1,-9.291,stop_loss,institutional_firstbuy
4551,2026-05-20,2026-05-21,2026-06-05,152.9575,148.553,147.35,11,-2.88,stop_loss,institutional_firstbuy
4576,2026-05-04,2026-05-05,2026-06-05,242.726,219.8385,199.6,24,-9.429,max_hold,institutional_firstbuy
4749,2026-01-02,2026-01-05,2026-02-09,984.946,832.495,828.1,25,-15.478,stop_loss,institutional_firstbuy
4763,2026-04-30,2026-05-04,2026-05-05,42.6275,42.7713,43.985,1,0.337,stop_loss,institutional_firstbuy
4764,2026-05-26,2026-05-27,2026-05-29,350.5485,313.058,318.1,2,-10.695,stop_loss,institutional_firstbuy
4904,2026-01-05,2026-01-06,2026-05-27,89.8688,92.6213,88.44,91,3.063,max_hold,institutional_firstbuy
4908,2026-05-06,2026-05-07,2026-06-05,238.2125,225.8205,203.2,22,-5.202,max_hold,institutional_firstbuy
4915,2026-01-02,2026-01-05,2026-02-03,77.0304,76.9684,76.74,21,-0.08,stop_loss,institutional_firstbuy
4966,2026-01-02,2026-01-05,2026-01-06,588.761,568.29,570.1,1,-3.477,stop_loss,institutional_firstbuy
4979,2026-01-02,2026-01-05,2026-01-14,326.4765,278.163,289.75,7,-14.798,stop_loss,institutional_firstbuy
4991,2026-01-13,2026-01-14,2026-01-15,218.654,200.8955,220.1,1,-8.122,stop_loss,institutional_firstbuy
5009,2026-05-06,2026-05-07,2026-06-05,35.456,37.1382,32.74,22,4.744,max_hold,institutional_firstbuy
5243,2026-05-22,2026-05-25,2026-06-05,131.8945,112.1625,107.05,10,-14.96,max_hold,institutional_firstbuy
5284,2026-05-20,2026-05-21,2026-06-05,384.149,405.2805,374.8,12,5.501,max_hold,institutional_firstbuy
5347,2026-01-08,2026-01-09,2026-06-01,111.333,178.463,97.75,91,60.297,max_hold,institutional_firstbuy
5371,2026-04-16,2026-04-17,2026-04-28,79.5379,72.781,74.58,7,-8.495,stop_loss,institutional_firstbuy
5388,2026-04-01,2026-04-02,2026-05-04,78.6352,77.6663,76.93,19,-1.232,stop_loss,institutional_firstbuy
5425,2026-01-13,2026-01-14,2026-03-05,68.1037,56.3305,54.54,28,-17.287,stop_loss,institutional_firstbuy
5439,2026-01-06,2026-01-07,2026-01-08,323.969,315.5505,318.4,1,-2.599,stop_loss,institutional_firstbuy
5475,2026-04-01,2026-04-02,2026-06-05,224.672,279.6585,209.45,44,24.474,max_hold,institutional_firstbuy
5483,2026-01-02,2026-01-05,2026-05-26,114.342,163.508,103.35,91,42.999,max_hold,institutional_firstbuy
5536,2026-01-02,2026-01-05,2026-01-12,777.325,793.612,771.4,5,2.095,stop_loss,institutional_firstbuy
5871,2026-04-07,2026-04-08,2026-04-13,109.327,107.676,108.35,3,-1.51,stop_loss,institutional_firstbuy
6005,2026-01-08,2026-01-09,2026-06-01,27.2314,39.4812,24.515,91,44.984,max_hold,institutional_firstbuy
6139,2026-01-02,2026-01-05,2026-01-22,578.731,570.284,569.5,13,-1.46,stop_loss,institutional_firstbuy
6147,2026-01-08,2026-01-09,2026-02-09,54.8641,53.838,53.52,21,-1.87,stop_loss,institutional_firstbuy
6176,2026-01-08,2026-01-09,2026-01-12,122.8675,123.628,124.55,1,0.619,stop_loss,institutional_firstbuy
6187,2026-01-05,2026-01-06,2026-05-27,406.7165,1126.61,357.2,91,177.001,max_hold,institutional_firstbuy
6213,2026-03-16,2026-03-17,2026-06-05,144.9335,253.7365,129.6,56,75.071,max_hold,institutional_firstbuy
6239,2026-01-02,2026-01-05,2026-05-26,192.576,340.974,170.4,91,77.059,max_hold,institutional_firstbuy
6274,2026-01-08,2026-01-09,2026-01-12,471.41,473.575,483.95,1,0.459,stop_loss,institutional_firstbuy
6282,2026-01-09,2026-01-12,2026-04-08,48.2443,43.868,42.715,52,-9.071,stop_loss,institutional_firstbuy
6488,2026-01-02,2026-01-05,2026-05-26,411.7315,863.402,391.45,91,109.7,max_hold,institutional_firstbuy
6548,2026-01-02,2026-01-05,2026-05-26,46.1881,60.1191,41.5,91,30.161,max_hold,institutional_firstbuy
6592,2026-06-01,2026-06-02,2026-06-05,61.5842,64.805,60.66,4,5.23,max_hold,institutional_firstbuy
6706,2026-04-30,2026-05-04,2026-06-05,166.498,189.43,139.9,25,13.773,max_hold,institutional_firstbuy
6805,2026-01-22,2026-01-23,2026-06-05,1424.26,1944.15,1310.0,85,36.502,max_hold,institutional_firstbuy
8064,2026-06-02,2026-06-03,2026-06-05,161.483,165.502,140.4,3,2.489,max_hold,institutional_firstbuy
8070,2026-01-13,2026-01-14,2026-02-06,47.3416,44.2668,44.785,17,-6.495,stop_loss,institutional_firstbuy
8103,2026-04-27,2026-04-28,2026-06-05,122.8675,100.697,99.06,28,-18.044,max_hold,institutional_firstbuy
8155,2026-04-27,2026-04-28,2026-06-05,428.281,369.887,376.0,28,-13.635,stop_loss_eod,institutional_firstbuy
8299,2026-01-05,2026-01-06,2026-05-27,1484.44,2472.56,1310.5,91,66.565,max_hold,institutional_firstbuy
8358,2026-01-02,2026-01-05,2026-01-09,295.885,254.235,262.6,4,-14.076,stop_loss,institutional_firstbuy
8422,2026-04-21,2026-04-22,2026-04-24,30.9927,29.0127,29.53,2,-6.389,stop_loss,institutional_firstbuy
8936,2026-04-30,2026-05-04,2026-05-13,50.7518,49.8002,50.165,7,-1.875,stop_loss,institutional_firstbuy
9904,2026-01-19,2026-01-20,2026-01-21,31.4942,31.3058,31.6,1,-0.598,stop_loss,institutional_firstbuy
9907,2026-01-02,2026-01-05,2026-01-06,17.8534,17.7964,18.135,1,-0.319,stop_loss,institutional_firstbuy
9910,2026-01-02,2026-01-05,2026-01-06,113.339,107.676,115.45,1,-4.997,stop_loss,institutional_firstbuy
9938,2026-04-27,2026-04-28,2026-04-29,43.129,43.519,45.01,1,0.904,stop_loss,institutional_firstbuy
