ticker,signal_date,entry_date,exit_date,entry_price,exit_price,stop_loss,hold_days,return_pct,exit_reason,scanner
2355,2026-05-19,2026-05-19,2026-05-20,63.5902,64.3065,61.0,1,1.126,overnight_exit,intraday
3673,2026-05-19,2026-05-19,2026-05-20,75.6262,76.5696,67.5,1,1.247,overnight_exit,intraday
5425,2026-05-19,2026-05-19,2026-05-20,85.8568,85.3432,79.3,1,-0.598,overnight_exit,intraday
2464,2026-05-19,2026-05-19,2026-05-20,135.405,136.0905,129.5,1,0.506,overnight_exit,intraday
2481,2026-05-19,2026-05-19,2026-05-20,135.405,136.589,126.5,1,0.874,overnight_exit,intraday
3033,2026-05-20,2026-05-20,2026-05-21,51.5542,51.6446,48.95,1,0.175,overnight_exit,intraday
6147,2026-05-20,2026-05-20,2026-05-21,216.1465,220.337,205.0,1,1.939,overnight_exit,intraday
5425,2026-05-20,2026-05-20,2026-05-21,87.1607,90.3282,78.7,1,3.634,overnight_exit,intraday
8096,2026-05-20,2026-05-20,2026-05-21,107.8225,108.1745,103.5,1,0.326,overnight_exit,intraday
2481,2026-05-20,2026-05-20,2026-05-21,133.399,136.0905,128.5,1,2.018,overnight_exit,intraday
2355,2026-05-21,2026-05-21,2026-05-22,65.195,64.6056,59.2,1,-0.904,overnight_exit,intraday
8043,2026-05-21,2026-05-21,2026-05-22,125.8765,129.1115,117.5,1,2.57,overnight_exit,intraday
3189,2026-05-21,2026-05-21,2026-05-22,555.662,586.236,531.0,1,5.502,overnight_exit,intraday
3033,2026-05-21,2026-05-21,2026-05-22,52.6575,52.841,50.6,1,0.348,overnight_exit,intraday
2464,2026-05-21,2026-05-21,2026-05-22,136.408,134.0965,124.5,1,-1.695,overnight_exit,intraday
2489,2026-05-22,2026-05-22,2026-05-25,51.5542,56.3305,50.7,1,9.265,overnight_exit,intraday
3042,2026-05-22,2026-05-22,2026-05-25,176.528,192.9195,161.0,1,9.285,overnight_exit,intraday
4919,2026-05-22,2026-05-22,2026-05-25,200.0985,209.8685,188.5,1,4.883,overnight_exit,intraday
8096,2026-05-22,2026-05-22,2026-05-25,118.8555,120.637,110.0,1,1.499,overnight_exit,intraday
3035,2026-05-22,2026-05-22,2026-05-25,211.633,217.346,205.0,1,2.699,overnight_exit,intraday
2484,2026-05-25,2026-05-25,2026-05-26,54.3626,54.5359,52.0,1,0.319,overnight_exit,intraday
3149,2026-05-25,2026-05-25,2026-05-26,65.195,64.805,59.0,1,-0.598,overnight_exit,intraday
4927,2026-05-25,2026-05-25,2026-05-26,62.0857,63.7083,57.1,1,2.613,overnight_exit,intraday
6147,2026-05-25,2026-05-25,2026-05-26,237.711,244.265,218.0,1,2.757,overnight_exit,intraday
6282,2026-05-25,2026-05-25,2026-05-26,63.2893,63.4092,58.6,1,0.189,overnight_exit,intraday
2481,2026-05-26,2026-05-26,2026-05-27,147.441,157.0275,135.5,1,6.502,overnight_exit,intraday
3149,2026-05-26,2026-05-26,2026-05-27,68.204,68.1948,61.8,1,-0.013,overnight_exit,intraday
6282,2026-05-26,2026-05-26,2026-05-27,62.5872,64.6056,60.0,1,3.225,overnight_exit,intraday
2369,2026-05-26,2026-05-26,2026-05-27,37.8131,38.7335,36.65,1,2.434,overnight_exit,intraday
6278,2026-05-26,2026-05-26,2026-05-27,247.2395,245.7605,231.0,1,-0.598,overnight_exit,intraday
4906,2026-05-27,2026-05-27,2026-05-28,44.8842,46.3605,42.25,1,3.289,overnight_exit,intraday
2369,2026-05-27,2026-05-27,2026-05-28,40.2704,39.88,36.95,1,-0.97,overnight_exit,intraday
6770,2026-05-27,2026-05-27,2026-05-28,75.0244,75.3732,72.6,1,0.465,overnight_exit,intraday
3707,2026-05-27,2026-05-27,2026-05-28,89.5679,88.3342,82.4,1,-1.377,overnight_exit,intraday
3149,2026-05-27,2026-05-27,2026-05-28,65.5962,65.7023,65.0,1,0.162,overnight_exit,intraday
8150,2026-05-28,2026-05-28,2026-05-29,103.309,112.661,98.5,1,9.052,overnight_exit,intraday
6770,2026-05-28,2026-05-28,2026-05-29,80.9421,85.1438,73.5,1,5.191,overnight_exit,intraday
6127,2026-05-28,2026-05-28,2026-05-29,61.3836,62.811,57.5,1,2.325,overnight_exit,intraday
4906,2026-05-28,2026-05-28,2026-05-29,47.4419,49.7503,46.2,1,4.866,overnight_exit,intraday
2484,2026-05-28,2026-05-28,2026-05-29,55.3656,57.3275,52.5,1,3.544,overnight_exit,intraday
2344,2026-05-29,2026-05-29,2026-06-01,158.474,167.496,151.0,1,5.693,overnight_exit,intraday
5328,2026-05-29,2026-05-29,2026-06-01,39.7188,41.5749,35.95,1,4.673,overnight_exit,intraday
2324,2026-05-29,2026-05-29,2026-06-01,36.8101,39.9298,35.0,1,8.475,overnight_exit,intraday
2495,2026-05-29,2026-05-29,2026-06-01,51.6545,50.4482,49.5,1,-2.335,overnight_exit,intraday
3149,2026-05-29,2026-05-29,2026-06-01,71.4136,75.772,66.3,1,6.103,overnight_exit,intraday
2324,2026-06-01,2026-06-01,2026-06-02,40.471,44.1671,40.05,1,9.133,overnight_exit,intraday
6282,2026-06-01,2026-06-01,2026-06-02,65.9974,65.3035,61.1,1,-1.051,overnight_exit,intraday
2312,2026-06-01,2026-06-01,2026-06-02,40.7218,40.8272,39.8,1,0.259,overnight_exit,intraday
2481,2026-06-01,2026-06-01,2026-06-02,157.471,157.0275,151.0,1,-0.282,overnight_exit,intraday
5351,2026-06-01,2026-06-01,2026-06-02,89.9691,89.9294,87.1,1,-0.044,overnight_exit,intraday
2409,2026-06-02,2026-06-02,2026-06-03,26.2284,27.4175,23.3,1,4.533,overnight_exit,intraday
3006,2026-06-02,2026-06-02,2026-06-03,268.3025,272.181,249.5,1,1.446,overnight_exit,intraday
2377,2026-06-02,2026-06-02,2026-06-03,149.447,151.0455,142.0,1,1.07,overnight_exit,intraday
2337,2026-06-02,2026-06-02,2026-06-03,176.0265,176.9675,170.0,1,0.535,overnight_exit,intraday
5351,2026-06-02,2026-06-02,2026-06-03,93.1787,94.715,88.8,1,1.649,overnight_exit,intraday
4526,2026-06-03,2026-06-03,2026-06-04,44.8341,44.4662,41.5,1,-0.821,overnight_exit,intraday
2481,2026-06-03,2026-06-03,2026-06-04,159.477,156.529,153.0,1,-1.849,overnight_exit,intraday
6269,2026-06-03,2026-06-03,2026-06-04,77.7325,76.1708,72.2,1,-2.009,overnight_exit,intraday
8112,2026-06-03,2026-06-03,2026-06-04,94.6832,93.2195,93.1,1,-1.546,overnight_exit,intraday
2377,2026-06-03,2026-06-03,2026-06-04,146.9395,144.565,146.0,1,-1.616,overnight_exit,intraday
1708,2026-06-04,2026-06-04,2026-06-05,47.7929,46.859,44.5,1,-1.954,overnight_exit,intraday
