ticker,signal_date,entry_date,exit_date,entry_price,exit_price,stop_loss,hold_days,return_pct,exit_reason,scanner
6491,2026-05-19,2026-05-19,2026-05-20,306.4165,304.085,289.5,1,-0.761,overnight_exit,overnight_swing
2412,2026-05-19,2026-05-19,2026-05-20,142.9275,142.0725,137.0,1,-0.598,overnight_exit,overnight_swing
9933,2026-05-20,2026-05-20,2026-05-21,38.8662,38.7833,36.7,1,-0.213,overnight_exit,overnight_swing
6194,2026-05-22,2026-05-22,2026-05-25,34.0518,33.6986,32.3,1,-1.037,overnight_exit,overnight_swing
2353,2026-05-22,2026-05-22,2026-05-25,29.6386,31.7046,27.65,1,6.97,overnight_exit,overnight_swing
1618,2026-05-26,2026-05-26,2026-05-27,42.4269,43.4692,38.95,1,2.457,overnight_exit,overnight_swing
2731,2026-05-26,2026-05-26,2026-05-27,168.504,168.493,159.5,1,-0.007,overnight_exit,overnight_swing
1339,2026-05-28,2026-05-28,2026-05-29,44.9846,47.3575,40.6,1,5.275,overnight_exit,overnight_swing
6605,2026-05-28,2026-05-28,2026-05-29,140.9215,150.0485,127.5,1,6.477,overnight_exit,overnight_swing
2480,2026-06-01,2026-06-01,2026-06-02,161.483,161.0155,147.0,1,-0.29,overnight_exit,overnight_swing
5203,2026-06-01,2026-06-01,2026-06-02,70.21,71.784,64.0,1,2.242,overnight_exit,overnight_swing
2514,2026-06-01,2026-06-01,2026-06-02,13.691,13.5094,12.85,1,-1.326,overnight_exit,overnight_swing
1808,2026-06-03,2026-06-03,2026-06-04,30.8924,30.8073,28.75,1,-0.275,overnight_exit,overnight_swing
1464,2026-06-03,2026-06-03,2026-06-04,10.7822,10.618,10.15,1,-1.523,overnight_exit,overnight_swing
6592,2026-06-03,2026-06-03,2026-06-04,64.8941,64.805,61.0,1,-0.137,overnight_exit,overnight_swing
1342,2026-06-04,2026-06-04,2026-06-05,100.8015,100.1985,93.7,1,-0.598,overnight_exit,overnight_swing
1907,2026-06-04,2026-06-04,2026-06-05,26.4792,26.3706,24.5,1,-0.41,overnight_exit,overnight_swing
