ticker,signal_date,entry_date,exit_date,entry_price,exit_price,stop_loss,hold_days,return_pct,exit_reason,scanner
6141,2026-05-19,2026-05-20,2026-06-05,35.0047,38.3845,29.54,13,9.655,max_hold,pennant_flag
4980,2026-05-19,2026-05-20,2026-05-26,46.3386,51.0464,43.69,5,10.16,max_hold,pennant_flag
2597,2026-05-19,2026-05-20,2026-05-21,162.486,160.0185,161.3,1,-1.519,stop_loss,pennant_flag
3207,2026-05-19,2026-05-20,2026-05-21,61.3836,58.9227,59.94,1,-4.009,stop_loss,pennant_flag
2249,2026-05-19,2026-05-20,2026-05-26,128.2035,122.1325,123.9,5,-4.735,stop_loss_eod,pennant_flag
2327,2026-05-20,2026-05-21,2026-06-05,562.683,766.693,487.1,12,36.257,max_hold,pennant_flag
3090,2026-05-20,2026-05-21,2026-06-05,186.558,220.337,152.1,12,18.106,max_hold,pennant_flag
3209,2026-05-20,2026-05-21,2026-06-05,79.237,73.2795,71.8,12,-7.519,max_hold,pennant_flag
8091,2026-05-20,2026-05-21,2026-06-05,254.762,240.277,246.0,12,-5.686,stop_loss_eod,pennant_flag
6682,2026-05-20,2026-05-21,2026-05-26,57.2412,60.7173,54.86,4,6.073,max_hold,pennant_flag
2478,2026-05-21,2026-05-22,2026-06-05,125.8765,149.55,98.62,11,18.807,max_hold,pennant_flag
3591,2026-05-21,2026-05-22,2026-06-03,26.3789,24.6259,25.22,8,-6.645,stop_loss,pennant_flag
3577,2026-05-21,2026-05-22,2026-06-05,143.429,137.586,123.9,11,-4.074,max_hold,pennant_flag
8255,2026-05-21,2026-05-22,2026-06-05,156.9695,174.475,149.7,11,11.152,max_hold,pennant_flag
5321,2026-05-21,2026-05-22,2026-06-05,39.0167,45.4133,29.56,11,16.395,max_hold,pennant_flag
2891,2026-05-22,2026-05-25,2026-06-05,58.3746,66.4002,56.08,10,13.748,max_hold,pennant_flag
4958,2026-05-22,2026-05-25,2026-06-05,559.674,502.488,430.6,10,-10.218,max_hold,pennant_flag
3033,2026-05-22,2026-05-25,2026-05-26,54.7638,49.0524,50.14,1,-10.429,stop_loss,pennant_flag
3236,2026-05-22,2026-05-25,2026-06-05,58.4749,53.7383,43.43,10,-8.1,max_hold,pennant_flag
3260,2026-05-22,2026-05-25,2026-05-26,422.7645,409.2685,411.2,1,-3.192,stop_loss,pennant_flag
3481,2026-05-25,2026-05-26,2026-06-05,52.156,53.5389,41.75,9,2.651,max_hold,pennant_flag
2489,2026-05-25,2026-05-26,2026-06-05,57.6725,48.2548,47.75,9,-16.33,max_hold,pennant_flag
1303,2026-05-25,2026-05-26,2026-06-05,88.0634,104.1865,84.72,9,18.309,max_hold,pennant_flag
4919,2026-05-25,2026-05-26,2026-06-05,226.678,177.466,183.0,9,-21.71,stop_loss_eod,pennant_flag
6209,2026-05-25,2026-05-26,2026-05-27,86.4586,81.2555,81.88,1,-6.018,stop_loss,pennant_flag
3037,2026-05-26,2026-05-27,2026-06-05,1108.315,930.201,954.6,8,-16.071,stop_loss_eod,pennant_flag
3706,2026-05-26,2026-05-27,2026-05-28,86.5589,84.6453,85.5,1,-2.211,stop_loss,pennant_flag
2495,2026-05-26,2026-05-27,2026-06-05,47.8431,49.3515,42.91,8,3.153,max_hold,pennant_flag
