ticker,signal_date,entry_date,exit_date,entry_price,exit_price,stop_loss,hold_days,return_pct,exit_reason,scanner
3167,2026-05-19,2026-05-20,2026-06-05,795.379,947.15,756.0,13,19.082,max_hold,reversal_breakout
6682,2026-05-19,2026-05-20,2026-05-21,60.18,56.8988,57.7,1,-5.452,stop_loss,reversal_breakout
6810,2026-05-19,2026-05-20,2026-05-26,30.0198,29.7604,28.7,5,-0.864,max_hold,reversal_breakout
6638,2026-05-19,2026-05-20,2026-05-26,50.2202,58.6236,49.25,5,16.733,max_hold,reversal_breakout
3645,2026-05-19,2026-05-20,2026-05-21,113.339,104.685,104.0,1,-7.636,stop_loss,reversal_breakout
3702,2026-05-20,2026-05-21,2026-06-05,117.351,114.1565,113.0,12,-2.722,max_hold,reversal_breakout
3066,2026-05-20,2026-05-21,2026-06-05,21.414,21.5352,18.9,12,0.566,max_hold,reversal_breakout
7773,2026-05-20,2026-05-21,2026-05-26,30.1,31.1562,29.45,4,3.509,max_hold,reversal_breakout
3095,2026-05-20,2026-05-21,2026-05-28,49.5482,45.513,44.5,5,-8.144,stop_loss,reversal_breakout
6176,2026-05-20,2026-05-21,2026-06-05,105.315,100.697,100.0,12,-4.385,max_hold,reversal_breakout
2426,2026-05-21,2026-05-22,2026-06-05,78.8358,68.5936,70.0,11,-12.992,stop_loss_eod,reversal_breakout
6141,2026-05-21,2026-05-22,2026-06-05,33.9014,38.3845,31.5,11,13.224,max_hold,reversal_breakout
4919,2026-05-21,2026-05-22,2026-06-05,191.0715,177.466,166.0,11,-7.121,max_hold,reversal_breakout
5386,2026-05-21,2026-05-22,2026-06-05,473.416,509.467,447.0,11,7.615,max_hold,reversal_breakout
4958,2026-05-21,2026-05-22,2026-06-05,482.443,502.488,458.5,11,4.155,max_hold,reversal_breakout
3595,2026-05-22,2026-05-25,2026-05-26,2833.4248,2716.825,2755.0,2,-4.115,stop_loss_eod,reversal_breakout
3443,2026-05-22,2026-05-25,2026-05-29,5335.96,4426.68,4955.0,4,-17.041,stop_loss,reversal_breakout
6224,2026-05-22,2026-05-25,2026-05-27,88.3643,82.4519,83.0,2,-6.691,stop_loss,reversal_breakout
4949,2026-05-22,2026-05-25,2026-05-29,105.8165,98.4039,96.5,4,-7.005,stop_loss,reversal_breakout
2383,2026-05-22,2026-05-25,2026-06-05,5371.065,4870.345,4800.0,10,-9.323,max_hold,reversal_breakout
7853,2026-05-25,2026-05-26,2026-05-26,391.842,374.3735,381.5,1,-4.458,stop_loss_eod,reversal_breakout
4741,2026-05-25,2026-05-26,2026-05-28,63.8911,62.4122,63.0,2,-2.315,stop_loss,reversal_breakout
6187,2026-05-25,2026-05-26,2026-05-28,1233.69,1176.46,1145.0,2,-4.639,stop_loss,reversal_breakout
3229,2026-05-25,2026-05-26,2026-06-05,47.141,44.217,39.0,9,-6.203,max_hold,reversal_breakout
3081,2026-05-25,2026-05-26,2026-05-29,2968.88,2671.96,2730.0,3,-10.001,stop_loss,reversal_breakout
6213,2026-05-26,2026-05-27,2026-06-05,281.843,253.7365,260.5,8,-9.972,stop_loss_eod,reversal_breakout
7734,2026-05-27,2026-05-28,2026-06-02,3896.655,3414.725,3600.0,3,-12.368,stop_loss,reversal_breakout
1721,2026-05-27,2026-05-28,2026-05-29,30.5915,28.564,29.1,1,-6.627,stop_loss,reversal_breakout
8150,2026-05-27,2026-05-28,2026-06-05,99.0964,96.5096,86.0,7,-2.61,max_hold,reversal_breakout
4807,2026-05-27,2026-05-28,2026-06-05,25.7771,38.3845,23.35,7,48.909,max_hold,reversal_breakout
2342,2026-05-27,2026-05-28,2026-06-02,44.1821,41.6248,42.0,3,-5.788,stop_loss,reversal_breakout
2243,2026-05-28,2026-05-29,2026-06-05,24.9246,27.9658,24.05,6,12.202,max_hold,reversal_breakout
4939,2026-05-28,2026-05-29,2026-06-05,47.1911,59.5209,43.4,6,26.127,max_hold,reversal_breakout
2497,2026-05-28,2026-05-29,2026-06-05,62.0857,62.4122,58.6,6,0.526,max_hold,reversal_breakout
1522,2026-05-28,2026-05-29,2026-06-05,34.6035,32.0037,31.35,6,-7.513,max_hold,reversal_breakout
1623,2026-05-28,2026-05-29,2026-06-03,248.744,233.298,238.5,3,-6.21,stop_loss,reversal_breakout
