ticker,signal_date,entry_date,exit_date,entry_price,exit_price,stop_loss,hold_days,return_pct,exit_reason,scanner
2881,2026-05-19,2026-05-20,2026-06-05,97.3913,117.646,92.205,13,20.797,max_hold,swing_breakout
2882,2026-05-19,2026-05-20,2026-06-05,78.234,99.7,76.925,13,27.438,max_hold,swing_breakout
2885,2026-05-19,2026-05-20,2026-06-05,55.165,65.1041,53.6125,13,18.017,max_hold,swing_breakout
2886,2026-05-19,2026-05-20,2026-05-26,41.123,39.3815,39.635,4,-4.235,stop_loss,swing_breakout
2891,2026-05-19,2026-05-20,2026-06-05,56.5692,66.4002,54.035,13,17.379,max_hold,swing_breakout
2352,2026-05-20,2026-05-21,2026-06-05,26.5294,31.0067,25.11,12,16.877,max_hold,swing_breakout
2388,2026-05-20,2026-05-21,2026-05-28,82.4466,75.6723,76.63,5,-8.217,stop_loss,swing_breakout
2458,2026-05-20,2026-05-21,2026-06-05,159.477,158.0245,142.3,12,-0.911,max_hold,swing_breakout
3041,2026-05-20,2026-05-21,2026-06-05,24.1723,24.576,23.9875,12,1.67,max_hold,swing_breakout
3588,2026-05-20,2026-05-21,2026-05-29,60.8821,62.7113,61.94,6,3.004,stop_loss,swing_breakout
2312,2026-05-21,2026-05-22,2026-06-05,31.9456,39.1821,28.32,11,22.653,max_hold,swing_breakout
2317,2026-05-21,2026-05-22,2026-06-05,249.747,283.6465,239.7,11,13.574,max_hold,swing_breakout
2404,2026-05-21,2026-05-22,2026-06-05,1128.375,1201.385,1000.75,11,6.47,max_hold,swing_breakout
3014,2026-05-21,2026-05-22,2026-06-05,146.438,151.544,132.325,11,3.487,max_hold,swing_breakout
3189,2026-05-21,2026-05-22,2026-06-05,589.764,709.864,506.675,11,20.364,max_hold,swing_breakout
2344,2026-05-22,2026-05-25,2026-06-05,120.8615,161.514,110.54,10,33.636,max_hold,swing_breakout
2409,2026-05-22,2026-05-25,2026-06-05,24.423,27.0187,18.5375,10,10.628,max_hold,swing_breakout
2480,2026-05-22,2026-05-25,2026-06-05,150.45,161.0155,145.925,10,7.023,max_hold,swing_breakout
3591,2026-05-22,2026-05-25,2026-06-05,27.3819,24.1772,24.065,10,-11.704,max_hold,swing_breakout
4585,2026-05-22,2026-05-25,2026-05-29,371.11,337.4845,330.55,4,-9.061,stop_loss,swing_breakout
3432,2026-05-25,2026-05-26,2026-05-27,20.5615,19.292,20.145,1,-6.174,stop_loss,swing_breakout
5388,2026-05-25,2026-05-26,2026-06-05,87.261,89.3312,80.62,9,2.372,max_hold,swing_breakout
2337,2026-05-26,2026-05-27,2026-05-28,172.516,155.0335,157.275,1,-10.134,stop_loss,swing_breakout
2351,2026-05-26,2026-05-27,2026-06-05,228.1825,199.8985,175.875,8,-12.395,max_hold,swing_breakout
2449,2026-05-26,2026-05-27,2026-06-03,345.5335,308.5715,306.725,5,-10.697,stop_loss,swing_breakout
2838,2026-05-27,2026-05-28,2026-05-29,20.5615,20.1394,20.3175,1,-2.053,stop_loss,swing_breakout
2851,2026-05-27,2026-05-28,2026-06-05,35.105,36.7893,33.05,7,4.798,max_hold,swing_breakout
2855,2026-05-27,2026-05-28,2026-06-05,46.5392,58.9227,40.12,7,26.609,max_hold,swing_breakout
2324,2026-05-27,2026-05-28,2026-06-05,33.6005,41.2758,30.1775,7,22.843,max_hold,swing_breakout
3022,2026-05-27,2026-05-28,2026-06-05,74.4226,77.1678,70.795,7,3.689,max_hold,swing_breakout
2408,2026-05-28,2026-05-29,2026-06-05,348.5425,358.92,292.05,6,2.977,max_hold,swing_breakout
2356,2026-05-28,2026-05-29,2026-06-05,68.3043,76.5696,53.3825,6,12.101,max_hold,swing_breakout
6277,2026-05-28,2026-05-29,2026-06-05,78.234,76.8687,72.69,6,-1.745,max_hold,swing_breakout
2492,2026-05-28,2026-05-29,2026-06-05,411.23,414.752,225.325,6,0.856,max_hold,swing_breakout
2527,2026-05-28,2026-05-29,2026-06-05,37.5122,36.241,34.2325,6,-3.389,max_hold,swing_breakout
2455,2026-05-29,2026-06-01,2026-06-05,429.284,397.803,383.8,5,-7.333,max_hold,swing_breakout
8021,2026-05-29,2026-06-01,2026-06-05,467.398,456.626,428.625,5,-2.305,max_hold,swing_breakout
2610,2026-05-29,2026-06-01,2026-06-05,19.2576,19.8901,18.54,5,3.285,max_hold,swing_breakout
2618,2026-05-29,2026-06-01,2026-06-05,36.5594,37.5869,34.915,5,2.811,max_hold,swing_breakout
3023,2026-05-29,2026-06-01,2026-06-05,317.4495,328.013,303.275,5,3.328,max_hold,swing_breakout
2390,2026-06-01,2026-06-02,2026-06-05,11.6849,12.0637,10.076,4,3.241,max_hold,swing_breakout
2488,2026-06-01,2026-06-02,2026-06-05,54.2623,53.3395,52.37,4,-1.701,max_hold,swing_breakout
3702,2026-06-01,2026-06-02,2026-06-05,118.8555,114.1565,114.275,4,-3.954,max_hold,swing_breakout
6176,2026-06-01,2026-06-02,2026-06-04,105.8165,102.691,103.4,2,-2.954,stop_loss,swing_breakout
6226,2026-06-01,2026-06-02,2026-06-05,13.8414,13.5592,12.6525,4,-2.039,max_hold,swing_breakout
2353,2026-06-02,2026-06-03,2026-06-05,44.132,38.2848,30.495,3,-13.249,max_hold,swing_breakout
2379,2026-06-02,2026-06-03,2026-06-05,687.055,641.071,576.25,3,-6.693,max_hold,swing_breakout
2412,2026-06-02,2026-06-03,2026-06-05,142.426,140.577,137.525,3,-1.298,max_hold,swing_breakout
3380,2026-06-02,2026-06-03,2026-06-05,40.3707,37.3875,33.88,3,-7.39,max_hold,swing_breakout
6271,2026-06-02,2026-06-03,2026-06-05,253.759,235.7905,209.25,3,-7.081,max_hold,swing_breakout
2027,2026-06-03,2026-06-04,2026-06-05,43.9314,43.6686,41.1325,2,-0.598,max_hold,swing_breakout
2820,2026-06-04,2026-06-05,2026-06-05,17.1513,17.1484,16.8625,1,-0.017,max_hold,swing_breakout
2834,2026-06-04,2026-06-05,2026-06-05,17.1012,16.8493,16.1525,1,-1.473,max_hold,swing_breakout
2852,2026-06-04,2026-06-05,2026-06-05,27.9837,27.7664,26.8575,1,-0.776,max_hold,swing_breakout
2887,2026-06-04,2026-06-05,2026-06-05,28.5855,28.5142,24.15,1,-0.249,max_hold,swing_breakout
2461,2026-06-04,2026-06-05,2026-06-05,18.054,19.4415,16.4025,1,7.685,max_hold,swing_breakout
