script_file,line_no,raw_text,parsed_date,partial_date,parsed_ticker,keyword,context_50char,source,event_type,source_image
ch2-2.txt,569,隔天確認出量 站上月線,,,,出量,這個地方做釋單 反正你就是跌破 這個月線之後慣性支撐在離開 你這個地方的成本會很低 這個地方你記得做釋單之後 這一次拉回又沒有破 對不對 這個地方再次做加碼或釋單都可以 那我們就確認 這個月線它又有了慣性支撐的價值存在 這個是我們在 PP 的文章裡面有寫到的 我們在這一天 我們前一天的時候 請大家在這個地方做觀察 它又守住了這個月線 所以我當天晚上把它寫出來之後 隔天確認出量 站上月線 我把它寫出,auto,,
ch2-3.txt,293,那個出量紅K 整個收最高,,,,出量,缺口出現了 下跌碰到這個位置 等一下 碰到打下去 碰到打下去 這天含上來了 有漲上來 但是最後還是被打下去 再來注意看喔 這個地方漲上來了 但是它沒有回補 注意這些都是細節 同學們注意看 這些都是細節 懂我意思嗎 紅K很厲害 那個出量紅K 整個收最高 完全沒有什麼上影線 但是你可以在這天進場嗎 不行 了解我意思嗎 因為它收盤價沒有大於 沒有大於這一個缺口的高點 好 隔天直接下去 繼續在這個地方 直,auto,,
ch2-4.txt,30,"01:38,隔日伴隨大量的綠K",,,,大量,"00:45,攻擊紅K後理想條件出現萎縮的成交量 00:53,攻擊紅K 出現的時候 00:56,最好出現萎縮的成交量 01:00,為什麼 01:01,它會是比較好的波段進場的條件 01:07,Ok 先記得先把這個概念記起來 01:10,攻擊紅K出現後 01:13,後面希望是要量縮的成交量 01:16,當然有很多是那種連續型態噴上去的 01:19,那當然沒辦法 01:20,我們就是用一個比較穩健型的方",auto,,
ch2-4.txt,44,"02:34,前一波大量K棒的高點",,,,大量,"01:35,當攻擊紅K後出現 01:38,隔日伴隨大量的綠K 01:40,則代表怎麼樣 籌碼非常的凌亂 01:43,也意味著當天有多數的人套牢 01:47,我們這個想法 這個用法 01:51,就等同於我們最一開始教的 01:54,如果你很大的黑K 01:57,伴隨大成交量 代表說多數人套牢 對不對 02:02,後續股價要守住這根綠K的低點 02:09,如果跌破的話 就視為轉弱訊號 02:14,股價",auto,,
ch2-4.txt,46,"02:40,後續可以用前面這一波大量K棒的高點",,,,大量,"01:40,則代表怎麼樣 籌碼非常的凌亂 01:43,也意味著當天有多數的人套牢 01:47,我們這個想法 這個用法 01:51,就等同於我們最一開始教的 01:54,如果你很大的黑K 01:57,伴隨大成交量 代表說多數人套牢 對不對 02:02,後續股價要守住這根綠K的低點 02:09,如果跌破的話 就視為轉弱訊號 02:14,股價需要重新轉強需要什麼條件 02:17,收盤站上此根綠K的高點 ",auto,,
ch2-4.txt,60,"03:23,帶有大量的K棒 在股價的左上方",,,,大量,"02:36,則視為多方訊號 這是講同樣的一件事情 02:40,後續可以用前面這一波大量K棒的高點 02:46,視為多方的支撐 02:48,這我們等一下馬上就會帶給各位 02:53,下一個 02:54,量增和量縮會與前一天去做比較 02:59,這個應該沒有問題 03:00,就是我們到底是怎麼判斷 03:03,量增還是量縮 03:06,我們就用前一天去做比較 03:08,好 我們馬上好像 03:09,",auto,,
ch2-4.txt,62,"03:29,帶有大量的K棒在股價的左下方",,,,大量,"02:46,視為多方的支撐 02:48,這我們等一下馬上就會帶給各位 02:53,下一個 02:54,量增和量縮會與前一天去做比較 02:59,這個應該沒有問題 03:00,就是我們到底是怎麼判斷 03:03,量增還是量縮 03:06,我們就用前一天去做比較 03:08,好 我們馬上好像 03:09,這邊廢話比較多 我希望大家就是 03:12,先了解這邊的文字 我們就來帶這個圖片 03:16,好 ",auto,,
ch2-4.txt,65,"03:36,股價衝擊前高 大量壓力會需要有大量K棒",,,,大量,"02:54,量增和量縮會與前一天去做比較 02:59,這個應該沒有問題 03:00,就是我們到底是怎麼判斷 03:03,量增還是量縮 03:06,我們就用前一天去做比較 03:08,好 我們馬上好像 03:09,這邊廢話比較多 我希望大家就是 03:12,先了解這邊的文字 我們就來帶這個圖片 03:16,好 下一個 03:18,如何以量價決定支撐壓力 03:23,帶有大量的K棒 在股價的左上方 0",auto,,
ch2-4.txt,68,"03:51,紅K出量 出量紅K",,,,出量,"03:03,量增還是量縮 03:06,我們就用前一天去做比較 03:08,好 我們馬上好像 03:09,這邊廢話比較多 我希望大家就是 03:12,先了解這邊的文字 我們就來帶這個圖片 03:16,好 下一個 03:18,如何以量價決定支撐壓力 03:23,帶有大量的K棒 在股價的左上方 03:27,則為股價的壓力 03:29,帶有大量的K棒在股價的左下方 03:32,則為股價的支撐 03:34,",auto,,
ch2-4.txt,69,"03:53,大量的綠K 量縮",,,,大量,"03:06,我們就用前一天去做比較 03:08,好 我們馬上好像 03:09,這邊廢話比較多 我希望大家就是 03:12,先了解這邊的文字 我們就來帶這個圖片 03:16,好 下一個 03:18,如何以量價決定支撐壓力 03:23,帶有大量的K棒 在股價的左上方 03:27,則為股價的壓力 03:29,帶有大量的K棒在股價的左下方 03:32,則為股價的支撐 03:34,這我們等一下都會帶 03:",auto,,
