script_file,line_no,parsed_date,parsed_ticker,keyword,event_type,source,source_image,raw_volume,ma20_volume,max20_volume,volume_ratio,choke_volume,choke_ratio,peak_date,fetch_status
ex1-3.txt,0,2021-02-17,2338,大量,breakout,manual,,34883472.0,9095990.8,18424202.0,3.8350381796780177,,,2021-02-17,ok
ex1-3.txt,0,2020-12-30,3533,窒息量,choke,manual,,4660348.0,921146.05,4660348.0,5.05929325756757,200774.0,0.0430813321236954,2020-11-24,ok
ex1-3.txt,0,2021-03-10,8150,窒息量,choke,manual,,33792592.0,9800835.0,33792592.0,3.447929895769085,2990731.0,0.088502562928585,2021-01-12,ok
ex1-3.txt,0,2021-01-22,6284,窒息量,choke,manual,,33270161.0,7651105.35,33270161.0,4.348412350641597,6926900.0,0.2082015773834097,2020-12-11,ok
ex1-3.txt,0,2020-12-24,1590,窒息量,choke,manual,,4530033.0,812281.15,4530033.0,5.576927397613499,179068.0,0.0395290718632734,2020-10-30,ok
pdf_p107,0,2020-09-16,6441,大量,breakout,manual,_page_107_Figure_0.jpeg,4386853.0,2949874.9,6479628.0,1.4871318780332008,,,2020-09-16,date_corrected
pdf_p107,0,2020-08-30,6441,大量,breakout,manual,_page_107_Figure_0.jpeg,,,,,,,,date_corrected
pdf_p102,0,2020-08-06,1904,大量,breakout,manual,_page_102_Figure_0.jpeg,4053130.0,4055436.05,6646170.0,0.9994313681755628,,,2020-08-06,date_corrected
pdf_p103,0,2020-08-10,1904,大量,breakout,manual,_page_103_Figure_0.jpeg,4841622.0,4170407.4,8775853.0,1.1609470096374757,,,2020-08-10,date_corrected
pdf_p118,0,2021-05-28,6672,大量,breakout,manual,_page_118_Figure_1.jpeg,8425300.0,2401035.4,9725202.0,3.5090278135840896,,,2021-05-28,ok
pdf_p129,0,2021-01-13,2351,大量,breakout,manual,_page_129_Figure_0.jpeg,2973008.0,6018888.55,19859860.0,0.4939463449609812,,,2021-01-13,date_corrected
pdf_p130,0,2021-01-20,2351,大量,breakout,manual,_page_130_Figure_0.jpeg,21484520.0,7308589.9,19859860.0,2.93962587776337,,,2021-01-20,ok
pdf_p130,0,2020-10-16,5425,大量,breakout,manual,_page_130_Figure_0.jpeg,16572617.0,2167208.1,4519340.0,7.646989230060555,,,2020-10-16,ok
pdf_p142,0,2021-01-08,3042,大量,breakout,manual,_page_142_Figure_1.jpeg,14122244.0,5253059.7,9362107.0,2.688384447639154,,,2021-01-08,ok
pdf_p86,0,2019-12-24,2492,大量,breakout,manual,_page_86_Figure_0.jpeg,48463807.0,10736144.8,24794054.0,4.514079113389007,,,2019-12-24,ok
pdf_p74,0,2021-03-09,2883,大量,breakout,manual,_page_74_Figure_1.jpeg,123058690.0,47795260.2,86462873.0,2.5747048867410496,,,2021-03-09,ok
pdf_p77,0,2021-05-13,2002,大量,breakout,manual,_page_77_Figure_1.jpeg,554505005.0,417599402.6,808923532.0,1.3278395551995934,,,2021-05-13,date_corrected
pdf_p79,0,2021-03-11,3481,窒息量,choke,manual,_page_79_Figure_1.jpeg,732777516.0,372064305.3,732777516.0,1.9694915786376028,100187436.0,0.1367228576374606,2020-12-14,ok
pdf_p107,0,2020-09-18,6441,大量,breakout,manual,_page_107_Figure_0.jpeg,8079000.0,3000000.0,6479628.0,2.69,,,2020-09-18,ok
pdf_p102,0,2020-08-11,1904,大量,breakout,manual,_page_102_Figure_0.jpeg,15082000.0,4153000.0,8775853.0,3.63,,,2020-08-11,ok
pdf_p102,0,2020-08-12,1904,大量,breakout,manual,_page_102_Figure_0.jpeg,20619000.0,4742000.0,8775853.0,4.35,,,2020-08-12,ok
pdf_p77,0,2021-05-11,2002,大量,breakout,manual,_page_77_Figure_1.jpeg,808923532.0,359588000.0,808923532.0,2.25,,,2021-05-11,ok
